symbol,horizon,year,sampling,rows,interval_80_coverage,median_interval_width_ratio
000852.SH,5,2024,dense,55660,0.7750628817822494,3.0073835435451146
000852.SH,5,2024,nonoverlap,11132,0.7763205174272368,3.0073835435451146
000852.SH,15,2024,dense,50820,0.7890594254230617,2.1721173788530925
000852.SH,15,2024,nonoverlap,3388,0.7712514757969303,2.1721173788530925
000852.SH,30,2024,dense,43560,0.7902662993572085,1.9572201381224315
000852.SH,30,2024,nonoverlap,1452,0.762396694214876,1.9572201381224315
000688.SH,5,2024,dense,55660,0.7857348185411427,2.852483641328214
000688.SH,5,2024,nonoverlap,11132,0.7859324469996407,2.852483641328214
000688.SH,15,2024,dense,50820,0.7735340417158599,2.0607006328572353
000688.SH,15,2024,nonoverlap,3388,0.7727272727272727,2.0607006328572353
000688.SH,30,2024,dense,43560,0.7679522497704316,1.8599094638552085
000688.SH,30,2024,nonoverlap,1452,0.7644628099173554,1.8599094638552085
