symbol,horizon,year,sampling,model,rule,factor,context,rows,events,alerts,hits,precision,recall,alert_time_share,false_positive_rate
000852.SH,5,2025,dense,multiscale,point,2,all,55890,4288,2267,1200,0.529333921482135,0.2798507462686567,0.04056181785650385,0.020677493120421688
000852.SH,5,2025,dense,multiscale,point,2,quiet_no_recent_shock,25411,3320,1810,964,0.532596685082873,0.29036144578313255,0.0712289953169887,0.0382961386990177
000852.SH,5,2025,dense,multiscale,point,3,all,55890,1367,502,361,0.7191235059760956,0.2640819312362838,0.008981928788692074,0.0025860645965922638
000852.SH,5,2025,dense,multiscale,point,3,quiet_no_recent_shock,25411,1168,365,245,0.6712328767123288,0.20976027397260275,0.014363858171657943,0.004949882440292043
000852.SH,5,2025,dense,multiscale,point,4,all,55890,647,268,210,0.7835820895522388,0.32457496136012365,0.0047951332975487565,0.0010499067755190704
000852.SH,5,2025,dense,multiscale,point,4,quiet_no_recent_shock,25411,515,156,113,0.7243589743589743,0.21941747572815534,0.006139073629530518,0.001727185089974293
000852.SH,5,2025,dense,persistence,point,2,all,55890,4288,0,0,,0.0,0.0,0.0
000852.SH,5,2025,dense,persistence,point,2,quiet_no_recent_shock,25411,3320,0,0,,0.0,0.0,0.0
000852.SH,5,2025,dense,persistence,point,3,all,55890,1367,0,0,,0.0,0.0,0.0
000852.SH,5,2025,dense,persistence,point,3,quiet_no_recent_shock,25411,1168,0,0,,0.0,0.0,0.0
000852.SH,5,2025,dense,persistence,point,4,all,55890,647,0,0,,0.0,0.0,0.0
000852.SH,5,2025,dense,persistence,point,4,quiet_no_recent_shock,25411,515,0,0,,0.0,0.0,0.0
000852.SH,5,2025,dense,clock_only,point,2,all,55890,4288,8669,2214,0.25539277886722805,0.5163246268656716,0.1551082483449633,0.12509205069570947
000852.SH,5,2025,dense,clock_only,point,2,quiet_no_recent_shock,25411,3320,8025,1919,0.2391277258566978,0.5780120481927711,0.3158081145960411,0.2764021547236431
000852.SH,5,2025,dense,clock_only,point,3,all,55890,1367,2807,740,0.2636266476665479,0.5413313825896123,0.05022365360529612,0.037910606533022764
000852.SH,5,2025,dense,clock_only,point,3,quiet_no_recent_shock,25411,1168,2619,601,0.22947689957999237,0.514554794520548,0.10306560151115658,0.08324052303757785
000852.SH,5,2025,dense,clock_only,point,4,all,55890,647,1208,385,0.31870860927152317,0.5950540958268934,0.021613884415816784,0.014897815107796463
000852.SH,5,2025,dense,clock_only,point,4,quiet_no_recent_shock,25411,515,1066,271,0.25422138836772984,0.5262135922330097,0.04195033646845854,0.03193284061696658
000852.SH,5,2025,dense,multiscale,probability_0.5,high_level,all,55890,29562,27915,22040,0.7895396740103887,0.7455517218050199,0.4994632313472893,0.22314646004254027
000852.SH,5,2025,dense,multiscale,probability_0.5,2,all,55890,4288,923,653,0.7074756229685807,0.15228544776119404,0.016514582215065306,0.005232355335064533
