symbol,horizon,year,sampling,model,rows,log_sigma_rmse,median_absolute_factor_error,spearman,bucket_accuracy,balanced_accuracy,actual_high_share,high_precision,high_recall,predicted_high_time_share
000852.SH,5,2025,dense,multiscale,55890,0.4788792642710984,1.3540637111214364,0.7038228515422187,0.6235999284308463,0.5161775722320517,0.5289318303811057,0.7164710167259687,0.8650632568838373,0.6386294507067454
000852.SH,5,2025,dense,persistence,55890,0.5717195431759532,1.4362506578138505,0.5870609576931569,0.5807478976561102,0.5189715080791788,0.5289318303811057,0.7207760071265961,0.7389892429470266,0.5422973698336018
000852.SH,5,2025,dense,clock_only,55890,0.5911176825978945,1.4778624617526879,0.4216969182994821,0.5436750760422258,0.39765152580650637,0.5289318303811057,0.5797872340425532,0.8959813273797442,0.8173913043478261
000852.SH,5,2025,nonoverlap,multiscale,11178,0.4792139458712814,1.3589195079106995,0.7007490670947985,0.6233673286813384,0.5076941380767821,0.5374843442476293,0.7193200663349917,0.8663448735019973,0.6473429951690821
000852.SH,5,2025,nonoverlap,persistence,11178,0.6225843480757408,1.4495095321101676,0.529448452698683,0.564054392556808,0.5031077325259806,0.5374843442476293,0.7166554959785523,0.7118841544607191,0.5339058865628914
000852.SH,5,2025,nonoverlap,clock_only,11178,0.5935689325828136,1.4849844066665703,0.41515595346694456,0.5489354088387904,0.38870399240630404,0.5374843442476293,0.5801413949562098,0.9151131824234354,0.8478260869565217
000852.SH,15,2025,dense,multiscale,51030,0.32329601805530506,1.23953038179142,0.7936446112915835,0.6910836762688615,0.5791636705426422,0.5737409367038997,0.7942134037717304,0.8831887424004372,0.6380168528316676
000852.SH,15,2025,dense,persistence,51030,0.3981576591074086,1.2852024259719312,0.7025977076301142,0.6564177934548305,0.5658476119846814,0.5737409367038997,0.7735215053763441,0.825568686385682,0.6123456790123457
000852.SH,15,2025,dense,clock_only,51030,0.47003490396769454,1.3690591756741985,0.4170905982974736,0.5730942582794435,0.38541441376588076,0.5737409367038997,0.6160052079700542,0.9049456930118177,0.8428571428571429
000852.SH,15,2025,nonoverlap,multiscale,3402,0.32808298201495695,1.2440939927333619,0.791852060631397,0.6934156378600823,0.563192814902946,0.6037624926513815,0.8050961108627627,0.8768257059396299,0.657554379776602
000852.SH,15,2025,nonoverlap,persistence,3402,0.5412386897081707,1.3080992762207442,0.5234422463848484,0.6205173427395649,0.5392787085051429,0.6037624926513815,0.7789580171977744,0.7497565725413826,0.5811287477954145
000852.SH,15,2025,nonoverlap,clock_only,3402,0.46591493689822705,1.3705755730158204,0.4374730805315079,0.5823045267489712,0.35152164146053283,0.6037624926513815,0.6378600823045267,0.9055501460564752,0.8571428571428571
000852.SH,30,2025,dense,multiscale,43740,0.2801611489487782,1.2070871250778674,0.8151764808112555,0.7150434385002287,0.5933521902370927,0.5936213991769548,0.815687506545188,0.8999422299248989,0.6549382716049382
000852.SH,30,2025,dense,persistence,43740,0.35860918679376375,1.2645678537819907,0.7189741541936536,0.6871513488797439,0.5667920048798462,0.5936213991769548,0.7817982831150176,0.8803774311573271,0.6684727937814358
000852.SH,30,2025,dense,clock_only,43740,0.4326532213877654,1.3319371083266822,0.38819022841162404,0.5803840877914952,0.35315864553920545,0.5936213991769548,0.626117270844801,0.9199691892932794,0.8722222222222222
000852.SH,30,2025,nonoverlap,multiscale,1458,0.2894098004215534,1.2128288571471886,0.8264067155793194,0.7366255144032922,0.5874639879941723,0.6488340192043895,0.8366141732283464,0.8985200845665962,0.6968449931412894
000852.SH,30,2025,nonoverlap,persistence,1458,0.5506904453016892,1.3427196243240442,0.4079295883475266,0.6165980795610425,0.5222445000045958,0.6488340192043895,0.7910447761194029,0.7283298097251586,0.5973936899862826
000852.SH,30,2025,nonoverlap,clock_only,1458,0.4241400358615821,1.3250623574528386,0.4736909727050521,0.6488340192043895,0.3333333333333333,0.6488340192043895,0.6488340192043895,1.0,1.0
000688.SH,5,2025,dense,multiscale,55890,0.453426529930457,1.3248096970282965,0.7791578759747276,0.6603149042762569,0.5876956212251763,0.5014850599391663,0.7536583866207575,0.8746610532324818,0.5820003578457684
000688.SH,5,2025,dense,persistence,55890,0.5372539793330572,1.3994952804650986,0.689912975286528,0.6240293433530149,0.5756722126047513,0.5014850599391663,0.7531449280412587,0.7711217354074497,0.5134550008946144
000688.SH,5,2025,dense,clock_only,55890,0.630080362399174,1.521598482488136,0.4079174631292587,0.46482376095902667,0.39451827490686714,0.5014850599391663,0.6183127572016461,0.6647281290138433,0.5391304347826087
000688.SH,5,2025,nonoverlap,multiscale,11178,0.4495489268832746,1.3233482541180224,0.7781893323749451,0.6649668992664162,0.5898933590169126,0.5077831454643049,0.7592904113778866,0.8747357293868921,0.5849883700125246
000688.SH,5,2025,nonoverlap,persistence,11178,0.5917527987848062,1.411220217855777,0.6429334719480061,0.6119162640901772,0.5674794401917217,0.5077831454643049,0.7507102272727273,0.7448907681465821,0.5038468420110932
000688.SH,5,2025,nonoverlap,clock_only,11178,0.6281972408772111,1.5239533015625568,0.40639864252235564,0.4694936482376096,0.39222197949848336,0.5077831454643049,0.6255144032921811,0.6694855532064834,0.5434782608695652
000688.SH,15,2025,dense,multiscale,51030,0.30977934431360105,1.2275458812709625,0.8555957895835912,0.7331765628061925,0.6668006998427684,0.531785224377817,0.8274137753878823,0.8902236798467038,0.5721536351165981
000688.SH,15,2025,dense,persistence,51030,0.3692716783484472,1.2563392674773153,0.7996461219882357,0.7069958847736626,0.643181325905566,0.531785224377817,0.8018718601610351,0.8587537310682831,0.5695081324710954
000688.SH,15,2025,dense,clock_only,51030,0.5298864157392237,1.4359922024731926,0.4063169497979356,0.46374681559866743,0.40531041856337807,0.531785224377817,0.6749386872843663,0.598334377418285,0.4714285714285714
000688.SH,15,2025,nonoverlap,multiscale,3402,0.30862431525934386,1.2232799075583067,0.8569993186531067,0.7451499118165785,0.6737859817371136,0.5605526161081716,0.8517397881996974,0.8856843209229156,0.5828924162257496
000688.SH,15,2025,nonoverlap,persistence,3402,0.5100428367445546,1.2860670120749478,0.6527792368276385,0.6675485008818343,0.614045375447977,0.5605526161081716,0.8033586132177681,0.7776612480335605,0.5426219870664315
000688.SH,15,2025,nonoverlap,clock_only,3402,0.5262447477309815,1.4346020016471173,0.42293147819622817,0.5070546737213404,0.4041175531793621,0.5605526161081716,0.6774691358024691,0.6906135291033036,0.5714285714285714
000688.SH,30,2025,dense,multiscale,43740,0.27339646590041616,1.200331585705471,0.8727527205375265,0.7533150434385002,0.6861385490665407,0.5450388660265203,0.846299660374378,0.8989093959731543,0.5789208962048468
000688.SH,30,2025,dense,persistence,43740,0.35462936288814667,1.2663743717656801,0.8007271713927588,0.7111339734796525,0.6289198357364202,0.5450388660265203,0.7888963260449204,0.8898909395973155,0.6148148148148148
000688.SH,30,2025,dense,clock_only,43740,0.5023700340197247,1.4143749917143358,0.38100289865149517,0.47302240512117055,0.40248975680676713,0.5450388660265203,0.6744855967078189,0.61875,0.5
000688.SH,30,2025,nonoverlap,multiscale,1458,0.2717279435094379,1.1855807688626308,0.8837920348634382,0.7880658436213992,0.7152017596546981,0.6056241426611797,0.9,0.8969422423556059,0.6035665294924554
000688.SH,30,2025,nonoverlap,persistence,1458,0.5477746410158115,1.3505377588477385,0.5530752028655761,0.6385459533607681,0.5707253404698245,0.6056241426611797,0.7880239520958083,0.7451868629671574,0.5727023319615913
000688.SH,30,2025,nonoverlap,clock_only,1458,0.4935527376748752,1.3985219986088844,0.44693850677195196,0.5582990397805213,0.4050277715270836,0.6056241426611797,0.6954732510288066,0.7655719139297849,0.6666666666666666
