symbol,horizon,sampling,rows,coverage_80,median_interval_ratio
000852.SH,5,dense,111550,0.7832182877633348,3.0073835435451146
000852.SH,5,nonoverlap,22310,0.7841326759300762,3.0073835435451146
000852.SH,15,dense,101850,0.7945017182130584,2.1721173788530925
000852.SH,15,nonoverlap,6790,0.7793814432989691,2.1721173788530925
000852.SH,30,dense,87300,0.7961282932416953,1.9572201381224315
000852.SH,30,nonoverlap,2910,0.7738831615120275,1.9572201381224315
000688.SH,5,dense,111550,0.7879067682653519,2.852483641328214
000688.SH,5,nonoverlap,22310,0.7878081577767817,2.852483641328214
000688.SH,15,dense,101850,0.7786254295532646,2.0607006328572353
000688.SH,15,nonoverlap,6790,0.7758468335787924,2.0607006328572353
000688.SH,30,dense,87300,0.7727720504009163,1.8599094638552085
000688.SH,30,nonoverlap,2910,0.7680412371134021,1.8599094638552085
