symbol,horizon,phase,rows,events,alerts,hits,precision,recall,alert_time_share,false_positive_rate
000852.SH,5,0,22310,2263,812,677,0.833743842364532,0.29916040653999115,0.036396234872254594,0.006734174689479722
000852.SH,5,1,22310,1997,404,284,0.7029702970297029,0.14221331997996994,0.018108471537427163,0.005907546891153448
000852.SH,5,2,22310,1880,342,205,0.5994152046783626,0.10904255319148937,0.015329448677722995,0.006705824767498776
000852.SH,5,3,22310,1787,335,195,0.582089552238806,0.10912143256855064,0.015015688032272524,0.006821614773668567
000852.SH,5,4,22310,1744,333,185,0.5555555555555556,0.10607798165137615,0.01492604213357239,0.00719634347952932
000852.SH,15,0,6790,607,468,455,0.9722222222222222,0.7495881383855024,0.06892488954344625,0.0021025392204431508
000852.SH,15,1,6790,496,144,142,0.9861111111111112,0.2862903225806452,0.021207658321060384,0.00031776294884016526
000852.SH,15,2,6790,389,74,73,0.9864864864864865,0.18766066838046272,0.010898379970544918,0.0001562255897516013
000852.SH,15,3,6790,290,31,29,0.9354838709677419,0.1,0.004565537555228277,0.0003076923076923077
000852.SH,15,4,6790,230,9,8,0.8888888888888888,0.034782608695652174,0.001325478645066274,0.0001524390243902439
000852.SH,15,5,6790,190,7,6,0.8571428571428571,0.031578947368421054,0.0010309278350515464,0.00015151515151515152
000852.SH,15,6,6790,158,4,2,0.5,0.012658227848101266,0.000589101620029455,0.00030156815440289503
000852.SH,15,7,6790,142,4,1,0.25,0.007042253521126761,0.000589101620029455,0.0004512635379061372
000852.SH,15,8,6790,121,3,0,0.0,0.0,0.0004418262150220913,0.000449842555105713
000852.SH,15,9,6790,108,1,0,0.0,0.0,0.00014727540500736376,0.000149655791679138
000852.SH,15,10,6790,124,4,3,0.75,0.024193548387096774,0.000589101620029455,0.00015001500150015003
000852.SH,15,11,6790,132,6,3,0.5,0.022727272727272728,0.0008836524300441826,0.0004505857614899369
000852.SH,15,12,6790,130,5,3,0.6,0.023076923076923078,0.0007363770250368188,0.0003003003003003003
000852.SH,15,13,6790,139,5,3,0.6,0.02158273381294964,0.0007363770250368188,0.00030070666065253347
000852.SH,15,14,6790,138,7,3,0.42857142857142855,0.021739130434782608,0.0010309278350515464,0.0006013229104028864
000852.SH,30,0,2910,413,384,332,0.8645833333333334,0.8038740920096852,0.13195876288659794,0.020824989987985584
000852.SH,30,1,2910,338,42,41,0.9761904761904762,0.12130177514792899,0.01443298969072165,0.00038880248833592535
000852.SH,30,2,2910,291,40,40,1.0,0.13745704467353953,0.013745704467353952,0.0
000852.SH,30,3,2910,216,23,23,1.0,0.10648148148148148,0.007903780068728522,0.0
000852.SH,30,4,2910,167,17,17,1.0,0.10179640718562874,0.00584192439862543,0.0
000852.SH,30,5,2910,122,5,5,1.0,0.040983606557377046,0.001718213058419244,0.0
000852.SH,30,6,2910,80,0,0,,0.0,0.0,0.0
000852.SH,30,7,2910,61,0,0,,0.0,0.0,0.0
000852.SH,30,8,2910,50,0,0,,0.0,0.0,0.0
000852.SH,30,9,2910,42,0,0,,0.0,0.0,0.0
000852.SH,30,10,2910,33,0,0,,0.0,0.0,0.0
000852.SH,30,11,2910,31,0,0,,0.0,0.0,0.0
000852.SH,30,12,2910,35,0,0,,0.0,0.0,0.0
000852.SH,30,13,2910,31,0,0,,0.0,0.0,0.0
000852.SH,30,14,2910,26,0,0,,0.0,0.0,0.0
000852.SH,30,15,2910,24,0,0,,0.0,0.0,0.0
000852.SH,30,16,2910,23,0,0,,0.0,0.0,0.0
000852.SH,30,17,2910,19,0,0,,0.0,0.0,0.0
000852.SH,30,18,2910,19,0,0,,0.0,0.0,0.0
000852.SH,30,19,2910,20,0,0,,0.0,0.0,0.0
000852.SH,30,20,2910,21,0,0,,0.0,0.0,0.0
000852.SH,30,21,2910,18,0,0,,0.0,0.0,0.0
000852.SH,30,22,2910,20,0,0,,0.0,0.0,0.0
000852.SH,30,23,2910,19,0,0,,0.0,0.0,0.0
000852.SH,30,24,2910,23,0,0,,0.0,0.0,0.0
000852.SH,30,25,2910,21,0,0,,0.0,0.0,0.0
000852.SH,30,26,2910,19,0,0,,0.0,0.0,0.0
000852.SH,30,27,2910,21,0,0,,0.0,0.0,0.0
000852.SH,30,28,2910,21,0,0,,0.0,0.0,0.0
000852.SH,30,29,2910,20,0,0,,0.0,0.0,0.0
000688.SH,5,0,22310,1694,672,547,0.8139880952380952,0.32290436835891384,0.030121021963245183,0.00606325184322856
000688.SH,5,1,22310,1419,302,216,0.7152317880794702,0.1522198731501057,0.013536530703720304,0.004116605236704801
000688.SH,5,2,22310,1271,223,143,0.6412556053811659,0.1125098347757671,0.009995517705064993,0.0038024620942059984
000688.SH,5,3,22310,1226,200,115,0.575,0.09380097879282219,0.008964589870013447,0.004031493075317777
000688.SH,5,4,22310,1188,222,127,0.5720720720720721,0.1069023569023569,0.009950694755714926,0.004497680143925765
000688.SH,15,0,6790,531,453,418,0.9227373068432672,0.7871939736346516,0.06671575846833579,0.005591947595462534
000688.SH,15,1,6790,396,153,150,0.9803921568627451,0.3787878787878788,0.022533136966126657,0.00046918986549890525
000688.SH,15,2,6790,304,97,92,0.9484536082474226,0.3026315789473684,0.014285714285714285,0.000770891150169596
000688.SH,15,3,6790,242,60,55,0.9166666666666666,0.22727272727272727,0.008836524300441826,0.0007635919364691509
000688.SH,15,4,6790,181,34,27,0.7941176470588235,0.14917127071823205,0.005007363770250369,0.0010591617491299743
000688.SH,15,5,6790,151,13,8,0.6153846153846154,0.052980132450331126,0.001914580265095729,0.0007531254707034192
000688.SH,15,6,6790,115,6,2,0.3333333333333333,0.017391304347826087,0.0008836524300441826,0.000599250936329588
000688.SH,15,7,6790,93,3,1,0.3333333333333333,0.010752688172043012,0.0004418262150220913,0.00029864118261908315
000688.SH,15,8,6790,90,3,2,0.6666666666666666,0.022222222222222223,0.0004418262150220913,0.00014925373134328358
000688.SH,15,9,6790,93,4,2,0.5,0.021505376344086023,0.000589101620029455,0.00029864118261908315
000688.SH,15,10,6790,98,3,1,0.3333333333333333,0.01020408163265306,0.0004418262150220913,0.00029886431560071725
000688.SH,15,11,6790,93,1,1,1.0,0.010752688172043012,0.00014727540500736376,0.0
000688.SH,15,12,6790,105,1,1,1.0,0.009523809523809525,0.00014727540500736376,0.0
000688.SH,15,13,6790,86,0,0,,0.0,0.0,0.0
