symbol,horizon,sampling,segment,factor,rows,events,alerts,hits,precision,recall,alert_time_share,false_positive_rate
000852.SH,5,dense,all,2,111550,9671,2226,1546,0.6945193171608266,0.15985937338434494,0.019955177050649933,0.006674584556189205
000852.SH,5,dense,all,3,111550,3167,680,586,0.861764705882353,0.1850331544047995,0.006095921111609144,0.0008672946864360647
000852.SH,5,dense,all,4,111550,1455,452,400,0.8849557522123894,0.27491408934707906,0.004051994621246078,0.00047231936055225034
000852.SH,5,dense,first_decision,2,970,593,536,508,0.9477611940298507,0.8566610455311973,0.5525773195876289,0.07427055702917772
000852.SH,5,dense,first_decision,3,970,506,468,445,0.9508547008547008,0.8794466403162056,0.4824742268041237,0.04956896551724138
000852.SH,5,dense,first_decision,4,970,434,402,361,0.8980099502487562,0.8317972350230415,0.4144329896907217,0.07649253731343283
000852.SH,5,dense,first_30min,2,29100,3055,1387,1013,0.7303532804614276,0.3315875613747954,0.04766323024054983,0.01435976195047034
000852.SH,5,dense,first_30min,3,29100,1251,604,543,0.8990066225165563,0.434052757793765,0.020756013745704467,0.0021903838557937446
000852.SH,5,dense,first_30min,4,29100,751,442,394,0.8914027149321267,0.5246338215712384,0.015189003436426117,0.0016931814173339447
000852.SH,5,dense,after_30min,2,82450,6616,839,533,0.635280095351609,0.08056227327690448,0.010175864160097029,0.004035129361500119
000852.SH,5,dense,after_30min,3,82450,1916,76,43,0.5657894736842105,0.02244258872651357,0.0009217707701637356,0.00040976481982765044
000852.SH,5,dense,after_30min,4,82450,704,10,6,0.6,0.008522727272727272,0.00012128562765312311,4.8932057837692364e-05
000852.SH,5,dense,quiet_after_30min,2,33374,5152,810,515,0.6358024691358025,0.0999611801242236,0.02427039012404866,0.010452838211324499
000852.SH,5,dense,quiet_after_30min,3,33374,1786,76,43,0.5657894736842105,0.024076147816349383,0.0022772217894169115,0.0010447005191845005
000852.SH,5,dense,quiet_after_30min,4,33374,680,10,6,0.6,0.008823529411764706,0.00029963444597590937,0.00012234660794029485
000852.SH,5,nonoverlap,all,2,22310,2263,812,677,0.833743842364532,0.29916040653999115,0.036396234872254594,0.006734174689479722
000852.SH,5,nonoverlap,all,3,22310,962,496,458,0.9233870967741935,0.4760914760914761,0.022232182877633348,0.0017800262319655237
000852.SH,5,nonoverlap,all,4,22310,600,405,362,0.8938271604938272,0.6033333333333334,0.01815329448677723,0.0019806540764624597
000852.SH,5,nonoverlap,first_decision,2,970,593,536,508,0.9477611940298507,0.8566610455311973,0.5525773195876289,0.07427055702917772
000852.SH,5,nonoverlap,first_decision,3,970,506,468,445,0.9508547008547008,0.8794466403162056,0.4824742268041237,0.04956896551724138
000852.SH,5,nonoverlap,first_decision,4,970,434,402,361,0.8980099502487562,0.8317972350230415,0.4144329896907217,0.07649253731343283
000852.SH,5,nonoverlap,first_30min,2,5820,893,638,567,0.8887147335423198,0.6349384098544233,0.10962199312714777,0.014410391719098843
000852.SH,5,nonoverlap,first_30min,3,5820,565,480,448,0.9333333333333333,0.7929203539823009,0.08247422680412371,0.006089438629876308
000852.SH,5,nonoverlap,first_30min,4,5820,446,403,361,0.8957816377171216,0.8094170403587444,0.06924398625429554,0.007815407517677708
000852.SH,5,nonoverlap,after_30min,2,16490,1370,174,110,0.632183908045977,0.08029197080291971,0.01055184960582171,0.004232804232804233
000852.SH,5,nonoverlap,after_30min,3,16490,397,16,10,0.625,0.02518891687657431,0.0009702850212249849,0.0003728329087180762
000852.SH,5,nonoverlap,after_30min,4,16490,154,2,1,0.5,0.006493506493506494,0.00012128562765312311,6.121449559255632e-05
000852.SH,5,nonoverlap,quiet_after_30min,2,6574,1078,168,107,0.6369047619047619,0.09925788497217068,0.02555521752357773,0.011098981077147015
000852.SH,5,nonoverlap,quiet_after_30min,3,6574,369,16,10,0.625,0.02710027100271003,0.002433830240340736,0.0009669621273166801
000852.SH,5,nonoverlap,quiet_after_30min,4,6574,149,2,1,0.5,0.006711409395973154,0.000304228780042592,0.0001556420233463035
000852.SH,15,dense,all,2,101850,3394,772,731,0.9468911917098446,0.2153800824985268,0.007579774177712322,0.000416429674169172
000852.SH,15,dense,all,3,101850,1067,423,370,0.8747044917257684,0.3467666354264292,0.004153166421207658,0.0005258823412678726
000852.SH,15,dense,all,4,101850,564,295,243,0.823728813559322,0.4308510638297872,0.0028964162984781543,0.0005133977055071777
000852.SH,15,dense,first_decision,2,970,496,466,454,0.9742489270386266,0.9153225806451613,0.48041237113402063,0.02531645569620253
000852.SH,15,dense,first_decision,3,970,391,395,342,0.8658227848101265,0.8746803069053708,0.4072164948453608,0.09153713298791019
000852.SH,15,dense,first_decision,4,970,312,290,238,0.8206896551724138,0.7628205128205128,0.29896907216494845,0.0790273556231003
000852.SH,15,dense,first_30min,2,29100,1893,741,709,0.9568151147098516,0.3745377707342842,0.025463917525773195,0.0011761678979674349
000852.SH,15,dense,first_30min,3,29100,856,423,370,0.8747044917257684,0.4322429906542056,0.014536082474226804,0.0018765047443704858
000852.SH,15,dense,first_30min,4,29100,527,295,243,0.823728813559322,0.46110056925996207,0.01013745704467354,0.0018198999055051971
000852.SH,15,dense,after_30min,2,72750,1501,31,22,0.7096774193548387,0.014656895403064623,0.0004261168384879725,0.0001263175623517523
000852.SH,15,dense,after_30min,3,72750,211,0,0,,0.0,0.0,0.0
000852.SH,15,dense,after_30min,4,72750,37,0,0,,0.0,0.0,0.0
000852.SH,15,dense,quiet_after_30min,2,22328,1107,30,21,0.7,0.018970189701897018,0.0013436044428520243,0.0004241081947127845
000852.SH,15,dense,quiet_after_30min,3,22328,172,0,0,,0.0,0.0,0.0
000852.SH,15,dense,quiet_after_30min,4,22328,27,0,0,,0.0,0.0,0.0
000852.SH,15,nonoverlap,all,2,6790,607,468,455,0.9722222222222222,0.7495881383855024,0.06892488954344625,0.0021025392204431508
000852.SH,15,nonoverlap,all,3,6790,401,395,342,0.8658227848101265,0.8528678304239401,0.05817378497790869,0.008295507904210362
000852.SH,15,nonoverlap,all,4,6790,316,290,238,0.8206896551724138,0.7531645569620253,0.042709867452135494,0.008032128514056224
000852.SH,15,nonoverlap,first_decision,2,970,496,466,454,0.9742489270386266,0.9153225806451613,0.48041237113402063,0.02531645569620253
000852.SH,15,nonoverlap,first_decision,3,970,391,395,342,0.8658227848101265,0.8746803069053708,0.4072164948453608,0.09153713298791019
000852.SH,15,nonoverlap,first_decision,4,970,312,290,238,0.8206896551724138,0.7628205128205128,0.29896907216494845,0.0790273556231003
000852.SH,15,nonoverlap,first_30min,2,1940,501,467,454,0.9721627408993576,0.906187624750499,0.2407216494845361,0.009034051424600417
000852.SH,15,nonoverlap,first_30min,3,1940,391,395,342,0.8658227848101265,0.8746803069053708,0.2036082474226804,0.0342156229825694
000852.SH,15,nonoverlap,first_30min,4,1940,312,290,238,0.8206896551724138,0.7628205128205128,0.14948453608247422,0.03194103194103194
000852.SH,15,nonoverlap,after_30min,2,4850,106,1,1,1.0,0.009433962264150943,0.0002061855670103093,0.0
000852.SH,15,nonoverlap,after_30min,3,4850,10,0,0,,0.0,0.0,0.0
000852.SH,15,nonoverlap,after_30min,4,4850,4,0,0,,0.0,0.0,0.0
000852.SH,15,nonoverlap,quiet_after_30min,2,1420,78,1,1,1.0,0.01282051282051282,0.0007042253521126761,0.0
000852.SH,15,nonoverlap,quiet_after_30min,3,1420,7,0,0,,0.0,0.0,0.0
