components,rank,leg,pnl_log
slow,1,decline,0.11469781143288729
slow,1,recovery,0.23058839510210305
slow,2,decline,0.058299678132183265
slow,2,recovery,0.12126485448839755
slow,3,decline,0.18715678329779345
slow,3,recovery,0.19542060018015273
slow,4,decline,0.03212985161631417
slow,4,recovery,0.13881882970617537
slow,5,decline,0.11842981841348922
slow,5,recovery,0.21665247988961828
slow,6,decline,0.10131426300559587
slow,6,recovery,0.19243104298612979
slow,7,decline,0.1500047944131021
slow,7,recovery,0.22829175121156475
slow,8,decline,0.1057362542955843
slow,8,recovery,0.04515565570707708
slow,9,decline,0.016475934361803123
slow,9,recovery,0.1842001646529302
slow,10,decline,0.11268949572142924
slow,10,recovery,0.058074016395212945
medium,1,decline,0.105588022185213
medium,1,recovery,0.36063036569614587
medium,2,decline,0.0046033612351397985
medium,2,recovery,0.0514287553411258
medium,3,decline,0.21749344747310806
medium,3,recovery,0.23833289179341988
medium,4,decline,0.06249609133179049
medium,4,recovery,0.18422680485902876
medium,5,decline,0.16771758823397542
medium,5,recovery,0.2776356214393873
medium,6,decline,0.06266819256435263
medium,6,recovery,0.3051971355485763
medium,7,decline,0.1864537736502746
medium,7,recovery,0.3094903115378977
medium,8,decline,0.14858158753038475
medium,8,recovery,0.11247868733503005
medium,9,decline,0.009153491640940283
medium,9,recovery,0.24989094119142014
medium,10,decline,0.09798957557552422
medium,10,recovery,0.13006147298637957
medium+slow,1,decline,0.14293880836327078
medium+slow,1,recovery,0.4933284027759145
medium+slow,2,decline,0.047273904590526876
medium+slow,2,recovery,0.1956347057803596
medium+slow,3,decline,0.2883714110374711
medium+slow,3,recovery,0.33885345681946466
medium+slow,4,decline,0.07070494804380913
medium+slow,4,recovery,0.2733862464861077
medium+slow,5,decline,0.20046645955644685
medium+slow,5,recovery,0.4120893482004573
medium+slow,6,decline,0.1431208462568805
medium+slow,6,recovery,0.376502150552471
medium+slow,7,decline,0.23561051078964612
medium+slow,7,recovery,0.4861680749805999
medium+slow,8,decline,0.1713168171347094
medium+slow,8,recovery,0.15279361552742576
medium+slow,9,decline,0.009722328466473576
medium+slow,9,recovery,0.35929424974003976
medium+slow,10,decline,0.13491691031671962
medium+slow,10,recovery,0.17084171272439863
fast,1,decline,-0.2930950126194847
fast,1,recovery,-0.285333404862766
fast,2,decline,-0.026930429612642078
fast,2,recovery,-0.09241624772937151
fast,3,decline,-0.33072616237272856
fast,3,recovery,-0.23529041916728669
fast,4,decline,-0.143566846133896
fast,4,recovery,-0.22955889267398383
fast,5,decline,-0.3067043291907844
fast,5,recovery,-0.3486294427336023
fast,6,decline,-0.20706919515136568
fast,6,recovery,-0.28214890431662043
fast,7,decline,-0.3256096796773127
fast,7,recovery,-0.40257905057359566
fast,8,decline,-0.25961115825242137
fast,8,recovery,-0.07864412936495917
fast,9,decline,-0.06789275615911769
fast,9,recovery,-0.3038656792490967
fast,10,decline,-0.1814219511132053
fast,10,recovery,-0.0993672790947845
fast+slow,1,decline,-0.11737633188564303
fast+slow,1,recovery,0.04262553869292012
fast+slow,2,decline,-0.0006771043646532516
fast+slow,2,recovery,0.21093875821613356
fast+slow,3,decline,-0.1007864103359904
fast+slow,3,recovery,0.04917669608127281
fast+slow,4,decline,-0.08192354106889324
fast+slow,4,recovery,0.02092327741924778
fast+slow,5,decline,-0.04878970306734645
fast+slow,5,recovery,0.02600669858812631
fast+slow,6,decline,-0.017849182781573766
fast+slow,6,recovery,0.023038247467471944
fast+slow,7,decline,-0.030243026669895944
fast+slow,7,recovery,0.0034125972516082636
fast+slow,8,decline,-0.06653199928430681
fast+slow,8,recovery,0.03220702574034476
fast+slow,9,decline,-0.04223091039697243
fast+slow,9,recovery,0.022948080261575524
fast+slow,10,decline,0.010846007974539162
fast+slow,10,recovery,0.006331744806357547
fast+medium,1,decline,-0.20038641675352648
fast+medium,1,recovery,-0.06851233585175592
fast+medium,2,decline,-0.10326702154699678
fast+medium,2,recovery,-0.21669138219540943
fast+medium,3,decline,-0.23309944492267345
fast+medium,3,recovery,-0.040548478685950115
fast+medium,4,decline,-0.12570835897580776
fast+medium,4,recovery,0.010314542414582031
fast+medium,5,decline,-0.0812619186275351
fast+medium,5,recovery,-0.031894346531828086
fast+medium,6,decline,-0.20006698688211297
fast+medium,6,recovery,0.0015892328193627993
fast+medium,7,decline,-0.16738468448574637
fast+medium,7,recovery,-0.1165035659184718
fast+medium,8,decline,-0.09786548168705579
fast+medium,8,recovery,0.00895190343658759
fast+medium,9,decline,-0.08408322574897029
fast+medium,9,recovery,-0.013433778253423921
fast+medium,10,decline,-0.12436559075025672
fast+medium,10,recovery,0.05123227594122529
fast+medium+slow,1,decline,-0.1545951671536498
fast+medium+slow,1,recovery,0.15765209189206
fast+medium+slow,2,decline,-0.1324294086219068
fast+medium+slow,2,recovery,0.28530860950809656
fast+medium+slow,3,decline,-0.1290479163077842
fast+medium+slow,3,recovery,0.13452486385461404
fast+medium+slow,4,decline,-0.1264238294257219
fast+medium+slow,4,recovery,0.12779817859763315
fast+medium+slow,5,decline,-0.11351438511494288
fast+medium+slow,5,recovery,0.11379314136469196
fast+medium+slow,6,decline,-0.10954482071067807
fast+medium+slow,6,recovery,0.115792808523954
fast+medium+slow,7,decline,-0.10852410943951657
fast+medium+slow,7,recovery,0.10916962738210488
fast+medium+slow,8,decline,-0.09739057018873967
fast+medium+slow,8,recovery,0.10861659055320547
fast+medium+slow,9,decline,-0.09677250592490383
fast+medium+slow,9,recovery,0.0974567603617413
fast+medium+slow,10,decline,-0.09639216541646081
fast+medium+slow,10,recovery,0.1012418283004402
