view,year,feature,outcome,rho,n_days
5m_offset_0,2021,eff_1d,pnl_log,0.39562540456728235,243
5m_offset_0,2021,eff_1d,capture,0.4022448361742947,243
5m_offset_0,2021,eff_5d,pnl_log,0.06623947706908462,243
5m_offset_0,2021,eff_5d,capture,0.06021801054091169,243
5m_offset_0,2021,eff_20d,pnl_log,-0.06971352872992216,243
5m_offset_0,2021,eff_20d,capture,-0.06478010775079826,243
5m_offset_0,2021,rv_1d,pnl_log,0.03747108441594283,243
5m_offset_0,2021,rv_1d,capture,-0.0040678351656990505,243
5m_offset_0,2021,rv_5d,pnl_log,-0.058484329969675224,243
5m_offset_0,2021,rv_5d,capture,-0.10224450164837645,243
5m_offset_0,2021,rv_20d,pnl_log,-0.01039288396466737,243
5m_offset_0,2021,rv_20d,capture,-0.050518431541779776,243
5m_offset_0,2021,rv_ratio_1_20,pnl_log,0.043465788870657225,243
5m_offset_0,2021,rv_ratio_1_20,capture,0.018209082044154074,243
5m_offset_0,2021,drift_disagree_1_20,pnl_log,-0.10332440022000453,243
5m_offset_0,2021,drift_disagree_1_20,capture,-0.08618302506829871,243
5m_offset_0,2021,acf1_5d,pnl_log,0.029833021387914584,243
5m_offset_0,2021,acf1_5d,capture,0.008906752572922469,243
5m_offset_0,2021,acf3_5d,pnl_log,0.06906789370773474,243
5m_offset_0,2021,acf3_5d,capture,0.0921702536208249,243
5m_offset_0,2021,acf12_5d,pnl_log,0.07408578248121218,243
5m_offset_0,2021,acf12_5d,capture,0.08632943108849715,243
5m_offset_0,2021,fast_share_1d,pnl_log,-0.20173418236011378,243
5m_offset_0,2021,fast_share_1d,capture,-0.21017594390669403,243
5m_offset_0,2021,fast_share_5d,pnl_log,-0.14596536653168543,243
5m_offset_0,2021,fast_share_5d,capture,-0.117158503397947,243
5m_offset_0,2021,fast_share_20d,pnl_log,-0.11656304726349435,243
5m_offset_0,2021,fast_share_20d,capture,-0.09205316954944376,243
5m_offset_0,2021,work_turns_5d,pnl_log,0.03404001235258954,243
5m_offset_0,2021,work_turns_5d,capture,0.035668158900026024,243
5m_offset_0,2021,slow_work_velocity_5d,pnl_log,0.07034578271538033,243
5m_offset_0,2021,slow_work_velocity_5d,capture,0.07803736989032567,243
5m_offset_0,2021,slow_work_opposition_5d,pnl_log,-0.032429321775823854,243
5m_offset_0,2021,slow_work_opposition_5d,capture,-0.013084113762183415,243
5m_offset_0,2021,wick_1d,pnl_log,-0.055655913331025104,243
5m_offset_0,2021,wick_1d,capture,-0.032100270798730804,243
5m_offset_0,2021,gap_share_1d,pnl_log,0.039755896437466236,243
5m_offset_0,2021,gap_share_1d,capture,0.05742806438285822,243
5m_offset_0,2021,threshold_work_amplitude_5d,pnl_log,-0.17850888417207345,243
5m_offset_0,2021,threshold_work_amplitude_5d,capture,-0.15513304932082875,243
5m_offset_0,2022,eff_1d,pnl_log,0.38963379551836735,242
5m_offset_0,2022,eff_1d,capture,0.3962103113366788,242
5m_offset_0,2022,eff_5d,pnl_log,0.09333919267277749,242
5m_offset_0,2022,eff_5d,capture,0.09086167428931166,242
5m_offset_0,2022,eff_20d,pnl_log,0.05154736941484081,242
5m_offset_0,2022,eff_20d,capture,0.038553522144619844,242
5m_offset_0,2022,rv_1d,pnl_log,0.17370358939578104,242
5m_offset_0,2022,rv_1d,capture,0.15340165560208313,242
5m_offset_0,2022,rv_5d,pnl_log,0.06669613270895806,242
5m_offset_0,2022,rv_5d,capture,0.04155770369777663,242
5m_offset_0,2022,rv_20d,pnl_log,0.05677589847085635,242
5m_offset_0,2022,rv_20d,capture,0.04850254504473039,242
5m_offset_0,2022,rv_ratio_1_20,pnl_log,0.15306296546080278,242
5m_offset_0,2022,rv_ratio_1_20,capture,0.13286348543484217,242
5m_offset_0,2022,drift_disagree_1_20,pnl_log,-0.08504877261128764,242
5m_offset_0,2022,drift_disagree_1_20,capture,-0.10883359885003757,242
5m_offset_0,2022,acf1_5d,pnl_log,-0.08186945103831814,242
5m_offset_0,2022,acf1_5d,capture,-0.0834333527656802,242
5m_offset_0,2022,acf3_5d,pnl_log,0.16029399997713842,242
5m_offset_0,2022,acf3_5d,capture,0.14553811724690638,242
5m_offset_0,2022,acf12_5d,pnl_log,0.007838559957257305,242
5m_offset_0,2022,acf12_5d,capture,0.009272912705579625,242
5m_offset_0,2022,fast_share_1d,pnl_log,-0.2409682981794135,242
5m_offset_0,2022,fast_share_1d,capture,-0.22933683200249283,242
5m_offset_0,2022,fast_share_5d,pnl_log,-0.07506939972676173,242
5m_offset_0,2022,fast_share_5d,capture,-0.06688071883595585,242
5m_offset_0,2022,fast_share_20d,pnl_log,-0.018430247400447325,242
5m_offset_0,2022,fast_share_20d,capture,-0.004805589742091692,242
5m_offset_0,2022,work_turns_5d,pnl_log,-0.09128432509463572,242
5m_offset_0,2022,work_turns_5d,capture,-0.09000674861401167,242
5m_offset_0,2022,slow_work_velocity_5d,pnl_log,0.2096098247236183,242
5m_offset_0,2022,slow_work_velocity_5d,capture,0.20178523573468876,242
5m_offset_0,2022,slow_work_opposition_5d,pnl_log,0.03929945335385658,242
5m_offset_0,2022,slow_work_opposition_5d,capture,0.04559531356139035,242
5m_offset_0,2022,wick_1d,pnl_log,-0.129853376804213,242
5m_offset_0,2022,wick_1d,capture,-0.10913400741138703,242
5m_offset_0,2022,gap_share_1d,pnl_log,-0.0004525747012858795,242
5m_offset_0,2022,gap_share_1d,capture,-0.016050102432599606,242
5m_offset_0,2022,threshold_work_amplitude_5d,pnl_log,-0.1895153386414546,242
5m_offset_0,2022,threshold_work_amplitude_5d,capture,-0.17022100801806575,242
5m_offset_0,2023,eff_1d,pnl_log,0.3788431276171752,242
5m_offset_0,2023,eff_1d,capture,0.37781096941162323,242
5m_offset_0,2023,eff_5d,pnl_log,0.08101595188229165,242
5m_offset_0,2023,eff_5d,capture,0.09347805563070244,242
5m_offset_0,2023,eff_20d,pnl_log,0.07932165445053664,242
5m_offset_0,2023,eff_20d,capture,0.08218358614435567,242
5m_offset_0,2023,rv_1d,pnl_log,0.1209221177786499,242
5m_offset_0,2023,rv_1d,capture,0.10068876873856128,242
5m_offset_0,2023,rv_5d,pnl_log,0.036202165838780956,242
5m_offset_0,2023,rv_5d,capture,0.026066016635613018,242
5m_offset_0,2023,rv_20d,pnl_log,-0.07161814718711487,242
5m_offset_0,2023,rv_20d,capture,-0.0791844849433181,242
5m_offset_0,2023,rv_ratio_1_20,pnl_log,0.16676382840094647,242
5m_offset_0,2023,rv_ratio_1_20,capture,0.14716975700252452,242
5m_offset_0,2023,drift_disagree_1_20,pnl_log,-0.0463611796203106,242
5m_offset_0,2023,drift_disagree_1_20,capture,-0.051021195097609856,242
5m_offset_0,2023,acf1_5d,pnl_log,0.026514781072809492,242
5m_offset_0,2023,acf1_5d,capture,0.032357186009895685,242
5m_offset_0,2023,acf3_5d,pnl_log,0.03065780822602148,242
5m_offset_0,2023,acf3_5d,capture,0.026649410403968433,242
5m_offset_0,2023,acf12_5d,pnl_log,0.10120442447866063,242
5m_offset_0,2023,acf12_5d,capture,0.10898159684781088,242
5m_offset_0,2023,fast_share_1d,pnl_log,-0.3754435253240736,242
5m_offset_0,2023,fast_share_1d,capture,-0.37818268184167847,242
5m_offset_0,2023,fast_share_5d,pnl_log,-0.08285503934944398,242
5m_offset_0,2023,fast_share_5d,capture,-0.08231313512339541,242
5m_offset_0,2023,fast_share_20d,pnl_log,-0.043865030285249074,242
5m_offset_0,2023,fast_share_20d,capture,-0.03542995231666173,242
5m_offset_0,2023,work_turns_5d,pnl_log,0.018027230280907823,242
5m_offset_0,2023,work_turns_5d,capture,-0.006848470864387836,242
5m_offset_0,2023,slow_work_velocity_5d,pnl_log,0.11430157224197211,242
5m_offset_0,2023,slow_work_velocity_5d,capture,0.12582804447509593,242
5m_offset_0,2023,slow_work_opposition_5d,pnl_log,0.1383111094101109,242
5m_offset_0,2023,slow_work_opposition_5d,capture,0.13251642572985517,242
5m_offset_0,2023,wick_1d,pnl_log,0.04090657190116514,242
5m_offset_0,2023,wick_1d,capture,0.0575701268521588,242
5m_offset_0,2023,gap_share_1d,pnl_log,0.18185501437104606,242
5m_offset_0,2023,gap_share_1d,capture,0.17150041002675231,242
5m_offset_0,2023,threshold_work_amplitude_5d,pnl_log,-0.1397736110423147,242
