feature,outcome,rho,ci_low,ci_high,n_days,circular_p,circular_maxT_p,block20_p,block20_maxT_p
eff_1d,pnl_log,0.3449464147802127,0.2958916421988537,0.3924377435501664,1192,0.0005,0.0005,0.0005,0.0005
eff_1d,capture,0.3609627795533221,0.31476064928329295,0.40549254541053953,1192,0.0005,0.0005,0.0005,0.0005
eff_5d,pnl_log,0.08773047286498578,0.02749662326306954,0.14084208730388664,1192,0.0015,0.0535,0.0015,0.058
eff_5d,capture,0.07818906423401244,0.022421331494100364,0.12852152466591926,1192,0.0045,0.1335,0.0055,0.155
eff_20d,pnl_log,0.03315803726203317,-0.018842751253595993,0.0823176921778659,1192,0.2435,0.996,0.246,0.9985
eff_20d,capture,0.015602530542899824,-0.034256503807231116,0.06525510024927496,1192,0.573,1.0,0.581,1.0
rv_1d,pnl_log,0.12053754126312233,0.05430345659151665,0.17837592222013585,1192,0.0005,0.001,0.0005,0.0025
rv_1d,capture,0.07976546627074435,0.019681111020263316,0.13610839486278264,1192,0.006,0.1145,0.0055,0.1335
rv_5d,pnl_log,0.04069799628123105,-0.026638087576550135,0.09350677558313457,1192,0.1645,0.96,0.18,0.9705
rv_5d,capture,0.0007048514315688859,-0.059998124053922276,0.05062505058655856,1192,0.9775,1.0,0.98,1.0
rv_20d,pnl_log,0.02090600117907879,-0.039067704242977515,0.06560373879973481,1192,0.4615,1.0,0.4945,1.0
rv_20d,capture,-0.007345270630545799,-0.0596201320833811,0.03648211805666635,1192,0.773,1.0,0.807,1.0
rv_ratio_1_20,pnl_log,0.12259602883365936,0.06427189253530412,0.17290804902838366,1192,0.0005,0.001,0.0005,0.0025
rv_ratio_1_20,capture,0.09706509682193497,0.042168372068490466,0.14676329587699352,1192,0.001,0.0175,0.001,0.022
drift_disagree_1_20,pnl_log,-0.05704625783908297,-0.11337538781820378,-0.006337095190435492,1192,0.038,0.604,0.0505,0.6425
drift_disagree_1_20,capture,-0.06857688881416087,-0.1198349248590427,-0.0176934462091821,1192,0.011,0.292,0.0215,0.325
acf1_5d,pnl_log,-0.0017853940621012673,-0.056883305689102694,0.052166938843046254,1192,0.955,1.0,0.9475,1.0
acf1_5d,capture,3.5935679900850966e-05,-0.055322378259019596,0.05030180433411788,1192,0.999,1.0,0.998,1.0
acf3_5d,pnl_log,0.08435711024510341,0.030992848112278187,0.14598576828059212,1192,0.0025,0.072,0.004,0.0815
acf3_5d,capture,0.08747035858246013,0.03579152613575333,0.1463845436981966,1192,0.0025,0.0555,0.0025,0.06
acf12_5d,pnl_log,0.0446057145147743,-0.008447123359174491,0.100170229549314,1192,0.101,0.908,0.145,0.9275
acf12_5d,capture,0.058322548950444156,0.007433436044763208,0.11107093291278568,1192,0.023,0.57,0.049,0.603
fast_share_1d,pnl_log,-0.2720822766374552,-0.322963107016309,-0.2224058358949856,1192,0.0005,0.0005,0.0005,0.0005
fast_share_1d,capture,-0.27811311368892466,-0.32845225231118164,-0.23032433309992728,1192,0.0005,0.0005,0.0005,0.0005
fast_share_5d,pnl_log,-0.08597924860170912,-0.13564740144725154,-0.03692212750687014,1192,0.0045,0.063,0.004,0.0695
fast_share_5d,capture,-0.0847427786721475,-0.1344399871901353,-0.03720680401499667,1192,0.004,0.0705,0.003,0.076
fast_share_20d,pnl_log,-0.04362618028180108,-0.09670897946461195,0.01088440983591038,1192,0.1475,0.921,0.1365,0.9375
fast_share_20d,capture,-0.04161590126464456,-0.0916076433855564,0.0042177800705991515,1192,0.1655,0.9525,0.142,0.9625
work_turns_5d,pnl_log,-0.023113325511368216,-0.08562580956082935,0.036757999759781335,1192,0.4,1.0,0.452,1.0
work_turns_5d,capture,-0.020132283233579185,-0.07790892650501023,0.0343752901595761,1192,0.4555,1.0,0.4855,1.0
slow_work_velocity_5d,pnl_log,0.15073905213331232,0.10224197931750205,0.19486495116775251,1192,0.0005,0.0005,0.0005,0.001
slow_work_velocity_5d,capture,0.14565084240032328,0.09331245268979092,0.18899153404377658,1192,0.0005,0.0005,0.0005,0.0015
slow_work_opposition_5d,pnl_log,0.024026545184982245,-0.03416300969049757,0.07880834633649438,1192,0.41,1.0,0.4005,1.0
slow_work_opposition_5d,capture,0.01689433551398182,-0.038969235525593574,0.0706412824805848,1192,0.5515,1.0,0.5565,1.0
wick_1d,pnl_log,-0.05569933261173547,-0.10697346981360513,0.0006972001771156763,1192,0.08,0.6405,0.0545,0.686
wick_1d,capture,-0.024298435314584213,-0.0739636756044646,0.03128946147848773,1192,0.4115,1.0,0.4135,1.0
gap_share_1d,pnl_log,0.03518897708778132,-0.02170185133771246,0.08944865544696233,1192,0.216,0.9915,0.213,0.9955
gap_share_1d,capture,0.03141281699441567,-0.021223742179759583,0.08736427802689574,1192,0.271,0.9965,0.272,1.0
threshold_work_amplitude_5d,pnl_log,-0.14969824182699468,-0.19832800866735223,-0.09510045811204937,1192,0.0005,0.0005,0.0005,0.001
threshold_work_amplitude_5d,capture,-0.13429940566623555,-0.1826650863898781,-0.08170883685088422,1192,0.0005,0.0005,0.0005,0.002
