feature,outcome,rho,ci_low,ci_high,n_days,circular_p,circular_maxT_p,block20_p,block20_maxT_p
eff_1d,pnl_log,-0.019499300313770576,-0.07709005275073426,0.040645262363992754,1192,0.5015,1.0,0.4975,1.0
eff_1d,capture,-0.02951113966344601,-0.08838413795379194,0.0317127726569365,1192,0.3085,0.9995,0.3095,1.0
eff_5d,pnl_log,-0.01244107365216257,-0.06912614871672625,0.046962544768780395,1192,0.6495,1.0,0.663,1.0
eff_5d,capture,-0.02941154397074782,-0.08358851375073427,0.03447003896625366,1192,0.2785,0.9995,0.303,1.0
eff_20d,pnl_log,0.01839297581952553,-0.0397767529493371,0.06903132361523585,1192,0.497,1.0,0.496,1.0
eff_20d,capture,0.004029828909963128,-0.05049875325155188,0.05341424628246591,1192,0.866,1.0,0.877,1.0
rv_1d,pnl_log,0.028911446449965402,-0.04714861786847889,0.09137159265685865,1192,0.3395,0.9995,0.333,1.0
rv_1d,capture,-0.00828277689390525,-0.07761098880433265,0.04667217097124151,1192,0.7805,1.0,0.77,1.0
rv_5d,pnl_log,0.017949563081289407,-0.04554073116910631,0.06600037613157324,1192,0.549,1.0,0.56,1.0
rv_5d,capture,-0.01764194659781378,-0.07411195545970357,0.025925029643178513,1192,0.5335,1.0,0.5455,1.0
rv_20d,pnl_log,0.006594947761264529,-0.04858250755842437,0.05195649574889697,1192,0.801,1.0,0.853,1.0
rv_20d,capture,-0.01914559433420588,-0.06767163244790693,0.023616034243391648,1192,0.4515,1.0,0.52,1.0
rv_ratio_1_20,pnl_log,0.005364658415469625,-0.06646157138846276,0.06777007051566883,1192,0.8565,1.0,0.843,1.0
rv_ratio_1_20,capture,-0.012255832727268217,-0.07832560562309558,0.04297684077778866,1192,0.678,1.0,0.6585,1.0
drift_disagree_1_20,pnl_log,0.009366640682554819,-0.044359327744866464,0.058493990872070564,1192,0.7195,1.0,0.748,1.0
drift_disagree_1_20,capture,0.00905952925350546,-0.04413514501789683,0.062458817965743776,1192,0.738,1.0,0.7555,1.0
acf1_5d,pnl_log,-0.04393997734904344,-0.09021051405007521,0.005605865121265414,1192,0.148,0.926,0.1395,0.9335
acf1_5d,capture,-0.04282464686130974,-0.08995079480150293,0.007303006103321703,1192,0.1575,0.936,0.152,0.9535
acf3_5d,pnl_log,-0.0011588594562622519,-0.05423219688247389,0.05466472829942045,1192,0.9595,1.0,0.9735,1.0
acf3_5d,capture,0.00021941072371897685,-0.051637779894713874,0.054327767334065885,1192,0.992,1.0,0.994,1.0
acf12_5d,pnl_log,-0.0450440061978894,-0.0968535863011134,0.01200320147298555,1192,0.096,0.9125,0.1305,0.92
acf12_5d,capture,-0.03369998616432175,-0.08410834528667019,0.02140579916262981,1192,0.2135,0.995,0.2395,0.995
fast_share_1d,pnl_log,0.022870190700146252,-0.029199683052977602,0.07934502202227066,1192,0.441,1.0,0.4235,1.0
fast_share_1d,capture,0.023627047329409505,-0.02709305885527125,0.07796637286909094,1192,0.436,1.0,0.4165,1.0
fast_share_5d,pnl_log,0.049913953029859015,0.002324266925387839,0.10096089689766231,1192,0.1025,0.804,0.0785,0.823
fast_share_5d,capture,0.056590572790898214,0.011302533967174363,0.10674064766627381,1192,0.0545,0.6305,0.0415,0.656
fast_share_20d,pnl_log,0.03438920954836621,-0.019183550499582824,0.0929441775271789,1192,0.272,0.994,0.218,0.9945
fast_share_20d,capture,0.03468428827620072,-0.014997209315872118,0.08670965096207488,1192,0.267,0.9935,0.205,0.9945
work_turns_5d,pnl_log,-0.036433570639127416,-0.0902541246767499,0.021585051264126992,1192,0.197,0.988,0.206,0.991
work_turns_5d,capture,-0.030018999051946913,-0.08384113888541259,0.02868947172664436,1192,0.2765,0.9995,0.2905,0.9995
slow_work_velocity_5d,pnl_log,-0.050205146819325905,-0.10814171695555763,0.000350774627503377,1192,0.0655,0.798,0.0775,0.8175
slow_work_velocity_5d,capture,-0.06296610982844376,-0.11867456204177318,-0.013796868105938387,1192,0.022,0.443,0.0375,0.4705
slow_work_opposition_5d,pnl_log,-0.022784869086464377,-0.08039874811085518,0.02748897973527406,1192,0.4345,1.0,0.457,1.0
slow_work_opposition_5d,capture,-0.02338675956761546,-0.07690054315060746,0.024154604236832154,1192,0.427,1.0,0.4465,1.0
wick_1d,pnl_log,-0.021563968468074315,-0.07563456800633521,0.03627166915746394,1192,0.4745,1.0,0.4415,1.0
wick_1d,capture,-0.006722444374966825,-0.05559846799748345,0.04863919735926839,1192,0.8245,1.0,0.8125,1.0
gap_share_1d,pnl_log,-0.04017494230645789,-0.09511381971741312,0.013637336699280403,1192,0.1495,0.964,0.1995,0.9725
gap_share_1d,capture,-0.055032889093574094,-0.10828405327932208,-0.000361454651824261,1192,0.0565,0.6775,0.0785,0.7035
threshold_work_amplitude_5d,pnl_log,0.04845056738200447,0.0007003398120214498,0.10641333877170565,1192,0.1,0.84,0.097,0.856
threshold_work_amplitude_5d,capture,0.06388242551888869,0.01908195217672999,0.11674254517924276,1192,0.028,0.4125,0.0295,0.448
