year,cell,table,days,losing_days,winning_days,mean_pnl_bp,median_pnl_bp,mean_capture,loss_log,positive_log,net_log
2021,00,fast_slow,57,23,34,44.56205765185617,27.933535184808,0.03972593966923036,-0.246407565610208,0.5004112942257882,0.2540037286155802
2021,01,fast_slow,81,31,50,38.94696686124976,32.491663242045,0.05624832973510717,-0.3047715425894398,0.6202419741655629,0.3154704315761231
2021,10,fast_slow,57,28,29,0.8438510801580729,2.0014881840750003,0.00596278074330629,-0.24938212939303478,0.2541920805499358,0.004809951156901015
2021,11,fast_slow,48,22,26,-1.9886234993140162,10.701010410505999,0.01348660906549441,-0.2515291758202718,0.24198378302356452,-0.009545392796707278
2022,00,fast_slow,52,25,27,6.627864899231208,1.8408540771631865,-0.0020207365481629213,-0.29704198760268274,0.33150688507868503,0.03446489747600228
2022,01,fast_slow,74,28,46,48.77918623653264,49.66645629135451,0.05201316316956485,-0.40048935485957377,0.7614553330099154,0.36096597815034154
2022,10,fast_slow,72,41,31,-4.8844420242721105,-21.106636255667,-0.008140313908265643,-0.4897113132859976,0.4545433307112384,-0.0351679825747592
2022,11,fast_slow,44,17,27,44.05295360730664,33.8444511932,0.049598405400468774,-0.1912239548385542,0.3850569507107034,0.19383299587214922
2023,00,fast_slow,54,26,28,6.030218040285074,10.091047415040501,-0.00479613716629777,-0.2294888901419932,0.2620520675595326,0.0325631774175394
2023,01,fast_slow,50,19,31,32.68405957522764,45.015122586286495,0.06802136761442623,-0.18148975845288892,0.34491005632902705,0.1634202978761382
2023,10,fast_slow,68,37,31,5.284188128355717,-12.5621502863405,0.005423601406439404,-0.234910835985924,0.27084331525874283,0.035932479272818875
2023,11,fast_slow,70,34,36,6.025399879071685,3.9813759447245003,0.003292375482166319,-0.2398684741347741,0.2820462732882759,0.0421777991535018
2024,00,fast_slow,45,23,22,19.385827645627785,-1.6982536194339999,0.01567122773578982,-0.248374474716089,0.33561069912141395,0.08723622440532502
2024,01,fast_slow,69,24,45,98.65541780884602,60.433733235078996,0.10523854714391524,-0.23115202551181327,0.9118744083928509,0.6807223828810376
2024,10,fast_slow,71,30,41,13.241727640280384,8.404078385962,0.012114066257021609,-0.27582050873732206,0.3698367749833127,0.09401626624599073
2024,11,fast_slow,57,20,37,63.95685865156763,39.395393992476,0.04003730741424382,-0.24101802097410402,0.6055721152880394,0.3645540943139355
2025,00,fast_slow,65,32,33,0.34791616645477963,0.9288283333217596,0.0045170798101202385,-0.2915309139297243,0.2937923690116804,0.0022614550819560677
2025,01,fast_slow,49,18,31,62.166348793297246,54.816634275854,0.055657754278877314,-0.1973969423733225,0.502012051460479,0.3046151090871565
2025,10,fast_slow,55,29,26,-19.354788487012403,-3.0891267692730002,-0.017438570003114037,-0.34419317236566016,0.237741835687092,-0.10645133667856821
2025,11,fast_slow,54,20,34,60.32766948989839,69.1857591823345,0.05269602532686383,-0.251617188431937,0.5773866036773883,0.32576941524545133
2021,00,short_long_eff,56,26,30,-2.7519459809152167,3.062232521654,-0.025179165138449915,-0.3398824046127281,0.32447150711960293,-0.015410897493125214
2021,01,short_long_eff,59,38,21,-35.1519520473739,-38.936960240862,-0.04765903731459078,-0.37714041293522943,0.16974389585572353,-0.207396517079506
2021,10,short_long_eff,54,18,36,67.59900737299257,73.6886940401525,0.10468489431892553,-0.1172070458342398,0.4822416856483997,0.3650346398141599
2021,11,short_long_eff,74,22,52,57.096147744644355,49.366103076528,0.0861710968012713,-0.217860550030757,0.6403720433411252,0.4225114933103682
2022,00,short_long_eff,60,33,27,-22.23729317262048,-13.20036201226,-0.025751536017118597,-0.461306322313968,0.32788256327824516,-0.13342375903572287
2022,01,short_long_eff,63,38,25,-38.28450439471371,-40.99556754959401,-0.06562997112908972,-0.510531271952926,0.2693388942662295,-0.24119237768669638
2022,10,short_long_eff,42,17,25,44.035507317813455,43.213905692299996,0.046803285956094634,-0.2062511156733352,0.3912002464081517,0.1849491307348165
2022,11,short_long_eff,77,23,54,96.59258375471902,87.534437390774,0.1175865628866574,-0.20037790064657918,0.9441407955579157,0.7437628949113365
2023,00,short_long_eff,68,49,19,-33.03768315375237,-40.369747846807996,-0.06604209812550947,-0.37738461024629155,0.1527283648007755,-0.22465624544551613
2023,01,short_long_eff,50,28,22,-6.117734089704964,-22.475820082509998,-0.024980612895626697,-0.2278849545339924,0.1972962840854676,-0.03058867044852482
2023,10,short_long_eff,71,24,47,40.15361043229062,49.717149701207,0.07092453040623972,-0.1722209996817045,0.4573116337509679,0.2850906340692634
2023,11,short_long_eff,53,15,38,46.084535008448256,41.164326387447,0.08387924172837195,-0.1082673942535917,0.3525154297983675,0.24424803554477578
2024,00,short_long_eff,63,33,30,-7.209202993474078,-23.246456615588997,-0.0248699315296484,-0.41601366366331455,0.37059568480442784,-0.04541797885888669
2024,01,short_long_eff,54,25,29,31.7906150044196,9.4355838718755,0.017538836803905538,-0.22807461057916137,0.3997439316030272,0.17166932102386584
2024,10,short_long_eff,65,21,44,65.42433773508887,67.590130630228,0.08404282872054811,-0.1784516563212272,0.6037098515993048,0.4252581952780776
2024,11,short_long_eff,60,18,42,112.50323840053869,65.37024263889401,0.10443024766704077,-0.1738250993756252,0.8488445297788573,0.6750194304032322
2025,00,short_long_eff,63,33,30,2.497991054176651,-6.241363198126,-0.0025078787468935508,-0.3028889790127572,0.31862632265407015,0.0157373436413129
2025,01,short_long_eff,60,37,23,-29.318975161698567,-17.567997306764003,-0.04563475942753164,-0.45149049084233406,0.2755766398721426,-0.17591385097019138
2025,10,short_long_eff,54,14,40,49.69101218611972,49.291238663658994,0.07727114542826215,-0.18560199298560942,0.45393345879065594,0.2683314658050465
