table,cell,start,end,days,pnl_log
fast_slow,11,2021-01-04,2021-01-06,3,-0.004403731375972402
fast_slow,01,2021-01-07,2021-01-08,2,-0.028439498451339702
fast_slow,00,2021-01-11,2021-01-13,3,-0.0108406843581375
fast_slow,01,2021-01-14,2021-01-14,1,0.0296436823618383
fast_slow,00,2021-01-15,2021-01-15,1,-0.0055377405892729
fast_slow,01,2021-01-18,2021-01-18,1,-0.0117538387667887
fast_slow,00,2021-01-19,2021-01-27,7,0.024060101398657698
fast_slow,01,2021-01-28,2021-01-28,1,0.012576445488693
fast_slow,00,2021-01-29,2021-01-29,1,-0.0061791109008291
fast_slow,10,2021-02-01,2021-02-01,1,0.0002001488184075
fast_slow,00,2021-02-02,2021-02-08,5,0.0324137229662663
fast_slow,01,2021-02-09,2021-03-02,11,0.0268638389915443
fast_slow,00,2021-03-03,2021-03-03,1,-0.0081275231040328
fast_slow,10,2021-03-04,2021-03-04,1,-0.0012672589470074
fast_slow,11,2021-03-05,2021-03-05,1,-0.0048835500459415
fast_slow,01,2021-03-08,2021-03-09,2,0.0584256471738321
fast_slow,11,2021-03-10,2021-03-12,3,-0.0764945580758543
fast_slow,10,2021-03-15,2021-03-26,10,0.032469523579839996
fast_slow,11,2021-03-29,2021-03-31,3,-0.0119507670071926
fast_slow,01,2021-04-01,2021-04-09,6,-0.0003537912537091995
fast_slow,11,2021-04-12,2021-04-16,5,-0.0190556289143909
fast_slow,01,2021-04-19,2021-04-23,5,-0.0315717998020101
fast_slow,00,2021-04-26,2021-04-27,2,0.0257413420138396
fast_slow,10,2021-04-28,2021-04-29,2,-0.003819471398242999
fast_slow,00,2021-04-30,2021-04-30,1,-0.0056121071098071
fast_slow,10,2021-05-06,2021-05-06,1,-0.012265625295404
fast_slow,01,2021-05-07,2021-05-12,4,0.039149743449102506
fast_slow,11,2021-05-13,2021-05-14,2,0.008952983491380299
fast_slow,01,2021-05-17,2021-05-20,4,-0.003921692556785102
fast_slow,00,2021-05-21,2021-05-24,2,0.0020688218482637997
fast_slow,01,2021-05-25,2021-06-03,8,0.08841848689387641
fast_slow,00,2021-06-04,2021-06-16,8,0.0167070398777545
fast_slow,01,2021-06-17,2021-07-01,11,0.03732237156954431
fast_slow,00,2021-07-02,2021-07-14,9,-0.03837706182113161
fast_slow,10,2021-07-15,2021-07-15,1,0.0153205624410465
fast_slow,11,2021-07-16,2021-07-23,6,0.0346345625536038
fast_slow,00,2021-07-26,2021-08-02,6,0.1810160505547163
fast_slow,10,2021-08-03,2021-08-17,11,-0.028918001583142082
fast_slow,11,2021-08-18,2021-08-19,2,-0.010386163244517
fast_slow,10,2021-08-20,2021-08-20,1,0.0004628885659342
fast_slow,00,2021-08-23,2021-08-24,2,-0.010447844757153801
fast_slow,01,2021-08-25,2021-09-01,6,0.04498122788866181
fast_slow,11,2021-09-02,2021-09-02,1,0.0012267656761217
fast_slow,01,2021-09-03,2021-09-03,1,-0.0172783913431904
fast_slow,11,2021-09-06,2021-09-06,1,0.0115440198223029
fast_slow,10,2021-09-07,2021-09-13,5,-0.013373625860022498
fast_slow,00,2021-09-14,2021-09-14,1,0.0034764703257143
fast_slow,01,2021-09-15,2021-09-17,3,0.015679309077791703
fast_slow,11,2021-09-22,2021-09-24,3,0.003704294453522201
fast_slow,10,2021-09-27,2021-10-11,6,-0.018869456962744197
fast_slow,00,2021-10-12,2021-10-13,2,0.028984604623304898
fast_slow,01,2021-10-14,2021-10-15,2,-0.0011109895180646
fast_slow,00,2021-10-18,2021-10-18,1,0.0192255020709541
fast_slow,10,2021-10-19,2021-10-28,8,0.0243571777283284
fast_slow,11,2021-10-29,2021-11-04,5,0.0089785122782132
fast_slow,10,2021-11-05,2021-11-10,4,0.0191438083335954
fast_slow,01,2021-11-11,2021-11-11,1,0.0075789460349059
fast_slow,10,2021-11-12,2021-11-12,1,-0.0058169985966909
fast_slow,00,2021-11-15,2021-11-18,4,-0.011142939072891099
fast_slow,01,2021-11-19,2021-11-24,4,0.0102497477388934
fast_slow,11,2021-11-25,2021-11-26,2,0.007378779377492
fast_slow,10,2021-11-29,2021-11-30,2,0.0030194704183449
fast_slow,11,2021-12-01,2021-12-03,3,0.0043474747702331
fast_slow,01,2021-12-06,2021-12-13,6,0.0379766654891428
fast_slow,11,2021-12-14,2021-12-20,5,0.03704797152050232
fast_slow,01,2021-12-21,2021-12-22,2,0.001034321110184401
fast_slow,11,2021-12-23,2021-12-24,2,-0.013267357998891898
fast_slow,10,2021-12-27,2021-12-29,3,-0.005833190085341801
fast_slow,11,2021-12-30,2021-12-30,1,0.0130809999226818
fast_slow,00,2021-12-31,2021-12-31,1,0.0165750846493646
fast_slow,01,2022-01-04,2022-01-11,6,0.0457647901092265
fast_slow,00,2022-01-12,2022-01-18,5,-0.025899305307433843
