rank,leg,table,cell,bars,pnl_log,positive_log,negative_log,sample_note
1,decline,fast_slow,00,141,-0.03315780136122072,0.11887392746962697,-0.1520317288308477,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,decline,fast_slow,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,decline,fast_slow,10,353,-0.12010130652916845,0.33771481205105824,-0.4578161185802268,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,decline,fast_slow,11,192,-0.0013360592632600948,0.1483613181308585,-0.1496973773941186,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,decline,short_long_eff,00,206,-0.11817691086315699,0.20109411191847856,-0.31927102278163555,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,decline,short_long_eff,01,192,-0.011179400028496241,0.17342064714642597,-0.18460004717492218,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,decline,short_long_eff,10,144,-0.02929294183597715,0.1209221487447537,-0.15021509058073085,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,decline,short_long_eff,11,144,0.004054085573981096,0.10951314984188552,-0.10545906426790443,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,recovery,fast_slow,00,240,0.026294003690446204,0.14504497706548602,-0.11875097337503979,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,recovery,fast_slow,01,338,0.020394811702315163,0.16145296642439888,-0.14105815472208372,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,recovery,fast_slow,10,991,0.02257493683882811,0.6014191560653759,-0.5788442192265477,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,recovery,fast_slow,11,576,0.08838833966047427,0.368303141746747,-0.27991480208627273,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,recovery,short_long_eff,00,799,0.01493815467274422,0.4686764823292693,-0.45373832765652505,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,recovery,short_long_eff,01,384,-0.02157148308317977,0.20053160323820235,-0.2221030863213821,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,recovery,short_long_eff,10,434,0.04797511721635307,0.24670437332344083,-0.19872925610708775,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
1,recovery,short_long_eff,11,528,0.11631030308614623,0.3603077824110953,-0.2439974793249491,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,decline,fast_slow,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,decline,fast_slow,01,25,-0.132429408621908,0.010985491990787492,-0.1434149006126955,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,decline,fast_slow,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,decline,fast_slow,11,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,decline,short_long_eff,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,decline,short_long_eff,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,decline,short_long_eff,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,decline,short_long_eff,11,25,-0.132429408621908,0.010985491990787492,-0.1434149006126955,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,recovery,fast_slow,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,recovery,fast_slow,01,43,0.10440416210599333,0.16245431658474288,-0.05805015447874956,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,recovery,fast_slow,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,recovery,fast_slow,11,1,0.18090444740210418,0.18090444740210418,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
