rank,leg,component,fixed_position_log_pnl
1,decline,fast,-0.18153435213863744
1,recovery,fast,-0.1845296432290917
2,decline,fast,-0.08272338535677903
2,recovery,fast,0.08967390372773654
3,decline,fast,-0.23766413232023442
3,recovery,fast,-0.0950873922360369
4,decline,fast,-0.11699026443686034
4,recovery,fast,-0.07076117881198218
5,decline,fast,-0.18672687567555624
5,recovery,fast,-0.1624074958593935
6,decline,fast,-0.1266039731391304
6,recovery,fast,-0.13782915382270655
7,decline,fast,-0.1932846125904497
7,recovery,fast,-0.20430970247712477
8,decline,fast,-0.1502540102399399
8,recovery,fast,-0.0021919536324572775
9,decline,fast,-0.06085378815503617
9,recovery,fast,-0.13898274871646965
10,decline,fast,-0.1261212618498968
10,recovery,fast,-0.026989756966128375
1,decline,medium,-0.00871207038540689
1,recovery,medium,0.2291782220017815
2,decline,medium,-0.04939702410597935
2,recovery,medium,0.07436985129196216
3,decline,medium,0.029657449459585372
3,recovery,medium,0.14804257494921114
4,decline,medium,-0.017086574519417752
4,recovery,medium,0.12910833092263996
5,decline,medium,0.024075782397014578
5,recovery,medium,0.1677899101463698
6,decline,medium,-0.0264077170257897
6,recovery,medium,0.16739422216682254
7,decline,medium,0.02907880581463651
7,recovery,medium,0.16843679469945894
8,decline,medium,0.029319861457318908
8,recovery,medium,0.080898589904284
9,decline,medium,-0.038725293016120155
9,recovery,medium,0.14361919262640122
10,decline,medium,0.0021108499982567253
10,recovery,medium,0.09350045787858097
1,decline,slow,0.03565125537039737
1,recovery,slow,0.11300351311936918
2,decline,slow,-0.0003089991591487262
2,recovery,slow,0.12126485448839741
3,decline,slow,0.07895876655286838
3,recovery,slow,0.0815696811414357
4,decline,slow,0.007653009530555366
4,recovery,slow,0.0694510264869761
5,decline,slow,0.04913670816359961
5,recovery,slow,0.1084107270777146
6,decline,slow,0.043466869454242385
6,recovery,slow,0.08622774017983925
7,decline,slow,0.055681697336294356
7,recovery,slow,0.14504253515977084
8,decline,slow,0.023543578593880454
8,recovery,slow,0.029909954281378326
9,decline,slow,0.002806575246251164
9,recovery,slow,0.09282031645181021
10,decline,slow,0.027618246435178406
10,recovery,slow,0.034731127387988
