table,cell,year,vol_tercile,target_days,control_days,pnl_bp_difference,capture_difference
fast_slow,00,2021,0,12,69,-0.8941745973381726,-0.00601953157125262
fast_slow,00,2021,1,17,64,33.43720941820518,0.047121614404257516
fast_slow,00,2021,2,28,53,41.19200987442601,-0.0007355050929358682
fast_slow,00,2022,0,16,65,-6.582828376455438,-0.026410388979395988
fast_slow,00,2022,1,15,65,-69.32751561218993,-0.09822469798614471
fast_slow,00,2022,2,21,60,-10.478897717414968,0.0021647927603602735
fast_slow,00,2023,0,17,64,-40.67604650819798,-0.10012963359882143
fast_slow,00,2023,1,15,65,19.319459912912617,0.03396027443097562
fast_slow,00,2023,2,22,59,-3.148426483402262,-0.01636522315395646
fast_slow,00,2024,0,22,59,-2.067267206010132,-0.011147208883996049
fast_slow,00,2024,1,15,65,-48.89373188614052,-0.05942980921293591
fast_slow,00,2024,2,8,73,-11.770241188820158,-0.018169179024306904
fast_slow,00,2025,0,31,43,7.51332903912475,0.02555098985245438
fast_slow,00,2025,1,20,54,-57.66013651100872,-0.07607598280037528
fast_slow,00,2025,2,14,61,-41.516473448197296,-0.027989563833866464
fast_slow,01,2021,0,30,51,13.069471373537892,0.007782995441948524
fast_slow,01,2021,1,25,56,-2.3902251818099525,-0.001388411383539831
fast_slow,01,2021,2,26,55,61.748241517809745,0.10375282229276878
fast_slow,01,2022,0,16,65,1.8192962635414092,0.006845675850187027
fast_slow,01,2022,1,29,51,22.37857960148125,0.036189403444974844
fast_slow,01,2022,2,29,52,60.109007938301566,0.05752723788803142
fast_slow,01,2023,0,17,64,34.95125066774222,0.0904976848715326
fast_slow,01,2023,1,12,68,90.02865201127335,0.17199345632372268
fast_slow,01,2023,2,21,60,-25.138133057515727,-0.02849876653988883
fast_slow,01,2024,0,18,63,25.61362591645714,0.06532750716109156
fast_slow,01,2024,1,21,59,74.32188833252154,0.09634564757202306
fast_slow,01,2024,2,30,51,61.351199994356364,0.07487650228413353
fast_slow,01,2025,0,12,62,-13.813189338715175,-0.042845795876442466
fast_slow,01,2025,1,21,53,21.60886352875373,0.03410831429012321
