rank,leg,view,days,eff_1d,eff_5d,eff_20d,wick_1d
1,decline,15m_offset_10,15,0.2735506415908266,0.1534056380951633,0.07869301517872634,0.4983999180131652
1,decline,15m_offset_5,15,0.26528218803010734,0.14568808880405737,0.0779238011136953,0.4696346139733311
1,decline,1m_official,15,0.06450806234127406,0.03735796125339982,0.020543717226985465,0.3657603178035616
1,decline,30m_offset_15,15,0.4139701977634785,0.21570219465933926,0.10961190400384319,0.5225137892707673
1,decline,5m_offset_0,15,0.14173020320724913,0.07813600854162164,0.04125662418377808,0.4422834857773857
1,decline,5m_offset_1,15,0.14009746398679462,0.0768143519510157,0.04332656755161223,0.42273091229511495
1,decline,5m_offset_2,15,0.13996741419131625,0.07839360916640926,0.04325933314935623,0.43141591919310623
1,decline,5m_offset_3,15,0.14205842357404144,0.07916238369139633,0.043220245709627174,0.43611489886359506
1,decline,5m_offset_4,15,0.1418485077962564,0.07868458311524036,0.04199045988767694,0.43947655168072597
1,decline,60m_offset_30,15,0.7936886410832663,0.447325982418543,0.21716388003815157,0.55965748207974
1,decline,60m_offset_45,15,0.7128607006836154,0.40115452608195556,0.19730441086588454,0.5158612022788108
1,decline,daily_noon_close_1130,15,1.0,0.6101038027794277,0.2935089982926373,0.42657404115088904
1,decline,daily_proxy_close_1400,15,1.0,0.5452893896964077,0.3021873376702837,0.5316736429331711
1,decline,daily_proxy_close_1430,15,1.0,0.6215728878821939,0.3003916903058323,0.523982743902856
1,recovery,15m_offset_10,46,0.3113662174766199,0.15552652308682993,0.06917915497720627,0.5315484816730375
1,recovery,15m_offset_5,46,0.31046501921173775,0.15102019974366918,0.06621927237718117,0.5133164680056282
1,recovery,1m_official,46,0.07126701533572037,0.034207409197694494,0.015520282167105326,0.42140702134998387
1,recovery,30m_offset_15,46,0.4520678905708115,0.21893813342728674,0.09810476256597614,0.513418501903437
1,recovery,5m_offset_0,46,0.1638902826610463,0.07756701215901309,0.035486618943018,0.49893086715606233
1,recovery,5m_offset_1,46,0.1675647342039124,0.08126388880200035,0.03550683509335421,0.5017161193703368
1,recovery,5m_offset_2,46,0.17310820837693153,0.08303394200607583,0.036157348633910714,0.4950706019544429
1,recovery,5m_offset_3,46,0.17058575096027256,0.08265532852259862,0.036172050638010274,0.49506695419745106
1,recovery,5m_offset_4,46,0.1700557960215265,0.0845279901273517,0.03712562826990852,0.4973516353815284
1,recovery,60m_offset_30,46,0.7135921707917838,0.3385329629230745,0.1623419889425443,0.536209141586073
1,recovery,60m_offset_45,46,0.6810346144094728,0.3314499841529152,0.15538061778008944,0.47240198539517203
1,recovery,daily_noon_close_1130,46,1.0,0.4284494382160653,0.21114246539399834,0.5072686150057845
1,recovery,daily_proxy_close_1400,46,1.0,0.43564580270911846,0.20902861784111385,0.39097021348884814
1,recovery,daily_proxy_close_1430,46,1.0,0.5022261810039728,0.23564709368860962,0.5239663771330376
2,decline,15m_offset_10,2,0.7796068908848086,0.5542114617867684,0.20303055158985445,0.3990146091800243
2,decline,15m_offset_5,2,0.8607848802953992,0.5811600341486591,0.20762423846426906,0.4189335222896833
2,decline,1m_official,2,0.3783662681489323,0.2090278537445576,0.06040066834148345,0.34199159556215986
2,decline,30m_offset_15,2,0.9535484173209083,0.7046894544634406,0.2680530080522202,0.5058653354930673
2,decline,5m_offset_0,2,0.5548904354125073,0.3462727033184782,0.1129611146226209,0.32382126133033184
2,decline,5m_offset_1,2,0.5354011715499954,0.3442865934757907,0.11369919003779794,0.30099039918199677
