view,bars_per_day,eff_1d,eff_5d,eff_20d,wick_1d
15m_offset_10,14.0,0.32779596010007966,0.1529374658135873,0.0812149616163533,0.4931810663716841
15m_offset_5,14.0,0.3216181483117348,0.15050536790565655,0.07990355943673637,0.4879821287235793
1m_official,240.0,0.08332564467681354,0.03873470945638975,0.02066718650113963,0.38378781044061555
30m_offset_15,6.0,0.4738138554038732,0.22412088162083307,0.11876339827034119,0.5004480885742185
5m_offset_0,48.0,0.1801060450296771,0.08286009564164122,0.043937059393622274,0.4613321665417827
5m_offset_1,46.0,0.18029451300590166,0.08382455875620994,0.04460333748401492,0.45677787132892045
5m_offset_2,46.0,0.18244250029484896,0.08434568377424433,0.04496875147918299,0.4579341758233042
5m_offset_3,46.0,0.18413849709583757,0.0849441023946767,0.04519708912281805,0.4600396650562783
5m_offset_4,46.0,0.18562934853166124,0.08593496948278662,0.04567875249054361,0.4625632246993071
60m_offset_30,2.0,0.7352559482803153,0.35056733064659157,0.18724861849638474,0.5043688372538253
60m_offset_45,2.0,0.7406818926845047,0.34734182565609667,0.18467989762690828,0.49608655133651436
daily_noon_close_1130,1.0,1.0,0.4686035027027071,0.24563638833472506,0.49993897247970775
daily_proxy_close_1400,1.0,1.0,0.47583401502917994,0.25141477894234215,0.48785212326917526
daily_proxy_close_1430,1.0,1.0,0.47770225439086805,0.2526397369145843,0.5137991788742668
