year,feature,outcome,rho,n_days
2021,eff_1d,pnl_log,0.3372774641771602,48
2021,eff_1d,capture,0.36419887103777676,48
2021,eff_5d,pnl_log,0.07924446374294399,48
2021,eff_5d,capture,0.07153712548849327,48
2021,eff_20d,pnl_log,-0.11843247937472863,48
2021,eff_20d,capture,-0.14090316977854972,48
2021,rv_1d,pnl_log,-0.08076422058184975,48
2021,rv_1d,capture,-0.15534085974815456,48
2021,rv_5d,pnl_log,-0.03343465045592705,48
2021,rv_5d,capture,-0.10660008684324793,48
2021,rv_20d,pnl_log,-0.015740338688666956,48
2021,rv_20d,capture,-0.07750759878419453,48
2021,rv_ratio_1_20,pnl_log,-0.0991098567086409,48
2021,rv_ratio_1_20,capture,-0.10638297872340426,48
2021,drift_disagree_1_20,pnl_log,-0.2464319090704555,48
2021,drift_disagree_1_20,capture,-0.18809477591886528,48
2021,acf1_5d,pnl_log,0.0694745983499783,48
2021,acf1_5d,capture,0.023664785062961352,48
2021,acf3_5d,pnl_log,0.13677811550151975,48
2021,acf3_5d,capture,0.11604429005644812,48
2021,acf12_5d,pnl_log,0.021819366044290054,48
2021,acf12_5d,capture,0.025835866261398176,48
2021,fast_share_1d,pnl_log,-0.1821537125488493,48
2021,fast_share_1d,capture,-0.12744246634824144,48
2021,fast_share_5d,pnl_log,-0.23621363438992615,48
2021,fast_share_5d,capture,-0.18258792878853666,48
2021,fast_share_20d,pnl_log,-0.18106817194963093,48
2021,fast_share_20d,capture,-0.11593573599652628,48
2021,work_turns_5d,pnl_log,-0.022332114903699893,48
2021,work_turns_5d,capture,0.006302981335350821,48
2021,slow_work_velocity_5d,pnl_log,0.04287885366912723,48
2021,slow_work_velocity_5d,capture,0.054819800260529745,48
2021,slow_work_opposition_5d,pnl_log,0.05179153216577677,48
2021,slow_work_opposition_5d,capture,0.07643865543963699,48
2021,wick_1d,pnl_log,-0.04526704298740773,48
2021,wick_1d,capture,0.009661311333043857,48
2021,gap_share_1d,pnl_log,-0.12907077724706903,48
2021,gap_share_1d,capture,-0.09585323491098566,48
2021,threshold_work_amplitude_5d,pnl_log,-0.2359965262700825,48
