view,feature,outcome,rho,n_days
5m_offset_0,eff_1d,pnl_log,0.3381845938067689,1192
5m_offset_0,eff_1d,capture,0.35775636252298065,1192
5m_offset_0,eff_5d,pnl_log,0.09146509961827859,1192
5m_offset_0,eff_5d,capture,0.08186484424460307,1192
5m_offset_0,eff_20d,pnl_log,0.03213878613246802,1192
5m_offset_0,eff_20d,capture,0.01635131361015602,1192
5m_offset_0,rv_1d,pnl_log,0.11616500940512157,1192
5m_offset_0,rv_1d,capture,0.07601229703545279,1192
5m_offset_0,rv_5d,pnl_log,0.046132368263361936,1192
5m_offset_0,rv_5d,capture,0.00686876484608534,1192
5m_offset_0,rv_20d,pnl_log,0.040630517740879356,1192
5m_offset_0,rv_20d,capture,0.011019373531598885,1192
5m_offset_0,rv_ratio_1_20,pnl_log,0.12226669388710246,1192
5m_offset_0,rv_ratio_1_20,capture,0.09913943877958999,1192
5m_offset_0,drift_disagree_1_20,pnl_log,-0.05803944732690112,1192
5m_offset_0,drift_disagree_1_20,capture,-0.06794158507552403,1192
5m_offset_0,acf1_5d,pnl_log,-0.00520996817195705,1192
5m_offset_0,acf1_5d,capture,-0.0038181847579002543,1192
5m_offset_0,acf3_5d,pnl_log,0.09287139354437238,1192
5m_offset_0,acf3_5d,capture,0.09433763544036125,1192
5m_offset_0,acf12_5d,pnl_log,0.04681689174941212,1192
5m_offset_0,acf12_5d,capture,0.06432883376619956,1192
5m_offset_0,fast_share_1d,pnl_log,-0.2690619913305642,1192
5m_offset_0,fast_share_1d,capture,-0.27793868370582436,1192
5m_offset_0,fast_share_5d,pnl_log,-0.08494349593859411,1192
5m_offset_0,fast_share_5d,capture,-0.08429969824511653,1192
5m_offset_0,fast_share_20d,pnl_log,-0.050707678663974076,1192
5m_offset_0,fast_share_20d,capture,-0.05099757715543206,1192
5m_offset_0,work_turns_5d,pnl_log,-0.028356546250897258,1192
5m_offset_0,work_turns_5d,capture,-0.022970651220936136,1192
5m_offset_0,slow_work_velocity_5d,pnl_log,0.15768339618647587,1192
5m_offset_0,slow_work_velocity_5d,capture,0.1515110225547913,1192
5m_offset_0,slow_work_opposition_5d,pnl_log,0.024471447277154144,1192
5m_offset_0,slow_work_opposition_5d,capture,0.022658003558403483,1192
5m_offset_0,wick_1d,pnl_log,-0.0640056560388833,1192
5m_offset_0,wick_1d,capture,-0.03163137166467414,1192
5m_offset_0,gap_share_1d,pnl_log,0.024053313435037943,1192
5m_offset_0,gap_share_1d,capture,0.024287493827541345,1192
5m_offset_0,threshold_work_amplitude_5d,pnl_log,-0.146845644952512,1192
5m_offset_0,threshold_work_amplitude_5d,capture,-0.13336410393216597,1192
5m_offset_1,eff_1d,pnl_log,0.3472870351734953,1192
5m_offset_1,eff_1d,capture,0.36566425149302045,1192
5m_offset_1,eff_5d,pnl_log,0.10606832872584425,1192
5m_offset_1,eff_5d,capture,0.10251106394659372,1192
5m_offset_1,eff_20d,pnl_log,0.026365324048003774,1192
5m_offset_1,eff_20d,capture,0.011582328968073458,1192
5m_offset_1,rv_1d,pnl_log,0.10866114750461209,1192
5m_offset_1,rv_1d,capture,0.079923135097019,1192
5m_offset_1,rv_5d,pnl_log,0.04363501561700943,1192
5m_offset_1,rv_5d,capture,0.016348444099719014,1192
5m_offset_1,rv_20d,pnl_log,0.04534522966704227,1192
5m_offset_1,rv_20d,capture,0.02612572346911937,1192
5m_offset_1,rv_ratio_1_20,pnl_log,0.10567971199014235,1192
5m_offset_1,rv_ratio_1_20,capture,0.09274708351815696,1192
5m_offset_1,drift_disagree_1_20,pnl_log,-0.04843857661964839,1192
5m_offset_1,drift_disagree_1_20,capture,-0.05485264839001181,1192
5m_offset_1,acf1_5d,pnl_log,0.01709053492478319,1192
5m_offset_1,acf1_5d,capture,0.012235592503387687,1192
5m_offset_1,acf3_5d,pnl_log,0.11941892796252046,1192
5m_offset_1,acf3_5d,capture,0.10262783530835241,1192
5m_offset_1,acf12_5d,pnl_log,0.038320122556011395,1192
5m_offset_1,acf12_5d,capture,0.04980332942281646,1192
5m_offset_1,fast_share_1d,pnl_log,-0.25210176760567576,1192
5m_offset_1,fast_share_1d,capture,-0.2597148622034873,1192
5m_offset_1,fast_share_5d,pnl_log,-0.12099356650091854,1192
5m_offset_1,fast_share_5d,capture,-0.11543612541327858,1192
5m_offset_1,fast_share_20d,pnl_log,-0.07184044688749444,1192
5m_offset_1,fast_share_20d,capture,-0.0681931219917877,1192
5m_offset_1,work_turns_5d,pnl_log,-0.03365265852939321,1192
5m_offset_1,work_turns_5d,capture,-0.025951703287180352,1192
5m_offset_1,slow_work_velocity_5d,pnl_log,0.1634593380947746,1192
5m_offset_1,slow_work_velocity_5d,capture,0.15967042942854273,1192
5m_offset_1,slow_work_opposition_5d,pnl_log,0.0018927850945734566,1192
5m_offset_1,slow_work_opposition_5d,capture,0.0016941767830795566,1192
5m_offset_1,wick_1d,pnl_log,-0.025574841232113083,1192
5m_offset_1,wick_1d,capture,-0.004651589781759773,1192
5m_offset_1,gap_share_1d,pnl_log,0.0140333372495656,1192
5m_offset_1,gap_share_1d,capture,0.013244264390655064,1192
5m_offset_1,threshold_work_amplitude_5d,pnl_log,-0.18266501396091223,1192
5m_offset_1,threshold_work_amplitude_5d,capture,-0.16739433672569928,1192
