kind,period_bars,slow_velocity_ratio,slow_phase,drift_velocity_ratio,capture,pnl_log_per_1000bars,flips_per_1000bars,long_share
wave,6,0.0,0.0,0.0,-0.9999999999999646,-1.154700538379396,333.37674176325044,0.5
wave,6,0.0,1.5707963267948966,0.0,-0.9999999999999646,-1.154700538379396,333.37674176325044,0.5
wave,6,0.0,3.141592653589793,0.0,-0.9999999999999646,-1.154700538379396,333.37674176325044,0.5
wave,6,0.5,0.0,0.0,0.4707353047294889,0.6481676490060125,6.250813908060945,0.4979166666666667
wave,6,0.5,1.5707963267948966,0.0,0.4707353047294887,0.6481676490060128,6.250813908060945,0.4979166666666667
wave,6,0.5,3.141592653589793,0.0,0.4707353047294879,0.6481676490060109,6.250813908060945,0.4979166666666667
wave,6,2.0,0.0,0.0,0.9436854787998723,2.6620873314288036,2.0836046360203153,0.5020833333333333
wave,6,2.0,1.5707963267948966,0.0,0.9436854787998731,2.6620873314288063,2.0836046360203153,0.5020833333333333
wave,6,2.0,3.141592653589793,0.0,0.9436854787998725,2.6620873314288027,2.0836046360203153,0.5020833333333333
drift,6,0.0,0.0,-0.5,0.6963831343826604,1.0471975511965992,0.0,0.0
drift,6,0.0,0.0,0.0,-0.9999999999999646,-1.154700538379396,333.37674176325044,0.5
drift,6,0.0,0.0,0.5,0.6963831343826568,1.0471975511965954,0.0,1.0
wave,8,0.0,0.0,0.0,-0.9999999999999993,-1.0000000000000053,249.90233103268656,0.5
wave,8,0.0,1.5707963267948966,0.0,-0.9999999999999993,-1.0000000000000053,249.90233103268656,0.5
wave,8,0.0,3.141592653589793,0.0,-0.9999999999999993,-1.0000000000000053,249.90233103268656,0.5
wave,8,0.5,0.0,0.0,0.25840681813085703,0.2663147728544181,60.424534444589135,0.5020833333333333
wave,8,0.5,1.5707963267948966,0.0,0.2584068181308569,0.26631477285441835,60.29430915483787,0.5020833333333333
wave,8,0.5,3.141592653589793,0.0,0.25840681813085664,0.2663147728544175,60.424534444589135,0.5020833333333333
wave,8,2.0,0.0,0.0,0.916157043335948,1.94278272033173,14.585232452142206,0.4979166666666667
wave,8,2.0,1.5707963267948966,0.0,0.9161570433359505,1.9427827203317303,14.455007162390936,0.4979166666666667
wave,8,2.0,3.141592653589793,0.0,0.9161570433359489,1.9427827203317296,14.585232452142206,0.4979166666666667
drift,8,0.0,0.0,-0.5,0.7141243649465611,0.785398163397448,0.0,0.0
drift,8,0.0,0.0,0.0,-0.9999999999999993,-1.0000000000000053,249.90233103268656,0.5
drift,8,0.0,0.0,0.5,0.7141243649465621,0.7853981633974482,0.0,1.0
wave,12,0.0,0.0,0.0,-0.49999999999990596,-0.33333333333327253,166.68837088162522,0.5
wave,12,0.0,1.5707963267948966,0.0,-0.49999999999990596,-0.33333333333327253,166.68837088162522,0.5
wave,12,0.0,3.141592653589793,0.0,-0.49999999999990596,-0.33333333333327253,166.68837088162522,0.5
wave,12,0.5,0.0,0.0,0.06899057699423194,0.04852481316553788,100.01302252897511,0.5
wave,12,0.5,1.5707963267948966,0.0,0.0689905769942328,0.04852481316553847,100.01302252897511,0.5
wave,12,0.5,3.141592653589793,0.0,0.06899057699422963,0.04852481316553633,100.01302252897511,0.5
wave,12,2.0,0.0,0.0,0.9002257124080979,1.2748325433506817,20.836046360203152,0.49895833333333334
wave,12,2.0,1.5707963267948966,0.0,0.9002257124080981,1.2748325433506804,20.836046360203152,0.49895833333333334
wave,12,2.0,3.141592653589793,0.0,0.9002257124080985,1.2748325433506813,20.836046360203152,0.49895833333333334
drift,12,0.0,0.0,-0.5,0.6963831343826574,0.5235987755982973,0.0,0.0
drift,12,0.0,0.0,0.0,-0.49999999999990596,-0.33333333333327253,166.68837088162522,0.5
drift,12,0.0,0.0,0.5,0.6963831343826544,0.5235987755982953,0.0,1.0
wave,24,0.0,0.0,0.0,0.258819045102599,0.08627301503420018,83.34418544081261,0.5
wave,24,0.0,1.5707963267948966,0.0,0.258819045102599,0.08627301503420018,83.34418544081261,0.5
wave,24,0.0,3.141592653589793,0.0,0.258819045102599,0.08627301503420018,83.34418544081261,0.5
wave,24,0.5,0.0,0.0,0.3776569069804021,0.13359798369762196,83.34418544081261,0.5
wave,24,0.5,1.5707963267948966,0.0,0.37765690698039783,0.13359798369762058,83.34418544081261,0.5
wave,24,0.5,3.141592653589793,0.0,0.37765690698039794,0.13359798369762024,83.34418544081261,0.5
wave,24,2.0,0.0,0.0,0.9294617772408797,0.6587869720683158,18.752441724182837,0.5041666666666667
wave,24,2.0,1.5707963267948966,0.0,0.9294617772408836,0.658786972068318,18.752441724182837,0.5041666666666667
wave,24,2.0,3.141592653589793,0.0,0.9294617772408826,0.6587869720683179,18.752441724182837,0.5041666666666667
drift,24,0.0,0.0,-0.5,0.3819765521711574,0.14360087511408437,83.34418544081261,0.2916666666666667
drift,24,0.0,0.0,0.0,0.258819045102599,0.08627301503420018,83.34418544081261,0.5
drift,24,0.0,0.0,0.5,0.38197655217116155,0.143600875114086,83.34418544081261,0.7083333333333334
