rank,peak,trough,recovery,drawdown,decline_trading_days,underwater_trading_days,index_log_change,long_log_pnl,short_log_pnl,slow_conflict_share,chop_share,slow_conflict_log_pnl,chop_log_pnl,flips_per_day,slow_log_pnl,work_log_pnl,residual_log_pnl,within_previous_bar_log_pnl,overnight_gap_log_pnl,intraday_gap_log_pnl
1,2022-10-24 09:45:00,2022-11-11 10:55:00,2023-01-16 09:40:00,0.14323804733417234,15,60,0.060042845494806936,-0.0472761608294218,-0.1073190063242275,0.35131195335276966,0.3104956268221574,-0.08336992710816034,-0.058607915579793626,3.2666666666666666,0.03456256616240466,0.15103561752215344,-0.34019335083820507,-0.13278014311840486,-0.018560768789691616,-0.00325425524555019
2,2024-09-27 13:20:00,2024-09-30 09:55:00,2024-10-08 09:35:00,0.12403523251617667,2,3,0.056960021565366836,-0.03773469352827069,-0.0946947150936373,0.48,0.0,-0.0946947150936373,0.0,1.0,0.0018201884524321477,-0.014762652637190565,-0.11948694443714869,-0.07644532619648683,-0.05557386856920638,-0.00041021385621463867
3,2021-03-09 10:05:00,2021-04-23 09:40:00,2021-06-01 09:45:00,0.1210681506324497,33,57,0.0591570521058948,-0.034945432100944744,-0.09410248420683873,0.36642717178314826,0.2077073807968648,-0.06143280015349463,-0.06538830399697368,3.303030303030303,0.04565530816907454,0.23840266603826887,-0.4131058905151241,-0.11825083617407772,-0.015724028318581676,0.0049269481848764176
4,2023-02-21 09:55:00,2023-03-14 13:05:00,2023-04-06 10:30:00,0.11875872835914025,16,32,-0.0033095562311554853,-0.0648666928284394,-0.06155713659728172,0.24864864864864866,0.28378378378378377,-0.027745648504285295,-0.05238911407174477,4.0,0.01015890193951835,0.058095210936413455,-0.19467794230165453,-0.11437578646455017,-0.013146270178710225,0.0010982272175374453
5,2023-04-06 10:35:00,2023-04-28 09:35:00,2023-06-26 14:20:00,0.1073086451489263,17,53,-0.09190959419582177,-0.10271198965538221,-0.010802395459559246,0.3439153439153439,0.18915343915343916,-0.02751260673733093,-0.007443199796670576,3.176470588235294,0.032047632562475115,0.17510662063415333,-0.3206686383115705,-0.10223079271943311,-0.013420434710011914,0.0021368423145068545
6,2022-01-11 11:15:00,2022-02-07 10:15:00,2022-03-10 09:35:00,0.1037580067412074,15,38,-0.041767144518521336,-0.07565598261459908,-0.03388883809607665,0.3787878787878788,0.12272727272727273,-0.06402897921679601,-0.025817519798684112,3.2666666666666666,0.024547344552691933,0.0894323130573594,-0.22352447832072908,-0.09288781540829791,-0.018971330862436877,0.0023143255600586578
7,2023-08-30 10:00:00,2023-10-20 13:05:00,2023-12-28 13:15:00,0.10284273540258292,32,81,-0.09048537306885453,-0.09950474125418723,-0.009019368185331576,0.3609820836098208,0.22096881220968811,-0.05005784175798411,0.024564401169133405,3.46875,0.04169637608633059,0.23152082262898788,-0.3817413081548373,-0.136220253503531,0.02120513640411739,0.006491007659894796
8,2025-09-12 09:50:00,2025-09-26 13:55:00,2025-10-10 09:45:00,0.09279838897474901,11,15,0.08877129486219157,-0.004309637663273439,-0.0930809325254662,0.4774951076320939,0.2054794520547945,-0.0930809325254662,-0.005069291205121272,3.0,0.01867677812766664,0.16075706767583747,-0.2768244159922446,-0.07381576061031689,-0.023816679389364798,0.0002418698109439097
9,2024-11-29 13:15:00,2024-12-06 10:40:00,2025-01-08 13:10:00,0.09223750676610984,6,28,-0.01905913940147943,-0.0579158226631931,-0.038856683261714285,0.4052863436123348,0.42731277533039647,-0.016891844890738483,-0.03713901549799586,3.5,0.002707992802207737,0.0009279859925873102,-0.10040848471970021,-0.1179272440296924,0.021199648957398013,-4.491085261146139e-05
10,2025-08-25 09:40:00,2025-09-04 09:35:00,2025-09-11 11:00:00,0.09189218225160029,9,14,-0.013351536904539295,-0.05487185116050011,-0.041520314255961754,0.4960835509138381,0.1906005221932115,-0.03754153426959324,0.030366254314871905,3.0,0.023506612838519958,0.12106314049048195,-0.24096191874546358,-0.055246142558166435,-0.04157913099194759,0.00043310813365206096
