view,scenario,cost_bps,year,mdd_improvement_vs_baseline,mdd_improvement_vs_matched
0,delay_1m,0,2021,0.0024119146791740514,-0.016793028257705622
0,delay_1m,0,2022,0.041092583613837594,0.017368704534882665
0,delay_1m,0,2023,0.008636951320743977,-0.008617553054082724
0,delay_1m,0,2024,0.041075583441807034,0.020030412047515017
0,delay_1m,0,2025,-0.013089671056478736,-0.03384933741411168
0,delay_1m,1,2021,0.017714546587357646,-0.004716123586121682
0,delay_1m,1,2022,0.036316293201279715,0.011475090565969154
0,delay_1m,1,2023,0.015078308164255413,-0.004698154320857434
0,delay_1m,1,2024,0.04115015504318341,0.020052696726611224
0,delay_1m,1,2025,-0.012844426883497129,-0.03493778266919002
0,delay_1m,3,2021,0.04197348639928139,0.012418074349571373
0,delay_1m,3,2022,0.03923711514853831,0.00765725698794209
0,delay_1m,3,2023,0.055690255328908506,0.02549420948528905
0,delay_1m,3,2024,0.026855414231798796,0.005092079300849886
0,delay_1m,3,2025,0.016319930340272987,-0.020590608193273324
0,delay_1m,5,2021,0.06650541374149166,0.022609924999358988
0,delay_1m,5,2022,0.05384730348152217,0.008799238800436648
0,delay_1m,5,2023,0.07405715639057953,0.022351071398619637
0,delay_1m,5,2024,0.018815717064499415,-0.008380948892616702
0,delay_1m,5,2025,0.05146144185218565,-0.0017372404477279946
0,delay_1m_observed,0,2021,0.0024119146791740514,-0.016793028257705622
0,delay_1m_observed,0,2022,0.041092583613837594,0.017368704534882665
0,delay_1m_observed,0,2023,0.008636951320743977,-0.008617553054082724
0,delay_1m_observed,0,2024,0.041075583441807034,0.020030412047515017
0,delay_1m_observed,0,2025,-0.013089671056478736,-0.03384933741411168
0,delay_1m_observed,1,2021,0.017714546587357646,-0.004716123586121682
0,delay_1m_observed,1,2022,0.036316293201279715,0.011475090565969154
0,delay_1m_observed,1,2023,0.015078308164255413,-0.004698154320857434
0,delay_1m_observed,1,2024,0.04115015504318341,0.020052696726611224
0,delay_1m_observed,1,2025,-0.012844426883497129,-0.03493778266919002
0,delay_1m_observed,3,2021,0.04197348639928139,0.012418074349571373
0,delay_1m_observed,3,2022,0.03923711514853831,0.00765725698794209
0,delay_1m_observed,3,2023,0.055690255328908506,0.02549420948528905
0,delay_1m_observed,3,2024,0.026855414231798796,0.005092079300849886
0,delay_1m_observed,3,2025,0.016319930340272987,-0.020590608193273324
0,delay_1m_observed,5,2021,0.06650541374149166,0.022609924999358988
0,delay_1m_observed,5,2022,0.05384730348152217,0.008799238800436648
0,delay_1m_observed,5,2023,0.07405715639057953,0.022351071398619637
0,delay_1m_observed,5,2024,0.018815717064499415,-0.008380948892616702
0,delay_1m_observed,5,2025,0.05146144185218565,-0.0017372404477279946
0,legacy_on_minute,0,2021,0.02736225228883929,0.007385284114418134
0,legacy_on_minute,0,2022,0.03627791051272514,0.014069774461408627
0,legacy_on_minute,0,2023,0.012360053315485786,-0.006867496751583171
0,legacy_on_minute,0,2024,0.04194232072240478,0.0202883824783055
0,legacy_on_minute,0,2025,0.005410519237760411,-0.010770379726835116
0,legacy_on_minute,1,2021,0.028890096589743716,0.00596033874158404
0,legacy_on_minute,1,2022,0.03771017632375939,0.014346103709595742
0,legacy_on_minute,1,2023,0.01484791196762085,-0.006268780309919397
0,legacy_on_minute,1,2024,0.04191710969624507,0.02021135953074432
0,legacy_on_minute,1,2025,0.0020006861730185177,-0.015013476047194496
0,legacy_on_minute,3,2021,0.035963872824003235,0.0067330418501745926
0,legacy_on_minute,3,2022,0.03706748134933449,0.00939760118823535
0,legacy_on_minute,3,2023,0.06938173084330732,0.0317079807248479
0,legacy_on_minute,3,2024,0.028861274987367985,0.007051962173909576
0,legacy_on_minute,3,2025,0.004513183974179491,-0.021037068261743258
0,legacy_on_minute,5,2021,0.057553665519498365,0.019687573417144832
0,legacy_on_minute,5,2022,0.05910508408004678,0.015469041350322676
0,legacy_on_minute,5,2023,0.0826705613964287,0.02658625067001813
0,legacy_on_minute,5,2024,0.014029438475282235,-0.012248448080773605
0,legacy_on_minute,5,2025,0.023071165535401228,-0.019993096345103822
0,literal_publication,0,2021,0.028574060451414696,-0.009818239873080892
0,literal_publication,0,2022,0.05596948848113914,0.019243824452961772
0,literal_publication,0,2023,0.08153249952952257,0.018380246435254655
0,literal_publication,0,2024,0.08659874158385505,0.023925550879967172
0,literal_publication,0,2025,0.08637477130094942,0.041652874333226675
0,literal_publication,1,2021,0.027421593017749685,-0.011329063001929207
0,literal_publication,1,2022,0.06005527495441984,0.02172726352158913
0,literal_publication,1,2023,0.08100121333002641,0.01730398199091565
0,literal_publication,1,2024,0.08784249179261866,0.02476990083864644
0,literal_publication,1,2025,0.087570842975944,0.041309811559484294
0,literal_publication,3,2021,0.016363626232400452,-0.02309593061304105
0,literal_publication,3,2022,0.07428058480670352,0.03228514094663937
0,literal_publication,3,2023,0.08082441215569813,0.016126646845331216
0,literal_publication,3,2024,0.09004924192640518,0.026331237672912566
0,literal_publication,3,2025,0.08444703473250703,0.03528407864122107
0,literal_publication,5,2021,0.019547565346849316,-0.02291127724467104
0,literal_publication,5,2022,0.08737399587833661,0.04211240584981368
0,literal_publication,5,2023,0.08218807448539178,0.016608250358826848
0,literal_publication,5,2024,0.09190462545367895,0.027731639851944156
0,literal_publication,5,2025,0.07953078424568177,0.02769553690810328
1,delay_1m,0,2021,0.02584688086554021,-0.0024264467533582634
1,delay_1m,0,2022,0.051081806679831254,0.02126969352655711
1,delay_1m,0,2023,0.03666613698474448,0.014012467591611316
1,delay_1m,0,2024,0.041969649268290096,0.019968613075874664
1,delay_1m,0,2025,0.01492581802874604,-0.01061173427210546
