view,scenario,policy,cost_bps,quarter,net_log_pnl
0,delay_1m,baseline,0,2021Q1,0.03259738995415429
0,delay_1m,baseline,0,2021Q2,0.12649097790171648
0,delay_1m,baseline,0,2021Q3,0.12158218713971802
0,delay_1m,baseline,0,2021Q4,0.19099414088456257
0,delay_1m,baseline,0,2022Q1,0.19285669368832714
0,delay_1m,baseline,0,2022Q2,0.21121362032735647
0,delay_1m,baseline,0,2022Q3,0.013453524360746982
0,delay_1m,baseline,0,2022Q4,0.1068727621405916
0,delay_1m,baseline,0,2023Q1,0.10809929667705465
0,delay_1m,baseline,0,2023Q2,0.07116724875312741
0,delay_1m,baseline,0,2023Q3,0.09950732342036606
0,delay_1m,baseline,0,2023Q4,0.06367757253720363
0,delay_1m,baseline,0,2024Q1,0.42208477890529394
0,delay_1m,baseline,0,2024Q2,0.06819665215515958
0,delay_1m,baseline,0,2024Q3,0.23423560666497867
0,delay_1m,baseline,0,2024Q4,0.4708154991452975
0,delay_1m,baseline,0,2025Q1,0.045757706701675005
0,delay_1m,baseline,0,2025Q2,0.023371712734747696
0,delay_1m,baseline,0,2025Q3,0.07743518611879452
0,delay_1m,baseline,0,2025Q4,0.1869727040827991
0,delay_1m,baseline,1,2021Q1,-0.003906255531585197
0,delay_1m,baseline,1,2021Q2,0.08948727740830915
0,delay_1m,baseline,1,2021Q3,0.08537856665697896
0,delay_1m,baseline,1,2021Q4,0.1589909404578319
0,delay_1m,baseline,1,2022Q1,0.1600534132509282
0,delay_1m,baseline,1,2022Q2,0.17741023987662222
0,delay_1m,baseline,1,2022Q3,-0.024950316151329817
0,delay_1m,baseline,1,2022Q4,0.075069581716528
0,delay_1m,baseline,1,2023Q1,0.07449593622898745
0,delay_1m,baseline,1,2023Q2,0.03516364827305542
0,delay_1m,baseline,1,2023Q3,0.06130350291095633
0,delay_1m,baseline,1,2023Q4,0.029074112075801104
0,delay_1m,baseline,1,2024Q1,0.3916817384998998
0,delay_1m,baseline,1,2024Q2,0.03279311168308878
0,delay_1m,baseline,1,2024Q3,0.2004322262142444
0,delay_1m,baseline,1,2024Q4,0.4344118586598914
0,delay_1m,baseline,1,2025Q1,0.010154146226937139
0,delay_1m,baseline,1,2025Q2,-0.01063168771865363
0,delay_1m,baseline,1,2025Q3,0.04043148562538718
0,delay_1m,baseline,1,2025Q4,0.15366937863973265
0,delay_1m,baseline,3,2021Q1,-0.07693542816474733
0,delay_1m,baseline,3,2021Q2,0.015457664575719635
0,delay_1m,baseline,3,2021Q3,0.01294959410185084
0,delay_1m,baseline,3,2021Q4,0.0949653293593761
0,delay_1m,baseline,3,2022Q1,0.09442716187501102
0,delay_1m,baseline,3,2022Q2,0.10978318815387828
0,delay_1m,baseline,3,2022Q3,-0.10178104946947678
0,delay_1m,baseline,3,2022Q4,0.011444130687437559
0,delay_1m,baseline,3,2023Q1,0.007269044575608849
0,delay_1m,baseline,3,2023Q2,-0.03686516421270735
0,delay_1m,baseline,3,2023Q3,-0.015127070337825281
0,delay_1m,baseline,3,2023Q4,-0.04015357992440424
0,delay_1m,baseline,3,2024Q1,0.3308574079563668
0,delay_1m,baseline,3,2024Q2,-0.038035220594577944
0,delay_1m,baseline,3,2024Q3,0.13280517449150048
0,delay_1m,baseline,3,2024Q4,0.36158272603539793
0,delay_1m,baseline,3,2025Q1,-0.06107434612009493
0,delay_1m,baseline,3,2025Q2,-0.07865889951076292
0,delay_1m,baseline,3,2025Q3,-0.033598127207202316
0,delay_1m,baseline,3,2025Q4,0.08704276711641612
0,delay_1m,baseline,5,2021Q1,-0.14999379579973116
0,delay_1m,baseline,5,2021Q2,-0.05860158381123724
0,delay_1m,baseline,5,2021Q3,-0.05950837323890158
0,delay_1m,baseline,5,2021Q4,0.030914087511197192
0,delay_1m,baseline,5,2022Q1,0.02877463898062763
0,delay_1m,baseline,5,2022Q2,0.042129063951739265
0,delay_1m,baseline,5,2022Q3,-0.1786425396872915
