view,scenario,cost_bps,rank,phase,mdd,peak,start,end,days,minutes,baseline_net_log,slow_conflict_half_net_log,constant_075_net_log,constant_050_net_log,matched_constant_net_log,wins_removed_log,losses_avoided_log,gross_delta_log,slow_vs_matched_log
0,legacy_on_minute,0,1,decline,0.14717708324042877,2022-10-24 09:39:00,2022-10-24 09:39:00,2022-11-11 10:50:00,15,3431,-0.15920335355875714,-0.11751839000467657,-0.11940251516906786,-0.07960167677937857,-0.1323099595563056,0.22241148770519548,0.26409645125927605,0.04168496355408058,0.014791569551629025
0,legacy_on_minute,0,1,recovery,0.14717708324042877,2022-10-24 09:39:00,2022-11-11 10:50:00,2023-01-16 09:37:00,46,10727,0.16046816166519928,0.12889980885899321,0.12035112124889946,0.08023408083259964,0.1333611102115466,0.43568520237516317,0.4041168495689571,-0.03156835280620607,-0.004461301352553376
0,legacy_on_minute,0,2,decline,0.13496277402621248,2024-09-27 13:24:00,2024-09-27 13:24:00,2024-09-30 09:53:00,2,119,-0.1449827371684247,-0.09763537962160607,-0.10873705287631852,-0.07249136858421235,-0.12049155788691984,0.005042789968597194,0.05239014751541582,0.047347357546818625,0.022856178265313776
0,legacy_on_minute,0,2,recovery,0.13496277402621248,2024-09-27 13:24:00,2024-09-30 09:53:00,2024-10-08 09:30:00,2,217,0.29694610074026606,0.29694610074026606,0.22270957555519955,0.14847305037013303,0.24678454128698296,-0.0,0.0,0.0,0.0501615594532831
0,legacy_on_minute,0,3,decline,0.12280838267782289,2021-03-09 10:00:00,2021-03-09 10:00:00,2021-04-23 09:31:00,33,7651,-0.13102981866033314,-0.10031341858358678,-0.09827236399524986,-0.06551490933016657,-0.10889563328966148,0.3510661177628305,0.38178251783957684,0.030716400076746364,0.008582214706074703
0,legacy_on_minute,0,3,recovery,0.12280838267782289,2021-03-09 10:00:00,2021-04-23 09:31:00,2021-05-31 14:59:00,24,5758,0.1318797699553924,0.1268443905252492,0.09890982746654431,0.0659398849776962,0.10960200673569956,0.21692670115773538,0.21189132172759217,-0.005035379430143205,0.017242383789549648
0,legacy_on_minute,0,4,decline,0.11967607801097496,2023-02-21 09:51:00,2023-02-21 09:51:00,2023-03-14 11:29:00,16,3698,-0.12746534607020887,-0.11352265177623044,-0.09559900955265666,-0.06373267303510444,-0.10593328850422423,0.10473533480434982,0.11867802909832825,0.01394269429397843,-0.007589363272006211
0,legacy_on_minute,0,4,recovery,0.11967607801097496,2023-02-21 09:51:00,2023-03-14 11:29:00,2023-04-06 10:24:00,17,3775,0.12925231738401255,0.12940390277388492,0.09693923803800941,0.06462615869200627,0.10741839605361,0.19672341301018514,0.1968749984000575,0.00015158538987236625,0.02198550672027491
0,legacy_on_minute,0,5,decline,0.10967814275583776,2023-04-06 10:34:00,2023-04-06 10:34:00,2023-05-04 09:39:00,18,4025,-0.11617224427798689,-0.10558405288815242,-0.08712918320849017,-0.058086122138993446,-0.09654787162704348,0.341566030385577,0.35215422177541145,0.010588191389834467,-0.009036181261108944
0,legacy_on_minute,0,5,recovery,0.10967814275583776,2023-04-06 10:34:00,2023-05-04 09:39:00,2023-06-26 14:31:00,36,8602,0.11635350356998231,0.10014868092650842,0.08726512767748673,0.058176751784991154,0.0966985117301382,0.46863671672324303,0.45243189407976914,-0.016204822643473893,0.0034501691963702147
0,legacy_on_minute,0,6,decline,0.10519845867872034,2022-01-11 11:10:00,2022-01-11 11:10:00,2022-02-07 10:18:00,15,3308,-0.11115332683604162,-0.07913883722764359,-0.08336499512703122,-0.05557666341802081,-0.09237677378948987,0.13728872084561417,0.1693032104540122,0.032014489608398033,0.013237936561846284
0,legacy_on_minute,0,6,recovery,0.10519845867872034,2022-01-11 11:10:00,2022-02-07 10:18:00,2022-03-10 09:30:00,24,5472,0.11740131464931913,0.09803156191797369,0.08805098598698935,0.058700657324659566,0.097569321536783,0.2630753417209517,0.24370558898960626,-0.019369752731345447,0.00046224038119069277
0,legacy_on_minute,0,7,decline,0.10494725410037198,2023-08-30 09:58:00,2023-08-30 09:58:00,2023-10-20 13:00:00,32,7532,-0.11087262847775481,-0.08584370759876192,-0.0831544713583161,-0.055436314238877404,-0.09214349234407895,0.3180080675398975,0.3430369884188904,0.02502892087899289,0.006299784745317033
0,legacy_on_minute,0,7,recovery,0.10494725410037198,2023-08-30 09:58:00,2023-10-20 13:00:00,2023-12-28 13:42:00,50,11802,0.11144836214392573,0.08560126945215174,0.0835862716079443,0.055724181071962864,0.09262197031821387,0.5261663823789866,0.5003192896872126,-0.025847092691773987,-0.0070207008660621295
0,legacy_on_minute,0,8,decline,0.09869869025850427,2025-09-12 09:44:00,2025-09-12 09:44:00,2025-09-23 14:34:00,8,1880,-0.10391566025152255,-0.07365705312365511,-0.07793674518864191,-0.05195783012576127,-0.0863617285553685,0.2595353933486395,0.28979400047650694,0.030258607127867432,0.012704675431713386
0,legacy_on_minute,0,8,recovery,0.09869869025850427,2025-09-12 09:44:00,2025-09-23 14:34:00,2025-10-10 09:39:00,8,1475,0.10420971021142211,0.0966360608982395,0.07815728265856658,0.052104855105711056,0.08660610618581513,0.14766090482553906,0.14008725551235646,-0.007573649313182607,0.010029954712424377
0,legacy_on_minute,0,9,decline,0.09771934820205394,2024-11-29 13:02:00,2024-11-29 13:02:00,2024-12-06 10:31:00,6,1139,-0.10282966341457644,-0.09438374096920743,-0.07712224756093233,-0.05141483170728822,-0.08545918351242388,0.09326383753692369,0.1017097599822927,0.008445922445369014,-0.008924557456783555
0,legacy_on_minute,0,9,recovery,0.09771934820205394,2024-11-29 13:02:00,2024-12-06 10:31:00,2025-01-08 13:50:00,23,5389,0.10350698450948848,0.09100900522463329,0.07763023838211636,0.05175349225474424,0.08602208827963637,0.32275339264819713,0.31025541336334195,-0.012497979284855187,0.004986916944996922
0,legacy_on_minute,0,10,decline,0.09386872016671857,2025-08-25 09:35:00,2025-08-25 09:35:00,2025-09-03 14:59:00,8,1914,-0.09857108295798245,-0.07980031582318636,-0.07392831221848684,-0.049285541478991224,-0.08191998289017521,0.296819929188612,0.3155906963234081,0.018770767134796085,0.0021196670669888507
0,legacy_on_minute,0,10,recovery,0.09386872016671857,2025-08-25 09:35:00,2025-09-03 14:59:00,2025-09-11 10:53:00,6,1284,0.10134844396669962,0.08664083826422475,0.07601133297502471,0.05067422198334981,0.084228178757425,0.12082787649165816,0.10612027078918329,-0.014707605702474869,0.0024126595067997525
0,legacy_on_minute,3,1,decline,0.27509046733738385,2022-05-13 09:30:00,2022-05-13 09:30:00,2024-01-02 13:09:00,402,96369,-0.3217084144477565,-0.21380862825700442,-0.24124162680992656,-0.16080130048221414,-0.267334172127274,4.746588506231333,4.732468358787528,-0.014120147443805742,0.05352554387026959
