year,view,scenario,cost_bps,rank,phase,mdd,start,end,minutes,days,baseline_net_log,slow_net_log,matched_net_log,slow_vs_matched_log,conflict_share,both_share,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log
2023,0,legacy_on_minute,0,1,decline,0.11967607801097496,2023-02-21 09:51:00,2023-03-14 11:29:00,3698,16,-0.12746534607020887,-0.11352265177623044,-0.10585900426474731,-0.007663647511483117,0.24851270957274202,0.0797728501892915,0.10473533480434982,0.11867802909832825,0.01394269429397843,0.0,0.01394269429397843
2023,0,legacy_on_minute,0,1,recovery,0.11967607801097496,2023-03-14 11:29:00,2023-04-06 10:24:00,3775,17,0.12925231738401255,0.12940390277388492,0.10734307040319982,0.022060832370685107,0.3483443708609272,0.030463576158940398,0.19672341301018514,0.1968749984000575,0.00015158538987236625,0.0,0.00015158538987236625
2023,0,legacy_on_minute,0,2,decline,0.10967814275583776,2023-04-06 10:34:00,2023-05-04 09:39:00,4025,18,-0.11617224427798689,-0.10558405288815242,-0.0964801687801084,-0.009103884108044002,0.37863354037267083,0.08198757763975155,0.341566030385577,0.35215422177541145,0.010588191389834467,0.0,0.010588191389834467
2023,0,legacy_on_minute,0,2,recovery,0.10967814275583776,2023-05-04 09:39:00,2023-06-26 14:31:00,8602,36,0.11635350356998231,0.10014868092650842,0.09663070324893416,0.0035179776775742513,0.3488723552662172,0.03894443152755173,0.46863671672324303,0.45243189407976914,-0.016204822643473893,0.0,-0.016204822643473893
2023,0,legacy_on_minute,0,3,decline,0.10494725410037198,2023-08-30 09:58:00,2023-10-20 13:00:00,7532,32,-0.11087262847775481,-0.08584370759876192,-0.09207887800662024,0.0062351704078583104,0.36112586298459903,0.08430695698353691,0.3180080675398975,0.3430369884188904,0.02502892087899289,0.0,0.02502892087899289
2023,0,legacy_on_minute,0,3,recovery,0.10494725410037198,2023-10-20 13:00:00,2023-12-28 13:42:00,11802,50,0.11144836214392573,0.08560126945215174,0.0925570204547565,-0.006955751002604753,0.35078800203355365,0.061430266056600576,0.5261663823789866,0.5003192896872126,-0.025847092691773987,0.0,-0.025847092691773987
2023,0,legacy_on_minute,0,4,decline,0.07200930688649078,2023-06-26 14:43:00,2023-07-27 10:10:00,5337,24,-0.07473357521873858,-0.04507075633939239,-0.06206566805571376,0.016994911716321365,0.3588158141277871,0.06745362563237774,0.22506826225053445,0.25473108112988063,0.029662818879346187,0.0,0.029662818879346187
2023,0,legacy_on_minute,0,4,recovery,0.07200930688649078,2023-07-27 10:10:00,2023-08-15 13:39:00,3239,14,0.07496216384926058,0.06619402755834436,0.06225550918163024,0.003938518376714131,0.33961099104661935,0.1018832973139858,0.0914000607831964,0.08263192449228018,-0.008768136290916217,0.0,-0.008768136290916217
2023,0,legacy_on_minute,0,5,decline,0.03801295896328335,2023-08-28 09:30:00,2023-08-28 10:24:00,54,1,-0.03875429926296725,-0.024030996506929636,-0.03218515194471807,0.008154155437788429,0.7407407407407407,0.0,0.011281143365549084,0.0260044461215867,0.014723302756037615,0.0,0.014723302756037615
2023,0,legacy_on_minute,0,5,recovery,0.03801295896328335,2023-08-28 10:24:00,2023-08-29 13:02:00,308,2,0.04081516636693028,0.04081516636693028,0.03389668646192978,0.006918479905000495,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
