policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp,min_year_trades,eligible
e0.05_x0.05_p2_w120_c3_d0,0.05,0.05,2.0,120,3,0,225,10.845602012834728,-41.28675919737979,0.4311111111111111,1.1351387767191894,484.93333333333334,0.0,0.5271548608524225,0.210172653759213,0.10419671387784768,0.20576222478035489,2440.2604528878137,112.0,True
e0.05_x0.3_p0_w240_c3_d0,0.05,0.3,0.0,240,3,0,240,8.869299800909653,-38.949079319630094,0.42083333333333334,1.1312804975353334,289.35833333333335,0.004166666666666667,0.5259599155635801,0.1826939292261036,0.09109755022691934,0.219281529784215,2128.6319522183167,115.0,True
e0.05_x0.3_p0_w240_c3_d5,0.05,0.3,0.0,240,3,5,225,8.502210145011466,-31.781130681056702,0.4311111111111111,1.1293504613324512,294.02666666666664,0.0044444444444444444,0.4953846380599959,0.1621452847512901,0.08120615463685321,0.19066008096004405,1912.9972826275798,109.0,True
e0.001_x0.15_p0_w480_c3_d5,0.001,0.15,0.0,480,3,5,83,35.78266686880422,-3.1822961283101137,0.4939759036144578,1.5568509550837069,439.71084337349396,0.012048192771084338,1.0733617175828516,0.3201158292549737,0.15523017200176925,0.10884279130527497,2969.9613501107506,38.0,False
e0.001_x0.05_p2_w480_c1_d5,0.001,0.05,2.0,480,1,5,88,33.302369024818255,11.16910645164948,0.5113636363636364,1.4274903696756787,587.7727272727273,0.0,0.9288587341025722,0.30983277722065616,0.15054579007352942,0.11884285111840842,2930.6084741840064,41.0,False
e0.001_x0.05_p2_w480_c1_d0,0.001,0.05,2.0,480,1,0,90,30.51529181604671,11.16910645164948,0.5111111111111111,1.3848905842585422,583.4222222222222,0.0,0.8599406019949096,0.28531259938780873,0.1393039566090153,0.13242152957861109,2746.3762634442037,41.0,False
e0.001_x0.15_p0_w480_c3_d0,0.001,0.15,0.0,480,3,0,86,29.78686886359173,-13.79039754886291,0.47674418604651164,1.4479941376854173,444.95348837209303,0.011627906976744186,0.9112375759406778,0.26696614226062065,0.13082506835436236,0.11543619698807639,2561.6707222688888,38.0,False
e0.001_x0.05_p2_w240_c3_d5,0.001,0.05,2.0,240,3,5,78,27.077643745693933,-17.788449564620223,0.4358974358974359,1.3503224364725999,573.8589743589744,0.0,0.7051290277744813,0.20895283535728648,0.10361827391493428,0.13180537277561855,2112.056212164127,34.0,False
e0.001_x0.15_p0_w240_c3_d5,0.001,0.15,0.0,240,3,5,80,22.20533785068428,-23.117095242481955,0.4625,1.3356500853708597,407.35,0.0,0.6739225087542854,0.17414308674833756,0.08699158565639475,0.12755147298263003,1776.4270280547423,35.0,False
e0.001_x0.3_p0_w240_c3_d5,0.001,0.3,0.0,240,3,5,84,20.144535294635887,-16.06915096942496,0.4880952380952381,1.3652025803290169,304.85714285714283,0.0,0.7422483608661694,0.17020656849593485,0.085096510584872,0.13079722447217845,1692.1409647494145,37.0,False
e0.001_x0.05_p2_w480_c3_d5,0.001,0.05,2.0,480,3,5,79,19.758682876555447,-2.6093670024174287,0.4936708860759494,1.2432906607227696,589.1139240506329,0.0,0.5398027213307665,0.1458706474048781,0.07331234223109195,0.14130236445351774,1560.9359472478802,36.0,False
e0.001_x0.05_p2_w120_c3_d5,0.001,0.05,2.0,120,3,5,80,18.688818197197868,-18.264850931627997,0.45,1.261395768034672,500.2,0.0,0.5650580550890507,0.1430590902368709,0.07194318776051678,0.14439564986054054,1495.1054557758293,38.0,False
