policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
e0.001_x0.05_p0_w120_c1_d0,0.001,0.05,0.0,120,1,0,28,-16.493152889038175,-69.74906427949011,0.35714285714285715,0.7766094573263147,599.8928571428571,0.0,-0.3923187215591238,-0.048713484498109305,-0.05067456912420365,0.1630323923186272,-461.8082808930689
e0.001_x0.05_p0_w120_c1_d5,0.001,0.05,0.0,120,1,5,25,-15.050197845590013,-58.217101218016595,0.36,0.8013945124828156,625.84,0.0,-0.32071419734431184,-0.040431575615715865,-0.04206666753678079,0.14838120995616988,-376.2549461397503
e0.001_x0.05_p0_w120_c3_d0,0.001,0.05,0.0,120,3,0,17,-31.280394199896516,-82.56262148715221,0.29411764705882354,0.6163513031022723,588.2941176470588,0.0,-0.7627459095410306,-0.05396801600494461,-0.056134325896281756,0.1261328209309175,-531.7667013982408
e0.001_x0.05_p0_w120_c3_d5,0.001,0.05,0.0,120,3,5,16,-38.60788732784705,-83.18312002068785,0.25,0.5543349179448469,586.3125,0.0,-0.8881305657405215,-0.06203075236960376,-0.06450952840226165,0.12494726387579702,-617.7261972455528
e0.001_x0.05_p0_w240_c1_d0,0.001,0.05,0.0,240,1,0,23,9.778406014144283,-5.058110893794154,0.43478260869565216,1.1504076230433633,769.0869565217391,0.0,0.23216186500935448,0.01931604816843402,0.02012221031730199,0.10476022438262589,224.9033383253185
e0.001_x0.05_p0_w240_c1_d5,0.001,0.05,0.0,240,1,5,21,19.05387542363891,-2.3087066540883328,0.47619047619047616,1.3206851351721773,795.9047619047619,0.0,0.40127142798509546,0.037594200750329154,0.03917772895226168,0.10476022438262589,400.1313838964171
e0.001_x0.05_p0_w240_c3_d0,0.001,0.05,0.0,240,3,0,21,7.8823808046865285,-57.85685521603967,0.42857142857142855,1.1117359282826873,728.4285714285714,0.0,0.18497077033265275,0.013309347292335572,0.013863115342748644,0.09836178082660318,165.5299968984171
e0.001_x0.05_p0_w240_c3_d5,0.001,0.05,0.0,240,3,5,21,7.8823808046865285,-57.85685521603967,0.42857142857142855,1.1117359282826873,728.4285714285714,0.0,0.18497077033265275,0.013309347292335572,0.013863115342748644,0.09836178082660318,165.5299968984171
e0.001_x0.05_p0_w480_c1_d0,0.001,0.05,0.0,480,1,0,28,9.231883572961962,16.522463815704658,0.5357142857142857,1.1163649474954145,846.3928571428571,0.0,0.20691846970397748,0.019433674379246257,0.02024479428061232,0.15290120691219722,258.49274004293494
e0.001_x0.05_p0_w480_c1_d5,0.001,0.05,0.0,480,1,5,26,13.206482740217172,12.432548997880488,0.5384615384615384,1.1598052747494547,868.0,0.0,0.2701197290055983,0.02799432458383988,0.029167826918284012,0.1409017491123259,343.3685512456465
e0.001_x0.05_p0_w480_c3_d0,0.001,0.05,0.0,480,3,0,22,27.794381681788625,46.470947773690206,0.5909090909090909,1.3814342811676417,858.0909090909091,0.0,0.48528438072353386,0.05719710108384479,0.059629752257711166,0.13969818569048487,611.4763969993497
e0.001_x0.05_p0_w480_c3_d5,0.001,0.05,0.0,480,3,5,22,10.198212487374262,10.09583759291055,0.5454545454545454,1.1305938042655905,824.4090909090909,0.0,0.21587417270607512,0.017178686701284418,0.01789486443427002,0.14747825641122325,224.36067472223374
e0.001_x0.05_p1_w120_c1_d0,0.001,0.05,1.0,120,1,0,24,6.7213704364377165,-49.310471602496136,0.4583333333333333,1.1021057126783131,666.375,0.0,0.17457930926700885,0.012889164267597453,0.013425334017809876,0.1423217384067501,161.3128904745052
e0.001_x0.05_p1_w120_c1_d5,0.001,0.05,1.0,120,1,5,22,2.8042563705099615,-71.41026321441646,0.4090909090909091,1.0390500292743512,679.0,0.0,0.08262982798482889,0.0028876354115130454,0.0030071384244005905,0.14338291617392873,61.69364015121916
e0.001_x0.05_p1_w120_c3_d0,0.001,0.05,1.0,120,3,0,18,-19.340651434762158,-74.03807637266945,0.3888888888888889,0.7451929422762377,632.6666666666666,0.0,-0.46775948137408574,-0.03634112152848079,-0.0378140705173764,0.11348144234488977,-348.13172582571883
e0.001_x0.05_p1_w120_c3_d5,0.001,0.05,1.0,120,3,5,17,-25.534777745472397,-83.22407060700532,0.35294117647058826,0.6822768544984846,633.4117647058823,0.0,-0.585946941414614,-0.04455408643244496,-0.04635183413026944,0.11485366143689757,-434.09122167303076
e0.001_x0.05_p1_w240_c1_d0,0.001,0.05,1.0,240,1,0,26,-11.3796153582716,-59.66193033664081,0.4230769230769231,0.8574875947882769,656.4615384615385,0.0,-0.25223880709406243,-0.03302122815091557,-0.03436203016815531,0.13835687390481688,-295.8699993150616
e0.001_x0.05_p1_w240_c1_d5,0.001,0.05,1.0,240,1,5,25,-8.045984862844517,-42.99136809899351,0.44,0.8942027974352662,653.52,0.0,-0.16761396139528215,-0.023583439897883918,-0.024545904830011844,0.13010809658913847,-201.1496215711129
e0.001_x0.05_p1_w240_c3_d0,0.001,0.05,1.0,240,3,0,20,36.7032509266752,-6.4171495313430915,0.45,1.6998646720794721,738.2,0.0,0.7937444611045305,0.07285778236642582,0.07598007321984923,0.06618683574951223,734.065018533504
e0.001_x0.05_p1_w240_c3_d5,0.001,0.05,1.0,240,3,5,19,47.46183381031429,-3.773834057322345,0.47368421052631576,2.023398299164673,751.6315789473684,0.0,0.9816206173320235,0.09115756669814012,0.09509820355964083,0.06618683574951223,901.7748423959715
e0.001_x0.05_p1_w480_c1_d0,0.001,0.05,1.0,480,1,0,27,-3.965823328358051,1.9970609948405382,0.5185185185185185,0.9542503010662664,796.0,0.0,-0.032442628931739596,-0.016365277768321418,-0.017035736360868414,0.16232939045277972,-107.07722986566738
e0.001_x0.05_p1_w480_c1_d5,0.001,0.05,1.0,480,1,5,26,3.213986440338206,7.746842847424773,0.5384615384615384,1.0372031093809366,806.8076923076923,0.0,0.08838579101442631,0.002371091617052956,0.002469191476473842,0.14369547803899962,83.56364744879336
e0.001_x0.05_p1_w480_c3_d0,0.001,0.05,1.0,480,3,0,23,2.793394905232353,-18.49041706874388,0.4782608695652174,1.0325772910569249,867.7826086956521,0.0,0.08280966093659045,0.0014309716279716778,0.0014901467225221232,0.17549821747311634,64.24808282034411
e0.001_x0.05_p1_w480_c3_d5,0.001,0.05,1.0,480,3,5,22,-6.8951582077383184,-35.47163752763427,0.45454545454545453,0.9189810865977123,851.5454545454545,0.0,-0.1257071066820387,-0.019579244354775538,-0.020380004257420814,0.17908032147654762,-151.693480570243
e0.001_x0.05_p2_w120_c1_d0,0.001,0.05,2.0,120,1,0,25,-28.54814742715277,-61.53949908786927,0.4,0.679594136998526,616.68,0.0,-0.4789997348603695,-0.07300199148613584,-0.07590116863836815,0.19948008854827626,-713.7036856788193
