entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end
0,865,1,2023-01-03 09:30:00+08:00,2023-01-06 13:25:00+08:00,960.51,992.64,865,334.5097916731743,330.3768143519692,False
2165,3913,1,2023-01-16 09:35:00+08:00,2023-02-01 10:43:00+08:00,978.71,1011.08,1748,330.7414862420943,326.61001594165737,False
4083,4345,1,2023-02-02 09:33:00+08:00,2023-02-03 09:55:00+08:00,1034.3,1025.1,262,-88.94904766508782,-92.91267532049119,False
6676,7943,-1,2023-02-16 14:16:00+08:00,2023-02-24 09:53:00+08:00,1010.97,998.7,1267,121.3685866049441,117.36938644497653,False
9122,10323,1,2023-03-03 09:32:00+08:00,2023-03-10 09:33:00+08:00,999.14,991.91,1201,-72.36223151910637,-76.3324925742881,False
12492,13042,1,2023-03-23 09:42:00+08:00,2023-03-27 10:52:00+08:00,1046.14,1056.45,550,98.55277496319647,94.51416157588932,False
14175,14482,1,2023-04-03 09:45:00+08:00,2023-04-04 10:52:00+08:00,1101.92,1131.28,307,266.4440249745881,262.33826851588924,False
22085,22178,-1,2023-05-24 09:35:00+08:00,2023-05-24 11:08:00+08:00,1008.81,1020.8,93,-118.85290589902952,-122.8521060589971,False
22184,24244,1,2023-05-24 11:14:00+08:00,2023-06-06 09:34:00+08:00,1021.93,1042.28,2060,199.13301302437515,195.05417558665306,False
26900,27221,-1,2023-06-21 09:50:00+08:00,2023-06-26 11:11:00+08:00,1040.54,1023.37,321,165.01047533011626,161.01127517014868,False
27229,27642,1,2023-06-26 11:19:00+08:00,2023-06-28 10:12:00+08:00,1028.68,996.14,413,-316.32772096278796,-320.2004153355287,False
32164,35497,1,2023-07-25 09:34:00+08:00,2023-08-11 14:37:00+08:00,958.73,940.92,3333,-185.76658704744898,-189.69149543095364,False
35521,36335,-1,2023-08-14 09:31:00+08:00,2023-08-17 11:05:00+08:00,932.72,913.25,814,208.74431769448475,204.7451175345172,False
36482,36725,1,2023-08-18 09:32:00+08:00,2023-08-21 09:35:00+08:00,922.07,900.04,243,-238.91895409242304,-242.82260578044833,False
37149,37217,1,2023-08-22 14:09:00+08:00,2023-08-23 09:47:00+08:00,892.13,889.47,68,-29.816282380370485,-33.803558412212055,False
37685,37921,-1,2023-08-25 09:35:00+08:00,2023-08-28 09:31:00+08:00,877.01,920.92,236,-500.67844152290155,-504.6776416828691,False
37927,39606,1,2023-08-28 09:37:00+08:00,2023-09-06 09:36:00+08:00,900.88,925.76,1679,276.174407246248,272.0647594129155,False
42528,43685,1,2023-09-22 10:18:00+08:00,2023-10-09 09:35:00+08:00,873.98,882.8,1157,100.91764113595136,96.87808199132508,False
44402,44642,1,2023-10-12 09:32:00+08:00,2023-10-13 09:32:00+08:00,899.22,892.48,240,-74.95384889126156,-78.92307350678252,False
44904,45220,-1,2023-10-16 09:54:00+08:00,2023-10-17 11:10:00+08:00,880.18,878.67,316,17.15558181281107,13.156381652843496,False
45232,45371,1,2023-10-17 11:22:00+08:00,2023-10-18 09:41:00+08:00,884.84,875.03,139,-110.86750146919289,-114.82236349619978,False
46100,46358,-1,2023-10-23 09:50:00+08:00,2023-10-24 10:08:00+08:00,849.59,850.02,258,-5.061264845396263,-9.060465005363838,False
46371,49113,1,2023-10-24 10:21:00+08:00,2023-11-08 13:33:00+08:00,854.8,899.12,2742,518.48385587272,514.2773036408176,False
49444,49931,-1,2023-11-10 09:34:00+08:00,2023-11-14 09:41:00+08:00,885.7,902.16,487,-185.84170712430793,-189.8409072842755,False
49938,50894,1,2023-11-14 09:48:00+08:00,2023-11-20 09:44:00+08:00,903.55,885.81,956,-196.33667201593764,-200.257353210892,False
50991,51610,1,2023-11-20 11:21:00+08:00,2023-11-23 09:40:00+08:00,895.14,869.31,619,-288.5582143575316,-292.44201431179783,False
53216,53522,1,2023-12-01 13:56:00+08:00,2023-12-05 09:32:00+08:00,867.33,856.81,306,-121.29178052183276,-125.2424736709945,False
53530,54143,-1,2023-12-05 09:40:00+08:00,2023-12-07 13:23:00+08:00,854.58,849.35,613,61.19965363102331,57.20045347105574,False
57650,58079,1,2023-12-28 10:20:00+08:00,2023-12-29 14:59:00+08:00,843.87,852.36,429,100.60791354118636,96.56847826282622,True
