entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end,year
767,1025,-1,2021-01-07 10:17:00+08:00,2021-01-08 10:35:00+08:00,1386.14,1384.28,258,13.418558010014348,9.419357850046772,False,2021
1929,2283,1,2021-01-14 09:39:00+08:00,2021-01-15 13:03:00+08:00,1421.53,1437.32,354,111.07750100244118,107.0338787264946,False,2021
4104,4812,-1,2021-01-27 09:54:00+08:00,2021-02-01 09:42:00+08:00,1452.22,1433.09,708,131.72935230199357,127.73015214202488,False,2021
5523,5693,-1,2021-02-04 09:33:00+08:00,2021-02-04 13:53:00+08:00,1395.67,1384.8,170,77.88374042574597,73.8845402657784,False,2021
6722,6978,1,2021-02-18 09:32:00+08:00,2021-02-19 09:48:00+08:00,1459.48,1415.33,256,-302.50500178145677,-306.38322413627293,False,2021
7446,8403,-1,2021-02-23 09:36:00+08:00,2021-03-01 09:33:00+08:00,1374.67,1346.7,957,203.46701390151821,199.46781374154955,False,2021
9365,10083,-1,2021-03-05 09:35:00+08:00,2021-03-10 09:33:00+08:00,1310.35,1256.4,718,411.72205899187134,407.7228588319026,False,2021
10806,11301,-1,2021-03-15 09:36:00+08:00,2021-03-17 09:51:00+08:00,1239.7,1230.73,495,72.35621521335833,68.35701505339075,False,2021
13967,14651,1,2021-04-01 10:17:00+08:00,2021-04-07 09:41:00+08:00,1267.44,1289.1,684,170.8956637000547,166.828118943525,False,2021
15856,17057,1,2021-04-14 09:46:00+08:00,2021-04-21 09:47:00+08:00,1257.1,1280.51,1201,186.22225757696452,182.1485834087677,False,2021
19447,20256,-1,2021-05-10 09:37:00+08:00,2021-05-13 11:06:00+08:00,1251.7,1286.12,809,-274.98601901413844,-278.985219174106,False,2021
20644,21638,1,2021-05-17 09:34:00+08:00,2021-05-21 10:08:00+08:00,1313.73,1324.09,994,78.85943078105751,74.82869315627028,False,2021
22089,22968,1,2021-05-25 09:39:00+08:00,2021-05-28 13:48:00+08:00,1343.01,1391.18,879,358.6719384070114,354.52929815969816,False,2021
23042,23534,1,2021-05-31 09:32:00+08:00,2021-06-02 09:44:00+08:00,1406.88,1450.01,492,306.56488115546443,302.4430795633215,False,2021
24242,25233,1,2021-06-07 09:32:00+08:00,2021-06-11 10:03:00+08:00,1449.27,1433.73,991,-107.22639673766743,-111.1827149153366,False,2021
25736,25924,-1,2021-06-16 10:26:00+08:00,2021-06-17 09:34:00+08:00,1422.46,1417.92,188,31.916538953643546,27.917338793674862,False,2021
26177,26652,1,2021-06-18 09:47:00+08:00,2021-06-22 09:42:00+08:00,1495.32,1514.5,475,128.26685926758284,124.21636262320402,False,2021
27143,27364,-1,2021-06-24 09:53:00+08:00,2021-06-25 09:34:00+08:00,1512.98,1518.69,221,-37.74008909569248,-41.73928925566006,False,2021
27617,27883,1,2021-06-28 09:47:00+08:00,2021-06-29 10:13:00+08:00,1558.7,1553.07,266,-36.119843459293534,-40.10459857088699,False,2021
28098,28415,1,2021-06-30 09:48:00+08:00,2021-07-01 11:05:00+08:00,1582.24,1571.52,317,-67.75204772980103,-71.72415248975716,False,2021
28562,28806,-1,2021-07-02 09:32:00+08:00,2021-07-05 09:36:00+08:00,1557.31,1565.69,244,-53.81073774650025,-57.80993790646782,False,2021
28812,29121,1,2021-07-05 09:42:00+08:00,2021-07-06 10:51:00+08:00,1578.94,1554.15,309,-157.0040660189742,-160.9404771103484,False,2021
29127,29522,-1,2021-07-06 10:57:00+08:00,2021-07-08 09:32:00+08:00,1541.72,1594.23,395,-340.593622707106,-344.5928228670736,False,2021
29534,29767,1,2021-07-08 09:44:00+08:00,2021-07-09 09:37:00+08:00,1601.11,1587.63,233,-84.19159208299165,-88.15712234010675,False,2021
31205,31694,-1,2021-07-19 09:35:00+08:00,2021-07-21 09:44:00+08:00,1509.61,1540.57,489,-205.08608183570587,-209.08528199567345,False,2021
32507,32571,-1,2021-07-26 11:17:00+08:00,2021-07-26 13:51:00+08:00,1521.09,1529.65,64,-56.27543406373281,-60.27463422370039,False,2021
32645,32842,1,2021-07-27 09:35:00+08:00,2021-07-27 14:22:00+08:00,1565.64,1576.52,197,69.4923481771026,65.46535663614073,False,2021
32857,33122,-1,2021-07-27 14:37:00+08:00,2021-07-29 09:32:00+08:00,1547.4,1558.93,265,-74.51208478738592,-78.51128494735349,False,2021
37699,38427,-1,2021-08-25 09:49:00+08:00,2021-08-30 09:57:00+08:00,1552.65,1495.25,728,369.6905290954178,365.69132893544906,False,2021
39485,40115,1,2021-09-03 13:05:00+08:00,2021-09-08 10:05:00+08:00,1409.2,1421.34,630,86.14816917399848,82.11451663683533,False,2021
42724,42832,1,2021-09-27 09:34:00+08:00,2021-09-27 11:22:00+08:00,1396.16,1360.86,108,-252.83635113454216,-256.73443697691977,False,2021
44404,45153,1,2021-10-13 09:34:00+08:00,2021-10-18 10:03:00+08:00,1334.42,1347.57,749,98.54468608084366,94.50607592844219,False,2021
47295,47903,1,2021-10-29 09:45:00+08:00,2021-11-02 13:23:00+08:00,1370.95,1403.49,608,237.35365987089142,233.25953723147163,False,2021
48245,48757,1,2021-11-04 09:35:00+08:00,2021-11-08 10:07:00+08:00,1414.18,1382.48,512,-224.1581693985206,-228.06772421979704,False,2021
50661,50883,-1,2021-11-18 09:51:00+08:00,2021-11-19 09:33:00+08:00,1420.61,1437.14,222,-116.35846572951137,-120.35766588947894,False,2021
51124,53050,1,2021-11-22 09:34:00+08:00,2021-12-02 09:40:00+08:00,1459.1,1446.52,1926,-86.21753135494403,-90.18225139839298,False,2021
53528,54002,-1,2021-12-06 09:38:00+08:00,2021-12-08 09:32:00+08:00,1426.24,1406.48,474,138.54610724702732,134.54690708705863,False,2021
54008,55425,1,2021-12-08 09:38:00+08:00,2021-12-15 14:45:00+08:00,1407.19,1425.86,1417,132.67575807104802,128.62349821979092,False,2021
55712,56164,-1,2021-12-17 10:02:00+08:00,2021-12-21 09:34:00+08:00,1409.89,1373.73,452,256.4739093120749,252.47470915210624,False,2021
56915,57124,-1,2021-12-24 10:05:00+08:00,2021-12-27 09:34:00+08:00,1363.45,1368.07,209,-33.8846308995544,-37.88383105952198,False,2021
57851,58319,1,2021-12-30 09:41:00+08:00,2021-12-31 14:59:00+08:00,1368.11,1398.19,468,219.865361703373,215.778232984436,True,2021
0,11,1,2022-01-04 09:30:00+08:00,2022-01-04 09:41:00+08:00,1403.39,1386.3,11,-121.77655534099662,-125.7270546190048,False,2022
23,993,-1,2022-01-04 09:53:00+08:00,2022-01-10 10:03:00+08:00,1378.33,1311.74,970,483.12087816415493,479.12167800418626,False,2022
1000,1224,1,2022-01-10 10:10:00+08:00,2022-01-11 09:54:00+08:00,1319.98,1309.05,224,-82.80428491340808,-86.77036998242849,False,2022
1691,1953,-1,2022-01-13 09:41:00+08:00,2022-01-14 10:03:00+08:00,1298.27,1307.86,262,-73.86753140717906,-77.86673156714663,False,2022
1959,2646,1,2022-01-14 10:09:00+08:00,2022-01-19 09:36:00+08:00,1312.01,1332.59,687,156.85856052926272,152.7966294912586,False,2022
3371,3662,1,2022-01-24 09:41:00+08:00,2022-01-25 10:32:00+08:00,1308.21,1288.95,291,-147.2240695301208,-151.16439183784692,False,2022
4567,4816,1,2022-02-07 09:37:00+08:00,2022-02-08 09:46:00+08:00,1259.96,1215.68,249,-351.43972824534075,-355.2983806235666,False,2022
5305,6004,-1,2022-02-10 09:55:00+08:00,2022-02-15 09:34:00+08:00,1195.1,1182.37,699,106.51828298887112,102.51908282890243,False,2022
7202,7444,-1,2022-02-22 09:32:00+08:00,2022-02-23 09:34:00+08:00,1180.26,1197.74,242,-148.10296036466664,-152.1021605246342,False,2022
7450,7794,1,2022-02-23 09:40:00+08:00,2022-02-24 11:24:00+08:00,1205.61,1221.92,344,135.28421297102966,131.23090994644704,False,2022
7802,7921,-1,2022-02-24 13:02:00+08:00,2022-02-25 09:31:00+08:00,1209.53,1240.94,119,-259.6876472679477,-263.68684742791527,False,2022
7927,8644,1,2022-02-25 09:37:00+08:00,2022-03-02 09:34:00+08:00,1237.19,1224.1,717,-105.80428228485594,-109.76116919455991,False,2022
9364,9757,-1,2022-03-07 09:34:00+08:00,2022-03-08 13:37:00+08:00,1185.79,1162.33,393,197.84278835206948,193.8435881921019,False,2022
10082,10324,1,2022-03-10 09:32:00+08:00,2022-03-11 09:34:00+08:00,1165.18,1130.99,242,-293.4310578623045,-297.3129090689186,False,2022
10802,10845,-1,2022-03-15 09:32:00+08:00,2022-03-15 10:15:00+08:00,1106.01,1127.28,43,-192.3129085632125,-196.31210872318005,False,2022
12483,13446,-1,2022-03-24 09:33:00+08:00,2022-03-30 09:36:00+08:00,1130.74,1089.88,963,361.356279958257,357.35707979828834,False,2022
13457,13690,1,2022-03-30 09:47:00+08:00,2022-03-31 09:40:00+08:00,1102.34,1101.82,233,-4.717237875790925,-8.714551517912117,False,2022
14164,14710,-1,2022-04-06 09:34:00+08:00,2022-04-08 10:40:00+08:00,1074.29,1035.83,546,358.00389094192474,354.00469078195715,False,2022
14884,15258,-1,2022-04-11 09:34:00+08:00,2022-04-12 13:18:00+08:00,1015.79,983.92,374,313.745951426968,309.74675126699935,False,2022
15844,16110,-1,2022-04-15 09:34:00+08:00,2022-04-18 10:00:00+08:00,959.41,982.79,266,-243.6914353613151,-247.69063552128267,False,2022
17282,17849,-1,2022-04-25 09:32:00+08:00,2022-04-27 10:59:00+08:00,918.34,870.06,567,525.7312106627188,521.7320105027512,False,2022
17891,18003,1,2022-04-27 13:11:00+08:00,2022-04-28 09:33:00+08:00,888.85,893.71,112,54.67739213590672,50.656325392401946,False,2022
18366,18721,1,2022-04-29 13:06:00+08:00,2022-05-06 09:31:00+08:00,933.54,935.12,355,16.924823789019605,12.918855053252187,False,2022
18727,19215,-1,2022-05-06 09:37:00+08:00,2022-05-10 09:45:00+08:00,937.41,957.56,488,-214.9539689143487,-218.9531690743163,False,2022
19223,20231,1,2022-05-10 09:53:00+08:00,2022-05-16 10:41:00+08:00,965.9,999.64,1008,349.31152293198096,345.17262610217483,False,2022
21604,22140,-1,2022-05-24 09:34:00+08:00,2022-05-26 10:30:00+08:00,1032.46,1004.22,536,273.52149235805757,269.52229219809,False,2022
22922,24096,1,2022-05-31 13:02:00+08:00,2022-06-08 11:06:00+08:00,1025.92,1104.32,1174,764.1921397379891,759.8873238452719,False,2022
24102,25204,-1,2022-06-08 11:12:00+08:00,2022-06-15 09:34:00+08:00,1100.41,1083.25,1102,155.94187620977752,151.94267604980993,False,2022
