parameter,from,to,pairs,median_delta_mean_net_bp,positive_share,median_delta_sharpe,median_delta_trades
entry_alpha,0.001,0.01,324,-2.3481956632299132,0.4382716049382716,-0.09455779204463607,32.0
entry_alpha,0.01,0.05,324,0.8015493653385235,0.5216049382716049,0.051418055317152545,35.0
exit_alpha,0.05,0.15,324,-1.84202493684825,0.43209876543209874,-0.06909171622355681,10.0
exit_alpha,0.15,0.3,324,1.4591984383922512,0.5802469135802469,0.07582324022839615,5.0
weight_power,0.0,1.0,324,-3.060667715816655,0.4074074074074074,-0.12319212328009871,0.0
weight_power,1.0,2.0,324,3.1770614457929685,0.6327160493827161,0.1332356320702905,4.0
volatility_window,120.0,240.0,324,2.094148587339827,0.5493827160493827,0.124726849615408,-7.0
volatility_window,240.0,480.0,324,0.19366131125182653,0.5092592592592593,0.011428071190623595,-1.0
entry_confirm,1.0,3.0,486,3.184051513799187,0.6502057613168725,0.16690850994576667,-8.0
cooldown,0.0,5.0,486,0.1983587790605843,0.5246913580246914,0.007009258640067809,-4.0
