sequence,global_trade,direction,first_booking,last_booking,entry_signal_label,entry_fill_bar_label,exit_signal_label,exit_fill_bar_label,entry_price,exit_price,fragment_start_price,fragment_end_price,inherited_at_peak,continues_after_trough,fragment_bars,full_trade_bars,fragment_log_pnl,fragment_geometric_pct,peak_nav_contribution_pp,cumulative_drawdown_pct,fragment_mfe_log_bp,fragment_giveback_log_bp,overnight_gap_log_bp,full_trade_log_pnl,full_trade_geometric_pct,full_trade_mfe_log_bp,entry_threshold_log_bp,observed_shape_not_causal_verdict
1,121,-1,2021-03-09 10:07:00,2021-03-09 10:22:00,2021-03-08 10:07:00,2021-03-08 10:12:00,2021-03-09 10:17:00,2021-03-09 10:22:00,1324.79,1259.0599999999999,1234.3099999999999,1259.0599999999999,True,False,4,48,-0.019853301304181267,-1.9657522278525192,-1.9657522278525241,1.9657522278525241,0,198.53301304181267,0,0.050888545514001252,5.2205613711816898,707.41846818182535,18.66099181737528,窗口内未获顺向开盘浮盈
2,122,1,2021-03-09 10:27:00,2021-03-09 10:47:00,2021-03-09 10:17:00,2021-03-09 10:22:00,2021-03-09 10:42:00,2021-03-09 10:47:00,1259.0599999999999,1245.49,1259.0599999999999,1245.49,False,False,5,5,-0.010836384013378015,-1.077788191190248,-1.0566015458103872,3.0223537736629114,0,108.36384013378014,0,-0.010836384013378015,-1.077788191190248,0,31.675795098473049,窗口内未获顺向开盘浮盈
3,123,-1,2021-03-09 10:52:00,2021-03-09 11:12:00,2021-03-09 10:42:00,2021-03-09 10:47:00,2021-03-09 11:07:00,2021-03-09 11:12:00,1245.49,1254.48,1245.49,1254.48,False,False,5,5,-0.0071921173068275057,-0.71663159237294582,-0.6949724503976018,3.7173262240605132,0,71.921173068275053,0,-0.0071921173068275057,-0.71663159237294582,0,32.350552605092396,窗口内未获顺向开盘浮盈
4,124,1,2021-03-09 11:17:00,2021-03-09 13:52:00,2021-03-09 11:07:00,2021-03-09 11:12:00,2021-03-09 13:47:00,2021-03-09 13:52:00,1254.48,1256.77,1254.48,1256.77,False,False,13,13,0.0018237934373352021,0.1825457560104522,0.17575993475136276,3.5415662893091504,90.858858435884713,72.620924062532694,0,0.0018237934373352021,0.1825457560104522,90.858858435884713,33.431558813325175,顺向开盘浮盈超过后续回吐
5,125,-1,2021-03-09 13:57:00,2021-03-10 09:47:00,2021-03-09 13:47:00,2021-03-09 13:52:00,2021-03-10 09:42:00,2021-03-10 09:47:00,1256.77,1247.6500000000001,1256.77,1247.6500000000001,False,False,16,16,0.0072831556317829223,0.73097423155532448,0.70508629458702066,2.8364799947221297,203.68841815551377,130.85686183768456,-198.18874381858959,0.0072831556317829275,0.73097423155532504,203.68841815551377,35.767098525039032,顺向开盘浮盈超过后续回吐
6,126,1,2021-03-10 09:52:00,2021-03-10 10:17:00,2021-03-10 09:42:00,2021-03-10 09:47:00,2021-03-10 10:12:00,2021-03-10 10:17:00,1247.6500000000001,1231.53,1247.6500000000001,1231.53,False,False,6,6,-0.013004483078517154,-1.2920290145473559,-1.2553808700237146,4.0918608647458443,6.9706793626068793,137.01551014777843,0,-0.013004483078517154,-1.2920290145473559,6.9706793626068793,42.165401275132965,有顺向开盘浮盈但全部回吐并倒亏
7,127,-1,2021-03-10 10:22:00,2021-03-10 10:52:00,2021-03-10 10:12:00,2021-03-10 10:17:00,2021-03-10 10:47:00,2021-03-10 10:52:00,1231.53,1241.1400000000001,1231.53,1241.1400000000001,False,False,7,7,-0.0077730132901597266,-0.77428815443866794,-0.74260536046683034,4.8344662252126742,18.937475434817205,96.667608336414474,0,-0.0077730132901597266,-0.77428815443866794,18.937475434817205,37.130111175706432,有顺向开盘浮盈但全部回吐并倒亏
8,128,1,2021-03-10 10:57:00,2021-03-10 13:22:00,2021-03-10 10:47:00,2021-03-10 10:52:00,2021-03-10 13:17:00,2021-03-10 13:22:00,1241.1400000000001,1238.76,1241.1400000000001,1238.76,False,False,11,11,-0.0019194328244720386,-0.19175918913257539,-0.18248865590021479,5.0169548811128895,45.900586619373748,65.094914864094136,0,-0.0019194328244720382,-0.19175918913257534,45.900586619373748,34.382587447418345,有顺向开盘浮盈但全部回吐并倒亏
9,129,-1,2021-03-10 13:27:00,2021-03-11 09:57:00,2021-03-10 13:17:00,2021-03-10 13:22:00,2021-03-11 09:52:00,2021-03-11 09:57:00,1238.76,1243.3,1238.76,1243.3,False,False,24,24,-0.0036582556933922733,-0.36515724282146511,-0.34683746870399768,5.3637923498168867,54.720141720344898,91.30269865426763,-34.081236921326905,-0.0036582556933922733,-0.36515724282146511,54.720141720344898,33.298609848425976,有顺向开盘浮盈但全部回吐并倒亏
10,130,1,2021-03-11 10:02:00,2021-03-11 13:07:00,2021-03-11 09:52:00,2021-03-11 09:57:00,2021-03-11 11:27:00,2021-03-11 13:07:00,1243.3,1266.9400000000001,1243.3,1266.9400000000001,False,False,19,19,0.018835409281960258,1.9013914582160456,1.7994047686401893,3.5643875811766979,188.35409281960258,0,0,0.018835409281960258,1.9013914582160456,188.35409281960258,25.251305953045065,顺向开盘浮盈超过后续回吐
