entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end
2,328,1,2021-01-04 09:32:00+08:00,2021-01-05 10:58:00+08:00,6688.42,6756.69,326,102.07193926218716,98.03191849063752,False
492,1020,-1,2021-01-06 09:42:00+08:00,2021-01-08 10:30:00+08:00,6771.74,6611.39,528,236.79290699288424,232.79370683291666,False
1957,1986,-1,2021-01-14 10:07:00+08:00,2021-01-14 10:36:00+08:00,6415.54,6500.16,29,-131.8984839935533,-135.89768415352088,False
3618,3642,-1,2021-01-25 09:48:00+08:00,2021-01-25 10:12:00+08:00,6659.06,6708.92,24,-74.87543286890386,-78.87463302887143,False
3805,4810,-1,2021-01-25 14:25:00+08:00,2021-02-01 09:40:00+08:00,6634.79,6340.41,1005,443.69151095965395,439.6923107996864,False
5522,5693,-1,2021-02-04 09:32:00+08:00,2021-02-04 13:53:00+08:00,6269.17,6141.06,171,204.34922007219413,200.35001991222546,False
6259,7385,1,2021-02-09 09:49:00+08:00,2021-02-22 14:05:00+08:00,6157.76,6591.74,1126,704.7692667463479,700.4882152499481,False
7396,8405,-1,2021-02-22 14:16:00+08:00,2021-03-01 09:35:00+08:00,6566.4,6383.49,1009,278.55445906432743,274.5552589043587,False
9364,9453,-1,2021-03-05 09:34:00+08:00,2021-03-05 11:03:00+08:00,6379.17,6468.8,89,-140.50417217286838,-144.50337233283594,False
9843,9948,-1,2021-03-09 09:33:00+08:00,2021-03-09 11:18:00+08:00,6271.53,6263.67,105,12.53282691783264,8.533626757865065,False
11762,12015,-1,2021-03-19 09:32:00+08:00,2021-03-22 09:45:00+08:00,6226.67,6304.87,253,-125.58879786466859,-129.58799802463616,False
12729,12771,-1,2021-03-25 09:39:00+08:00,2021-03-25 10:21:00+08:00,6142.03,6218.48,42,-124.47024843577736,-128.46944859574495,False
14411,14647,1,2021-04-06 09:41:00+08:00,2021-04-07 09:37:00+08:00,6394.71,6395.38,236,1.047741023438853,-2.951878149135556,False
14654,15854,-1,2021-04-07 09:44:00+08:00,2021-04-14 09:44:00+08:00,6385.25,6255.85,1200,202.654555420696,198.6553552607284,False
16089,16571,-1,2021-04-15 09:39:00+08:00,2021-04-19 09:41:00+08:00,6272.13,6397.3,482,-199.56537890636784,-203.5645790663354,False
16582,16993,1,2021-04-19 09:52:00+08:00,2021-04-20 14:13:00+08:00,6410.28,6470.08,411,93.28765670142403,89.25114894029474,False
17046,17288,-1,2021-04-21 09:36:00+08:00,2021-04-22 09:38:00+08:00,6424.37,6478.51,242,-84.27285477019541,-88.272054930163,False
17778,17920,1,2021-04-26 09:48:00+08:00,2021-04-26 13:40:00+08:00,6490.87,6471.39,142,-30.01138522262692,-33.998583228936894,False
18015,18159,-1,2021-04-27 09:45:00+08:00,2021-04-27 13:39:00+08:00,6391.13,6380.11,144,17.24264723139801,13.243447071429326,False
19044,19088,-1,2021-05-06 10:54:00+08:00,2021-05-06 13:08:00+08:00,6362.08,6394.93,44,-51.63405678646038,-55.633256946427956,False
19219,19814,-1,2021-05-07 09:49:00+08:00,2021-05-11 13:14:00+08:00,6362.4,6327.53,595,54.80636237897629,50.80716221900872,False
22604,22968,1,2021-05-27 10:14:00+08:00,2021-05-28 13:48:00+08:00,6685.06,6697.27,364,18.26460794667417,14.258103404403144,False
22996,23042,-1,2021-05-28 14:16:00+08:00,2021-05-31 09:32:00+08:00,6677.3,6720.08,46,-64.0678118401139,-68.06701200008148,False
23048,23333,1,2021-05-31 09:38:00+08:00,2021-06-01 10:23:00+08:00,6724.17,6790.09,285,98.03440424617449,93.99599816569237,False
24005,24244,-1,2021-06-04 09:35:00+08:00,2021-06-07 09:34:00+08:00,6722.68,6817.18,239,-140.56893976806873,-144.5681399280363,False
25468,25927,-1,2021-06-15 09:58:00+08:00,2021-06-17 09:37:00+08:00,6809.32,6711.35,459,143.87633420077094,139.87713404080228,False
26423,27127,1,2021-06-21 09:53:00+08:00,2021-06-24 09:37:00+08:00,6913.57,7008.69,704,137.58448963415492,133.5302666828908,False
27618,27880,1,2021-06-28 09:48:00+08:00,2021-06-29 10:10:00+08:00,7048.97,7037.18,262,-16.725847889833556,-20.7183590484461,False
27886,28094,-1,2021-06-29 10:16:00+08:00,2021-06-30 09:44:00+08:00,7017.23,7038.81,208,-30.752875422355164,-34.75207558232274,False
28334,28804,-1,2021-07-01 09:44:00+08:00,2021-07-05 09:34:00+08:00,7031.12,6967.56,470,90.39811580516255,86.39891564519387,False
28814,29121,1,2021-07-05 09:44:00+08:00,2021-07-06 10:51:00+08:00,6976.72,6978.19,307,2.107007304290587,-1.893035490072581,False
29127,29257,-1,2021-07-06 10:57:00+08:00,2021-07-06 14:37:00+08:00,6952.2,6945.01,130,10.342049998560698,6.342849838592013,False
30012,30482,1,2021-07-12 09:42:00+08:00,2021-07-14 09:32:00+08:00,7221.41,7269.51,470,66.60749078088779,62.58165295214057,False
32501,32571,-1,2021-07-26 11:11:00+08:00,2021-07-26 13:51:00+08:00,7267.27,7252.49,70,20.337760947372054,16.338560787403367,False
32646,32698,1,2021-07-27 09:36:00+08:00,2021-07-27 10:28:00+08:00,7351.48,7230.34,52,-164.78314570671392,-168.71644578841494,False
32850,32937,-1,2021-07-27 14:30:00+08:00,2021-07-28 10:27:00+08:00,7179.36,7004.2,87,243.97717902431393,239.97797886434523,False
33123,34326,1,2021-07-29 09:33:00+08:00,2021-08-05 09:36:00+08:00,7070.34,7422.59,1203,498.20800696996236,494.0095634558772,False
36024,36517,-1,2021-08-16 09:54:00+08:00,2021-08-18 10:07:00+08:00,7556.49,7417.07,493,184.5036518277665,180.50445166779784,False
36964,36993,-1,2021-08-20 09:34:00+08:00,2021-08-20 10:03:00+08:00,7378.51,7495.28,29,-158.25688384240033,-162.2560840023679,False
38928,38985,-1,2021-09-01 10:18:00+08:00,2021-09-01 11:15:00+08:00,7620.85,7638.79,57,-23.54068115761221,-27.539881317579784,False
39424,39668,-1,2021-09-03 10:34:00+08:00,2021-09-06 10:38:00+08:00,7641.27,7636.63,244,6.072289030488731,2.0730888705200456,False
41237,41934,-1,2021-09-14 14:17:00+08:00,2021-09-17 13:54:00+08:00,7895.57,7698.99,697,248.9750581655281,244.97585800556055,False
42732,43445,-1,2021-09-27 09:42:00+08:00,2021-09-30 09:35:00+08:00,7630.74,7294.81,713,440.2325331488155,436.2333329888468,False
43683,43937,1,2021-10-08 09:33:00+08:00,2021-10-11 09:47:00+08:00,7489.26,7354.64,254,-179.75073638784033,-183.67805063043696,False
47080,48244,-1,2021-10-28 10:10:00+08:00,2021-11-04 09:34:00+08:00,7326.94,7417.26,1164,-123.27110635545147,-127.27030651541904,False
51123,52321,1,2021-11-22 09:33:00+08:00,2021-11-29 09:31:00+08:00,7847.19,7853.66,1198,8.244989607746334,4.242492111401486,False
53771,54002,-1,2021-12-07 09:41:00+08:00,2021-12-08 09:32:00+08:00,7871.63,7808.98,231,79.589614857406,75.59041469743732,False
55948,56058,-1,2021-12-20 09:58:00+08:00,2021-12-20 13:18:00+08:00,7846.31,7826.92,110,24.712253275743777,20.713053115775093,False
56914,57144,-1,2021-12-24 10:04:00+08:00,2021-12-27 09:54:00+08:00,7869.28,7797.54,230,91.16463005510056,87.16542989513299,False
57263,57366,-1,2021-12-27 13:23:00+08:00,2021-12-28 09:36:00+08:00,7753.22,7799.06,103,-59.123822102300494,-63.123022262268066,False
58090,58319,1,2021-12-31 09:40:00+08:00,2021-12-31 14:59:00+08:00,7984.24,8011.0,229,33.51602657234886,29.503422682497504,True
0,27,1,2022-01-04 09:30:00+08:00,2022-01-04 09:57:00+08:00,8045.1,7986.15,27,-73.27441548271696,-77.24431173727342,False
244,578,-1,2022-01-05 09:34:00+08:00,2022-01-06 11:08:00+08:00,7915.48,7803.88,334,140.98955464482142,136.99035448485387,False
969,997,-1,2022-01-10 09:39:00+08:00,2022-01-10 10:07:00+08:00,7634.88,7692.1,28,-74.94551322352106,-78.94471338348863,False
1003,1240,1,2022-01-10 10:13:00+08:00,2022-01-11 10:10:00+08:00,7725.26,7701.19,237,-31.15752738419242,-35.14426702531104,False
1445,1693,1,2022-01-12 09:35:00+08:00,2022-01-13 09:43:00+08:00,7719.92,7721.32,248,1.8134902952349208,-2.1864351158007445,False
1922,1953,-1,2022-01-14 09:32:00+08:00,2022-01-14 10:03:00+08:00,7597.49,7693.8,31,-126.76555020144863,-130.76475036141622,False
2944,3845,-1,2022-01-20 10:34:00+08:00,2022-01-26 09:35:00+08:00,7562.77,7224.81,901,446.8733017135251,442.87410155355644,False
4359,4402,-1,2022-01-28 10:09:00+08:00,2022-01-28 10:52:00+08:00,6893.17,6981.27,43,-127.80767049122676,-131.80687065119434,False
6245,6610,1,2022-02-16 09:35:00+08:00,2022-02-17 13:10:00+08:00,7157.06,7216.37,365,82.86922283730958,78.83688161641977,False
7219,7442,-1,2022-02-22 09:49:00+08:00,2022-02-23 09:32:00+08:00,7247.82,7322.44,223,-102.95509546318638,-106.95429562315395,False
7448,7779,1,2022-02-23 09:38:00+08:00,2022-02-24 11:09:00+08:00,7329.73,7419.91,331,123.03318130408636,118.98477771228322,False
7795,7906,-1,2022-02-24 11:25:00+08:00,2022-02-24 14:46:00+08:00,7376.09,7286.7,111,121.18886835708386,117.18966819711518,False
7922,8645,1,2022-02-25 09:32:00+08:00,2022-03-02 09:35:00+08:00,7383.25,7382.89,723,-0.4875901533873961,-4.4865953162931405,False
9367,9739,-1,2022-03-07 09:37:00+08:00,2022-03-08 13:19:00+08:00,7156.26,6947.02,372,292.3873643495345,288.3881641895658,False
10007,10055,-1,2022-03-09 13:47:00+08:00,2022-03-09 14:35:00+08:00,6556.19,6747.7,48,-292.1056284213863,-296.1048285813539,False
10082,10323,1,2022-03-10 09:32:00+08:00,2022-03-11 09:33:00+08:00,6943.66,6820.96,241,-176.70796093126606,-180.6364920406711,False
10802,11168,-1,2022-03-15 09:32:00+08:00,2022-03-16 13:08:00+08:00,6705.95,6508.04,366,295.1259702204756,291.126770060508,False
12486,13456,-1,2022-03-24 09:36:00+08:00,2022-03-30 09:46:00+08:00,6889.56,6789.07,970,145.8583712167405,141.85917105677294,False
13924,14712,-1,2022-04-01 09:34:00+08:00,2022-04-08 10:42:00+08:00,6698.42,6582.41,788,173.1900955747778,169.19089541481026,False
14718,14882,1,2022-04-08 10:48:00+08:00,2022-04-11 09:32:00+08:00,6608.32,6499.56,164,-164.5804077284385,-168.5137888891153,False
14888,15255,-1,2022-04-11 09:38:00+08:00,2022-04-12 13:15:00+08:00,6485.59,6343.71,367,218.7619013844544,214.76270122448682,False
15846,16001,-1,2022-04-15 09:36:00+08:00,2022-04-15 13:41:00+08:00,6269.93,6320.65,155,-80.89404506908204,-84.89324522904963,False
16082,16150,-1,2022-04-18 09:32:00+08:00,2022-04-18 10:40:00+08:00,6191.57,6317.87,68,-203.98703398330386,-207.98623414327145,False
16845,16939,-1,2022-04-21 10:15:00+08:00,2022-04-21 13:19:00+08:00,6139.36,6128.38,94,17.884600349221678,13.885400189252994,False
17044,17850,-1,2022-04-22 09:34:00+08:00,2022-04-27 11:00:00+08:00,5897.9,5306.79,806,1002.2380847420264,998.2388845820589,False
17898,18721,1,2022-04-27 13:18:00+08:00,2022-05-06 09:31:00+08:00,5441.87,5682.11,823,441.4658931580506,437.29014195102775,False
18727,19257,-1,2022-05-06 09:37:00+08:00,2022-05-10 10:27:00+08:00,5696.74,5908.88,530,-372.38841863943327,-376.38761879940085,False
20165,20881,1,2022-05-16 09:35:00+08:00,2022-05-19 09:31:00+08:00,6143.57,6044.28,716,-161.6161287329676,-165.55069536814736,False
21723,22138,-1,2022-05-24 13:03:00+08:00,2022-05-26 10:28:00+08:00,6204.89,6201.05,415,6.188667325287556,2.18946716531887,False
23540,23790,1,2022-06-06 09:50:00+08:00,2022-06-07 10:00:00+08:00,6530.8,6575.67,250,68.70521222514859,64.67853547560853,False
23805,24017,-1,2022-06-07 10:15:00+08:00,2022-06-08 09:47:00+08:00,6539.8,6632.16,212,-141.22756047585395,-145.2267606358215,False
24096,24516,-1,2022-06-08 11:06:00+08:00,2022-06-10 10:06:00+08:00,6550.06,6552.93,420,-4.381639252160063,-8.380839412127639,False
29524,29739,-1,2022-07-11 09:34:00+08:00,2022-07-11 14:39:00+08:00,6920.08,6905.75,215,20.707853088403063,16.708652928434375,False
33362,34093,-1,2022-08-02 09:32:00+08:00,2022-08-05 09:43:00+08:00,7065.49,7012.92,731,74.40389838496597,70.40469822499729,False
36723,37698,-1,2022-08-22 09:33:00+08:00,2022-08-26 09:48:00+08:00,7211.98,7076.61,975,187.70157432494216,183.7023741649735,False
37922,38548,-1,2022-08-29 09:32:00+08:00,2022-08-31 13:28:00+08:00,6897.06,6844.83,626,75.72791885238072,71.72871869241204,False
40562,41523,-1,2022-09-14 09:32:00+08:00,2022-09-20 09:33:00+08:00,6822.45,6452.6,961,542.1073074921757,538.1081073322069,False
42296,42376,-1,2022-09-23 10:26:00+08:00,2022-09-23 13:16:00+08:00,6368.1,6410.8,80,-67.05296713305442,-71.052167293022,False
42382,42482,1,2022-09-23 13:22:00+08:00,2022-09-26 09:32:00+08:00,6438.76,6298.49,100,-217.85250576197956,-221.76458234435813,False
43685,43993,-1,2022-10-10 09:35:00+08:00,2022-10-11 10:43:00+08:00,6062.45,6013.95,308,80.00065979925641,76.00145963928773,False
44327,45521,1,2022-10-12 13:47:00+08:00,2022-10-19 13:41:00+08:00,6038.01,6462.18,1194,702.4996646246029,698.2195207875197,False
45611,45666,-1,2022-10-20 09:41:00+08:00,2022-10-20 10:36:00+08:00,6400.65,6411.66,55,-17.201377985047728,-21.200578145015303,False
45734,46272,1,2022-10-20 13:14:00+08:00,2022-10-24 14:12:00+08:00,6520.29,6353.63,538,-255.6021281262022,-259.499107879001,False
46325,46433,-1,2022-10-25 09:35:00+08:00,2022-10-25 11:23:00+08:00,6298.85,6366.04,108,-106.67026520714052,-110.66946536710809,False
46439,47042,1,2022-10-25 11:29:00+08:00,2022-10-28 09:32:00+08:00,6396.58,6407.71,603,17.399923083898372,13.393764346412151,False
49441,50403,1,2022-11-11 09:31:00+08:00,2022-11-17 09:33:00+08:00,6767.41,6658.66,962,-160.6966328329451,-164.6315671929399,False
50882,51484,-1,2022-11-21 09:32:00+08:00,2022-11-23 13:04:00+08:00,6618.88,6550.51,602,103.2954215818993,99.29622142193173,False
52082,52325,-1,2022-11-28 09:32:00+08:00,2022-11-29 09:35:00+08:00,6442.31,6528.43,243,-133.67875808522055,-137.67795824518814,False
52801,54005,1,2022-12-01 09:31:00+08:00,2022-12-08 09:35:00+08:00,6658.88,6663.69,1204,7.22343697438621,3.2213480173881592,False
55447,56884,-1,2022-12-16 09:37:00+08:00,2022-12-26 09:34:00+08:00,6555.37,6181.31,1437,570.6161513385199,566.6169511785513,False
57365,57669,-1,2022-12-28 09:35:00+08:00,2022-12-29 10:39:00+08:00,6283.85,6294.64,304,-17.171001853959478,-21.170202013927053,False
63,380,1,2023-01-03 10:33:00+08:00,2023-01-04 13:20:00+08:00,6348.24,6403.71,317,87.37854901516017,83.34440442447244,False
966,1203,1,2023-01-09 09:36:00+08:00,2023-01-10 09:33:00+08:00,6537.73,6506.74,237,-47.401774010245035,-51.382017251992984,False
2164,2884,1,2023-01-16 09:34:00+08:00,2023-01-19 09:34:00+08:00,6546.62,6592.51,720,70.09724101902925,66.07000756931214,False
3122,4149,1,2023-01-20 09:32:00+08:00,2023-02-02 10:39:00+08:00,6716.19,6926.36,1027,312.9303965492336,308.80604926007084,False
4344,4476,-1,2023-02-03 09:54:00+08:00,2023-02-03 13:36:00+08:00,6881.58,6876.56,132,7.294836360254298,3.2956362002867223,False
5639,5767,-1,2023-02-10 11:29:00+08:00,2023-02-13 09:37:00+08:00,6942.32,7011.53,128,-99.69289805137116,-103.69209821133873,False
6648,7215,-1,2023-02-16 13:48:00+08:00,2023-02-21 09:45:00+08:00,7054.04,6999.53,567,77.27486660126681,73.27566644129924,False
7304,8403,-1,2023-02-21 11:14:00+08:00,2023-02-28 09:33:00+08:00,6944.01,6927.74,1099,23.430265797429463,19.431065637460776,False
9195,9496,-1,2023-03-03 10:45:00+08:00,2023-03-06 13:16:00+08:00,6929.49,7002.23,301,-104.97165015029842,-108.97085031026599,False
10325,11044,-1,2023-03-10 09:35:00+08:00,2023-03-15 09:34:00+08:00,6849.22,6817.33,719,46.560046253442124,42.56084609347344,False
11050,11285,1,2023-03-15 09:40:00+08:00,2023-03-16 09:35:00+08:00,6835.57,6761.69,235,-108.08169618627295,-112.03767231257267,False
13233,13949,-1,2023-03-28 10:03:00+08:00,2023-03-31 09:59:00+08:00,6838.24,6844.85,716,-9.666229907110413,-13.665430067077988,False
16086,16133,1,2023-04-14 09:36:00+08:00,2023-04-14 10:23:00+08:00,7007.67,6942.58,47,-92.88394002571532,-96.84599403890215,False
17342,17948,-1,2023-04-21 10:32:00+08:00,2023-04-25 14:08:00+08:00,6887.56,6601.26,606,415.67695961995275,411.67775945998517,False
