year,symbol,field,shape,windows,mean_er,median_abs_net_bp
2024,588000.SSE,last,mixed,1561,0.01670910680107308,26.845653706689674
2024,588000.SSE,mid,directional_resolved_candidate,2,0.690102963612798,84.91240615167789
2024,588000.SSE,mid,mixed,1544,0.11985862908850567,26.684472138335803
2024,588000.SSE,mid,single_increment_dominated,6,0.6666666666666666,12.89266445832285
2024,588080.SSE,last,mixed,994,0.02125872759623422,30.596658239555076
2024,588080.SSE,mid,directional_resolved_candidate,2,0.6674192346992553,117.24159006261436
2024,588080.SSE,mid,mixed,987,0.1087377534858191,33.77240629785116
2024,588080.SSE,mid,single_increment_dominated,1,1.0,25.624613637001136
2025,588000.SSE,last,mixed,1599,0.019040369760505417,21.543993970262186
2025,588000.SSE,last,single_increment_dominated,2,0.5,35.84244739306297
2025,588000.SSE,mid,directional_resolved_candidate,3,0.682403440205052,38.22269345354165
2025,588000.SSE,mid,mixed,1563,0.1036677504949952,25.88439754102473
2025,588000.SSE,mid,single_increment_dominated,25,0.68,9.514748576992597
2025,588080.SSE,last,mixed,1297,0.02282921380095143,28.422567689298933
2025,588080.SSE,last,single_increment_dominated,1,1.0,65.14681021193735
2025,588080.SSE,mid,mixed,1288,0.09475821114259325,28.59017032175594
2025,588080.SSE,mid,single_increment_dominated,6,0.8333333333333334,10.015146425377006
