year,symbol,field,horizon,delta,count,median,mean
2024,588000.SSE,last,15,3,9674,1.0,1.0
2024,588000.SSE,last,15,15,9674,0.2545263654572606,0.26534867152894953
2024,588000.SSE,last,15,30,9674,0.151460995935547,0.16534165699884693
2024,588000.SSE,last,15,60,9674,0.09731122172822598,0.11213951729401848
2024,588000.SSE,last,15,300,9674,0.03371057174656869,0.04412117029463055
2024,588000.SSE,last,30,3,8536,1.0,1.0
2024,588000.SSE,last,30,15,8536,0.25134506482390295,0.26303116551134975
2024,588000.SSE,last,30,30,8536,0.14923912479329188,0.16310609995212347
2024,588000.SSE,last,30,60,8536,0.09675315075729563,0.1103079064635872
2024,588000.SSE,last,30,300,8536,0.03348647272854646,0.04219659145079043
2024,588000.SSE,last,60,3,5722,1.0,1.0
2024,588000.SSE,last,60,15,5722,0.25067263474505175,0.26170029467441414
2024,588000.SSE,last,60,30,5722,0.14815096751307077,0.16209044683960624
2024,588000.SSE,last,60,60,5722,0.0957866662392587,0.1096888088576542
2024,588000.SSE,last,60,300,5722,0.03355856896787499,0.04160145424616417
2024,588000.SSE,mid,15,3,9442,1.0,1.0
2024,588000.SSE,mid,15,15,9442,0.8333060393489753,0.8234215042051004
2024,588000.SSE,mid,15,30,9442,0.6841053913477575,0.7055009617161065
2024,588000.SSE,mid,15,60,9442,0.5484111921680819,0.5869231134235936
2024,588000.SSE,mid,15,300,9442,0.250158109175314,0.30820312462966276
2024,588000.SSE,mid,30,3,8487,1.0,1.0
2024,588000.SSE,mid,30,15,8487,0.8182705991454604,0.8160485976765676
2024,588000.SSE,mid,30,30,8487,0.6799180852245416,0.6921519257180204
2024,588000.SSE,mid,30,60,8487,0.5406016592739951,0.5669624475949033
2024,588000.SSE,mid,30,300,8487,0.25,0.2705390504452483
2024,588000.SSE,mid,60,3,5695,1.0,1.0
2024,588000.SSE,mid,60,15,5695,0.811655633569246,0.8078707891639031
2024,588000.SSE,mid,60,30,5695,0.6731870950956679,0.6804335064479775
2024,588000.SSE,mid,60,60,5695,0.5368447361470922,0.5538934138536299
2024,588000.SSE,mid,60,300,5695,0.24909981322778516,0.2586066284150916
2024,588080.SSE,last,15,3,7111,1.0,1.0
2024,588080.SSE,last,15,15,7111,0.3110735460462371,0.32647548128904547
2024,588080.SSE,last,15,30,7111,0.1947956680259887,0.20792823334327495
2024,588080.SSE,last,15,60,7111,0.13042237721712924,0.14215064733650182
2024,588080.SSE,last,15,300,7111,0.0498885729737925,0.05833852914409498
2024,588080.SSE,last,30,3,5554,1.0,1.0
2024,588080.SSE,last,30,15,5554,0.3095575678153347,0.32264087284764753
2024,588080.SSE,last,30,30,5554,0.19378959666642132,0.20563389810175617
2024,588080.SSE,last,30,60,5554,0.1309220174538221,0.14119391052023292
2024,588080.SSE,last,30,300,5554,0.04995962570889798,0.057307378565543056
2024,588080.SSE,last,60,3,3148,1.0,1.0
2024,588080.SSE,last,60,15,3148,0.30830204795837113,0.31896499950510687
2024,588080.SSE,last,60,30,3148,0.19485226549303358,0.20538901185690453
2024,588080.SSE,last,60,60,3148,0.13263719742762464,0.1428692554964165
2024,588080.SSE,last,60,300,3148,0.050980443969274356,0.05808311174184717
2024,588080.SSE,mid,15,3,7017,1.0,1.0
2024,588080.SSE,mid,15,15,7017,0.7004273510013873,0.7162994649457951
2024,588080.SSE,mid,15,30,7017,0.5787505575588109,0.6113912645155807
2024,588080.SSE,mid,15,60,7017,0.47605080864138616,0.5200017516169442
2024,588080.SSE,mid,15,300,7017,0.2360757096780952,0.2868587164089075
2024,588080.SSE,mid,30,3,5534,1.0,1.0
2024,588080.SSE,mid,30,15,5534,0.6874191698643124,0.6991056882027811
2024,588080.SSE,mid,30,30,5534,0.5648475942287021,0.5885904356770161
2024,588080.SSE,mid,30,60,5534,0.4694002096129376,0.49528282427794923
2024,588080.SSE,mid,30,300,5534,0.22578091526986094,0.25229773807968364
2024,588080.SSE,mid,60,3,3129,1.0,1.0
2024,588080.SSE,mid,60,15,3129,0.6817501945025783,0.6883960939825623
2024,588080.SSE,mid,60,30,3129,0.557226081885427,0.5753327226240408
2024,588080.SSE,mid,60,60,3129,0.46686783859901876,0.48204866787283623
2024,588080.SSE,mid,60,300,3129,0.2215926144778862,0.23768419784952163
2025,588000.SSE,last,15,3,9975,1.0,1.0
2025,588000.SSE,last,15,15,9975,0.26495726495726496,0.28040681186718297
2025,588000.SSE,last,15,30,9975,0.16363438354979126,0.18293554944846807
2025,588000.SSE,last,15,60,9975,0.1091814126362469,0.12658574841051293
2025,588000.SSE,last,15,300,9975,0.039989623293124714,0.05300411377715048
2025,588000.SSE,last,30,3,8797,1.0,1.0
2025,588000.SSE,last,30,15,8797,0.2631578947368421,0.2775476023989016
2025,588000.SSE,last,30,30,8797,0.1622169039824187,0.18006404110995644
2025,588000.SSE,last,30,60,8797,0.10901305736996234,0.12426056156946598
2025,588000.SSE,last,30,300,8797,0.04035052367758408,0.05042155953574886
2025,588000.SSE,last,60,3,5954,1.0,1.0
2025,588000.SSE,last,60,15,5954,0.2618424886802809,0.27601858089915837
2025,588000.SSE,last,60,30,5954,0.16193132885353115,0.17855049468068698
2025,588000.SSE,last,60,60,5954,0.1100991916030944,0.1230479886075086
2025,588000.SSE,last,60,300,5954,0.04085325094414134,0.04949338537197901
2025,588000.SSE,mid,15,3,9751,1.0,1.0
2025,588000.SSE,mid,15,15,9751,0.7196916442679144,0.7441700582121219
