day,symbol,source_rows
2024-01-02,588000.SSE,4584
2024-01-02,588080.SSE,4575
2024-01-03,588000.SSE,4938
2024-01-03,588080.SSE,4848
2024-01-04,588000.SSE,4938
2024-01-04,588080.SSE,4866
2024-01-05,588000.SSE,4933
2024-01-05,588080.SSE,4861
2024-01-08,588000.SSE,4984
2024-01-08,588080.SSE,4938
2024-01-09,588000.SSE,4984
2024-01-09,588080.SSE,4910
2024-01-10,588000.SSE,4950
2024-01-10,588080.SSE,4870
2024-01-11,588000.SSE,4938
2024-01-11,588080.SSE,4859
2024-01-12,588000.SSE,4947
2024-01-12,588080.SSE,4860
2024-01-15,588000.SSE,4954
2024-01-15,588080.SSE,4904
2024-01-16,588000.SSE,4927
2024-01-16,588080.SSE,4890
2024-01-17,588000.SSE,4957
2024-01-17,588080.SSE,4863
2024-01-18,588000.SSE,4983
2024-01-18,588080.SSE,4932
2024-01-19,588000.SSE,4981
2024-01-19,588080.SSE,4957
2024-01-22,588000.SSE,4927
2024-01-22,588080.SSE,4854
2024-01-23,588000.SSE,4964
2024-01-23,588080.SSE,4883
2024-01-24,588000.SSE,4969
2024-01-24,588080.SSE,4885
2024-01-25,588000.SSE,4983
2024-01-25,588080.SSE,4910
2024-01-26,588000.SSE,4989
2024-01-26,588080.SSE,4904
2024-01-29,588000.SSE,4994
2024-01-29,588080.SSE,4940
2024-01-30,588000.SSE,4965
2024-01-30,588080.SSE,4905
2024-01-31,588000.SSE,4964
2024-01-31,588080.SSE,4906
2024-02-01,588000.SSE,4962
2024-02-01,588080.SSE,4886
2024-02-02,588000.SSE,4950
2024-02-02,588080.SSE,4882
2024-02-05,588000.SSE,4988
2024-02-05,588080.SSE,4938
2024-02-06,588000.SSE,4203
2024-02-06,588080.SSE,4203
2024-02-07,588000.SSE,4973
2024-02-07,588080.SSE,4952
2024-02-08,588000.SSE,4203
2024-02-08,588080.SSE,4203
2024-02-19,588000.SSE,4860
2024-02-19,588080.SSE,4850
2024-02-20,588000.SSE,4960
2024-02-20,588080.SSE,4879
2024-02-21,588000.SSE,4953
2024-02-21,588080.SSE,4874
2024-02-22,588000.SSE,4954
2024-02-22,588080.SSE,4893
2024-02-23,588000.SSE,4946
2024-02-23,588080.SSE,4884
2024-02-26,588000.SSE,4949
2024-02-26,588080.SSE,4878
2024-02-27,588000.SSE,4935
2024-02-27,588080.SSE,4861
2024-02-28,588000.SSE,4981
2024-02-28,588080.SSE,4927
2024-02-29,588000.SSE,4995
2024-02-29,588080.SSE,4900
2024-03-01,588000.SSE,4984
2024-03-01,588080.SSE,4919
2024-03-04,588000.SSE,4964
2024-03-04,588080.SSE,4916
2024-03-05,588000.SSE,4942
2024-03-05,588080.SSE,4895
2024-03-06,588000.SSE,4934
2024-03-06,588080.SSE,4860
2024-03-07,588000.SSE,4930
2024-03-07,588080.SSE,4857
2024-03-08,588000.SSE,4949
2024-03-08,588080.SSE,4865
2024-03-11,588000.SSE,4958
2024-03-11,588080.SSE,4875
2024-03-12,588000.SSE,4955
2024-03-12,588080.SSE,4863
2024-03-13,588000.SSE,4962
2024-03-13,588080.SSE,4850
2024-03-14,588000.SSE,4961
2024-03-14,588080.SSE,4850
2024-03-15,588000.SSE,4914
2024-03-15,588080.SSE,4843
2024-03-18,588000.SSE,4950
2024-03-18,588080.SSE,4889
2024-03-19,588000.SSE,4939
2024-03-19,588080.SSE,4867
2024-03-20,588000.SSE,4915
2024-03-20,588080.SSE,4858
2024-03-21,588000.SSE,4935
2024-03-21,588080.SSE,4864
2024-03-22,588000.SSE,4984
2024-03-22,588080.SSE,4880
2024-03-25,588000.SSE,4983
2024-03-25,588080.SSE,4881
2024-03-26,588000.SSE,4956
2024-03-26,588080.SSE,4860
2024-03-27,588000.SSE,4920
2024-03-27,588080.SSE,4870
2024-03-28,588000.SSE,4969
2024-03-28,588080.SSE,4884
2024-03-29,588000.SSE,4920
2024-03-29,588080.SSE,4827
2024-04-01,588000.SSE,4964
2024-04-01,588080.SSE,4864
2024-04-02,588000.SSE,4926
2024-04-02,588080.SSE,4838
2024-04-03,588000.SSE,4894
2024-04-03,588080.SSE,4818
2024-04-08,588000.SSE,4945
2024-04-08,588080.SSE,4841
2024-04-09,588000.SSE,4954
2024-04-09,588080.SSE,4835
2024-04-10,588000.SSE,4940
2024-04-10,588080.SSE,4894
2024-04-11,588000.SSE,4962
2024-04-11,588080.SSE,4851
2024-04-12,588000.SSE,4912
2024-04-12,588080.SSE,4802
2024-04-15,588000.SSE,4936
2024-04-15,588080.SSE,4831
2024-04-16,588000.SSE,4916
2024-04-16,588080.SSE,4828
2024-04-17,588000.SSE,4958
2024-04-17,588080.SSE,4867
2024-04-18,588000.SSE,4921
2024-04-18,588080.SSE,4854
2024-04-19,588000.SSE,4958
2024-04-19,588080.SSE,4847
2024-04-22,588000.SSE,4977
2024-04-22,588080.SSE,4896
2024-04-23,588000.SSE,4910
2024-04-23,588080.SSE,4759
2024-04-24,588000.SSE,4910
2024-04-24,588080.SSE,4793
2024-04-25,588000.SSE,4920
2024-04-25,588080.SSE,4790
2024-04-26,588000.SSE,4893
2024-04-26,588080.SSE,4829
2024-04-29,588000.SSE,4983
2024-04-29,588080.SSE,4915
2024-04-30,588000.SSE,4940
2024-04-30,588080.SSE,4841
2024-05-06,588000.SSE,5002
2024-05-06,588080.SSE,4904
2024-05-07,588000.SSE,4935
2024-05-07,588080.SSE,4831
2024-05-08,588000.SSE,4922
2024-05-08,588080.SSE,4782
2024-05-09,588000.SSE,4936
2024-05-09,588080.SSE,4840
2024-05-10,588000.SSE,4954
2024-05-10,588080.SSE,4843
2024-05-13,588000.SSE,4976
2024-05-13,588080.SSE,4789
2024-05-14,588000.SSE,4946
2024-05-14,588080.SSE,4798
2024-05-15,588000.SSE,4930
2024-05-15,588080.SSE,4768
2024-05-16,588000.SSE,4970
2024-05-16,588080.SSE,4852
2024-05-17,588000.SSE,4938
2024-05-17,588080.SSE,4795
2024-05-20,588000.SSE,4946
2024-05-20,588080.SSE,4846
2024-05-21,588000.SSE,4932
2024-05-21,588080.SSE,4795
2024-05-22,588000.SSE,4897
2024-05-22,588080.SSE,4828
2024-05-23,588000.SSE,4945
2024-05-23,588080.SSE,4843
2024-05-24,588000.SSE,4921
2024-05-24,588080.SSE,4839
2024-05-27,588000.SSE,4957
2024-05-27,588080.SSE,4843
2024-05-28,588000.SSE,4960
2024-05-28,588080.SSE,4818
2024-05-29,588000.SSE,4923
2024-05-29,588080.SSE,4783
2024-05-30,588000.SSE,4908
2024-05-30,588080.SSE,4808
2024-05-31,588000.SSE,4928
2024-05-31,588080.SSE,4723
2024-06-03,588000.SSE,4910
2024-06-03,588080.SSE,4810
2024-06-04,588000.SSE,4922
2024-06-04,588080.SSE,4727
2024-06-05,588000.SSE,4908
2024-06-05,588080.SSE,4788
2024-06-06,588000.SSE,4940
2024-06-06,588080.SSE,4849
2024-06-07,588000.SSE,4944
2024-06-07,588080.SSE,4836
2024-06-11,588000.SSE,4932
2024-06-11,588080.SSE,4810
2024-06-12,588000.SSE,4995
2024-06-12,588080.SSE,4891
2024-06-13,588000.SSE,4916
2024-06-13,588080.SSE,4862
2024-06-14,588000.SSE,4939
2024-06-14,588080.SSE,4866
2024-06-17,588000.SSE,4924
2024-06-17,588080.SSE,4834
2024-06-18,588000.SSE,4946
2024-06-18,588080.SSE,4844
2024-06-19,588000.SSE,4917
2024-06-19,588080.SSE,4788
2024-06-20,588000.SSE,4989
2024-06-20,588080.SSE,4921
2024-06-21,588000.SSE,4969
2024-06-21,588080.SSE,4900
2024-06-24,588000.SSE,4965
2024-06-24,588080.SSE,4869
2024-06-25,588000.SSE,4971
2024-06-25,588080.SSE,4879
2024-06-26,588000.SSE,4949
2024-06-26,588080.SSE,4855
2024-06-27,588000.SSE,4967
2024-06-27,588080.SSE,4849
2024-06-28,588000.SSE,4928
2024-06-28,588080.SSE,4828
2024-07-01,588000.SSE,4945
2024-07-01,588080.SSE,4838
2024-07-02,588000.SSE,4923
2024-07-02,588080.SSE,4835
2024-07-03,588000.SSE,4927
2024-07-03,588080.SSE,4830
2024-07-04,588000.SSE,4951
2024-07-04,588080.SSE,4827
2024-07-05,588000.SSE,4944
2024-07-05,588080.SSE,4854
2024-07-08,588000.SSE,4946
2024-07-08,588080.SSE,4791
2024-07-09,588000.SSE,4894
2024-07-09,588080.SSE,4837
2024-07-10,588000.SSE,4925
2024-07-10,588080.SSE,4841
2024-07-11,588000.SSE,4999
2024-07-11,588080.SSE,4916
2024-07-12,588000.SSE,4977
2024-07-12,588080.SSE,4796
2024-07-15,588000.SSE,4924
2024-07-15,588080.SSE,4692
2024-07-16,588000.SSE,4899
2024-07-16,588080.SSE,4821
2024-07-17,588000.SSE,4946
2024-07-17,588080.SSE,4763
2024-07-18,588000.SSE,4972
2024-07-18,588080.SSE,4877
2024-07-19,588000.SSE,4949
2024-07-19,588080.SSE,4854
2024-07-22,588000.SSE,4934
2024-07-22,588080.SSE,4814
2024-07-23,588000.SSE,4950
2024-07-23,588080.SSE,4818
2024-07-24,588000.SSE,4961
2024-07-24,588080.SSE,4821
2024-07-25,588000.SSE,4947
2024-07-25,588080.SSE,4805
2024-07-26,588000.SSE,4917
2024-07-26,588080.SSE,4778
2024-07-29,588000.SSE,4933
2024-07-29,588080.SSE,4783
2024-07-30,588000.SSE,4978
2024-07-30,588080.SSE,4798
2024-07-31,588000.SSE,4936
2024-07-31,588080.SSE,4862
2024-08-01,588000.SSE,4983
2024-08-01,588080.SSE,4897
2024-08-02,588000.SSE,4986
2024-08-02,588080.SSE,4880
2024-08-05,588000.SSE,4939
2024-08-05,588080.SSE,4871
2024-08-06,588000.SSE,4972
2024-08-06,588080.SSE,4848
2024-08-07,588000.SSE,4936
2024-08-07,588080.SSE,4773
2024-08-08,588000.SSE,4907
2024-08-08,588080.SSE,4850
2024-08-09,588000.SSE,4974
2024-08-09,588080.SSE,4734
2024-08-12,588000.SSE,4928
2024-08-12,588080.SSE,4627
2024-08-13,588000.SSE,4872
2024-08-13,588080.SSE,4672
2024-08-14,588000.SSE,4946
2024-08-14,588080.SSE,4705
2024-08-15,588000.SSE,4904
2024-08-15,588080.SSE,4764
2024-08-16,588000.SSE,4955
2024-08-16,588080.SSE,4698
2024-08-19,588000.SSE,4938
2024-08-19,588080.SSE,4686
2024-08-20,588000.SSE,4906
2024-08-20,588080.SSE,4800
2024-08-21,588000.SSE,4916
2024-08-21,588080.SSE,4698
2024-08-22,588000.SSE,4909
2024-08-22,588080.SSE,4776
2024-08-23,588000.SSE,4908
2024-08-23,588080.SSE,4791
2024-08-26,588000.SSE,4920
2024-08-26,588080.SSE,4749
2024-08-27,588000.SSE,4895
2024-08-27,588080.SSE,4757
2024-08-28,588000.SSE,4915
2024-08-28,588080.SSE,4699
2024-08-29,588000.SSE,4915
2024-08-29,588080.SSE,4782
2024-08-30,588000.SSE,4925
2024-08-30,588080.SSE,4847
2024-09-02,588000.SSE,4931
2024-09-02,588080.SSE,4793
2024-09-03,588000.SSE,4918
2024-09-03,588080.SSE,4689
