day,symbol,session,field,delta,grid_points,valid_points,mean_age_seconds
2025-01-02,588000.SSE,am,mid,3,2401,2401,0.0
2025-01-02,588000.SSE,am,mid,15,481,481,0.0
2025-01-02,588000.SSE,am,mid,30,241,241,0.0
2025-01-02,588000.SSE,am,mid,60,121,121,0.0
2025-01-02,588000.SSE,am,mid,300,25,25,0.0
2025-01-02,588000.SSE,am,last,3,2401,2401,0.0
2025-01-02,588000.SSE,am,last,15,481,481,0.0
2025-01-02,588000.SSE,am,last,30,241,241,0.0
2025-01-02,588000.SSE,am,last,60,121,121,0.0
2025-01-02,588000.SSE,am,last,300,25,25,0.0
2025-01-02,588000.SSE,pm,mid,3,2401,2401,0.0
2025-01-02,588000.SSE,pm,mid,15,481,481,0.0
2025-01-02,588000.SSE,pm,mid,30,241,241,0.0
2025-01-02,588000.SSE,pm,mid,60,121,121,0.0
2025-01-02,588000.SSE,pm,mid,300,25,25,0.0
2025-01-02,588000.SSE,pm,last,3,2401,2401,0.0
2025-01-02,588000.SSE,pm,last,15,481,481,0.0
2025-01-02,588000.SSE,pm,last,30,241,241,0.0
2025-01-02,588000.SSE,pm,last,60,121,121,0.0
2025-01-02,588000.SSE,pm,last,300,25,25,0.0
2025-01-02,588080.SSE,am,mid,3,2401,2400,1.99875
2025-01-02,588080.SSE,am,mid,15,481,480,1.9979166666666666
2025-01-02,588080.SSE,am,mid,30,241,240,2.0
2025-01-02,588080.SSE,am,mid,60,121,120,2.0
2025-01-02,588080.SSE,am,mid,300,25,24,2.0
2025-01-02,588080.SSE,am,last,3,2401,2400,1.99875
2025-01-02,588080.SSE,am,last,15,481,480,1.9979166666666666
2025-01-02,588080.SSE,am,last,30,241,240,2.0
2025-01-02,588080.SSE,am,last,60,121,120,2.0
2025-01-02,588080.SSE,am,last,300,25,24,2.0
2025-01-02,588080.SSE,pm,mid,3,2401,2400,1.9995833333333333
2025-01-02,588080.SSE,pm,mid,15,481,480,2.0
2025-01-02,588080.SSE,pm,mid,30,241,240,2.0
2025-01-02,588080.SSE,pm,mid,60,121,120,2.0
2025-01-02,588080.SSE,pm,mid,300,25,24,2.0
2025-01-02,588080.SSE,pm,last,3,2401,2400,1.9995833333333333
2025-01-02,588080.SSE,pm,last,15,481,480,2.0
2025-01-02,588080.SSE,pm,last,30,241,240,2.0
2025-01-02,588080.SSE,pm,last,60,121,120,2.0
2025-01-02,588080.SSE,pm,last,300,25,24,2.0
2025-01-03,588000.SSE,am,mid,3,2401,2400,1.0
2025-01-03,588000.SSE,am,mid,15,481,480,1.0
2025-01-03,588000.SSE,am,mid,30,241,240,1.0
2025-01-03,588000.SSE,am,mid,60,121,120,1.0
2025-01-03,588000.SSE,am,mid,300,25,24,1.0
2025-01-03,588000.SSE,am,last,3,2401,2400,1.0
2025-01-03,588000.SSE,am,last,15,481,480,1.0
2025-01-03,588000.SSE,am,last,30,241,240,1.0
2025-01-03,588000.SSE,am,last,60,121,120,1.0
2025-01-03,588000.SSE,am,last,300,25,24,1.0
2025-01-03,588000.SSE,pm,mid,3,2401,2400,1.0
2025-01-03,588000.SSE,pm,mid,15,481,480,1.0
2025-01-03,588000.SSE,pm,mid,30,241,240,1.0
2025-01-03,588000.SSE,pm,mid,60,121,120,1.0
2025-01-03,588000.SSE,pm,mid,300,25,24,1.0
2025-01-03,588000.SSE,pm,last,3,2401,2400,1.0
2025-01-03,588000.SSE,pm,last,15,481,480,1.0
2025-01-03,588000.SSE,pm,last,30,241,240,1.0
2025-01-03,588000.SSE,pm,last,60,121,120,1.0
2025-01-03,588000.SSE,pm,last,300,25,24,1.0
2025-01-03,588080.SSE,am,mid,3,2401,2401,0.0
2025-01-03,588080.SSE,am,mid,15,481,481,0.0
2025-01-03,588080.SSE,am,mid,30,241,241,0.0
2025-01-03,588080.SSE,am,mid,60,121,121,0.0
2025-01-03,588080.SSE,am,mid,300,25,25,0.0
2025-01-03,588080.SSE,am,last,3,2401,2401,0.0
2025-01-03,588080.SSE,am,last,15,481,481,0.0
2025-01-03,588080.SSE,am,last,30,241,241,0.0
2025-01-03,588080.SSE,am,last,60,121,121,0.0
2025-01-03,588080.SSE,am,last,300,25,25,0.0
2025-01-03,588080.SSE,pm,mid,3,2401,2401,0.0
2025-01-03,588080.SSE,pm,mid,15,481,481,0.0
2025-01-03,588080.SSE,pm,mid,30,241,241,0.0
2025-01-03,588080.SSE,pm,mid,60,121,121,0.0
2025-01-03,588080.SSE,pm,mid,300,25,25,0.0
2025-01-03,588080.SSE,pm,last,3,2401,2401,0.0
2025-01-03,588080.SSE,pm,last,15,481,481,0.0
2025-01-03,588080.SSE,pm,last,30,241,241,0.0
2025-01-03,588080.SSE,pm,last,60,121,121,0.0
2025-01-03,588080.SSE,pm,last,300,25,25,0.0
2025-01-06,588000.SSE,am,mid,3,2401,2401,0.0
2025-01-06,588000.SSE,am,mid,15,481,481,0.0
2025-01-06,588000.SSE,am,mid,30,241,241,0.0
2025-01-06,588000.SSE,am,mid,60,121,121,0.0
2025-01-06,588000.SSE,am,mid,300,25,25,0.0
2025-01-06,588000.SSE,am,last,3,2401,2401,0.0
2025-01-06,588000.SSE,am,last,15,481,481,0.0
2025-01-06,588000.SSE,am,last,30,241,241,0.0
2025-01-06,588000.SSE,am,last,60,121,121,0.0
2025-01-06,588000.SSE,am,last,300,25,25,0.0
2025-01-06,588000.SSE,pm,mid,3,2401,2401,0.0
