region,observations,input_close_equal_fraction,input_close_max_difference,same_5min_slope_direction_agreement,median_abs_filter_difference_log_bp,p95_abs_filter_difference_log_bp
2025,11664,1.0,0.0,0.9376714677640604,1.1317400468024985,5.169710123580806
2025_apr_sep,6048,1.0,0.0,0.933531746031746,0.9607019336455025,5.0958904442901485
2025_01,864,1.0,0.0,0.9375,1.4054925228901283,5.57849424973966
2025_02,864,1.0,0.0,0.9490740740740741,1.4211824908549886,4.881952980233527
2025_03,1008,1.0,0.0,0.9444444444444444,1.3701264036569683,4.708495783640296
2025_04,1008,1.0,0.0,0.9236111111111112,1.0476532845693498,4.9219655281529375
2025_05,912,1.0,0.0,0.9385964912280702,0.698447275793157,3.7023276095542426
2025_06,960,1.0,0.0,0.9395833333333333,0.6002348842626404,2.423851224527151
2025_07,1104,1.0,0.0,0.9402173913043478,0.7739518018778924,2.8193466929202757
2025_08,1008,1.0,0.0,0.9236111111111112,1.4188726064201518,6.095196022570358
2025_09,1056,1.0,0.0,0.9356060606060606,1.7358144786205898,7.3375399279718145
2025_10,816,1.0,0.0,0.9485294117647058,1.740622874844,6.895079471946897
2025_11,960,1.0,0.0,0.95,1.3872920535051847,5.337729889187679
2025_12,1104,1.0,0.0,0.9266304347826086,1.0750032789585973,4.23241675802277
