region,method,observations,direction_changes,zero_direction_observations,closed_direction_runs,short_runs_le10min,short_run_fraction,median_closed_run_trading_minutes
2025,M5,11664,1782,0,1781,565,0.31723750701852893,20.0
2025,M1_D5,11664,1988,0,1987,735,0.3699043784599899,20.0
2025,M1_H5_D1,58320,2340,0,2339,934,0.3993159469858914,15.0
2025,M1_H1_D1,58320,3930,0,3929,2430,0.6184779842199033,6.0
2025_apr_sep,M5,6048,963,0,962,317,0.3295218295218295,20.0
2025_apr_sep,M1_D5,6048,1079,0,1078,406,0.37662337662337664,15.0
2025_apr_sep,M1_H5_D1,30240,1275,0,1274,517,0.40580847723704866,14.0
2025_apr_sep,M1_H1_D1,30240,2121,0,2120,1329,0.6268867924528302,6.0
2025_01,M5,864,128,0,127,35,0.2755905511811024,25.0
2025_01,M1_D5,864,148,0,147,51,0.3469387755102041,20.0
2025_01,M1_H5_D1,4320,172,0,171,65,0.38011695906432746,15.0
2025_01,M1_H1_D1,4320,292,0,291,181,0.6219931271477663,7.0
2025_02,M5,864,121,0,120,39,0.325,20.0
2025_02,M1_D5,864,131,0,130,48,0.36923076923076925,15.0
2025_02,M1_H5_D1,4320,154,0,153,59,0.38562091503267976,15.0
2025_02,M1_H1_D1,4320,249,0,248,145,0.5846774193548387,8.0
2025_03,M5,1008,155,0,154,49,0.3181818181818182,20.0
2025_03,M1_D5,1008,161,0,160,57,0.35625,20.0
2025_03,M1_H5_D1,5040,193,0,192,76,0.3958333333333333,16.0
2025_03,M1_H1_D1,5040,345,0,344,215,0.625,5.0
2025_04,M5,1008,169,0,168,58,0.34523809523809523,20.0
2025_04,M1_D5,1008,204,0,203,95,0.46798029556650245,15.0
2025_04,M1_H5_D1,5040,240,0,239,113,0.47280334728033474,11.0
2025_04,M1_H1_D1,5040,403,0,402,266,0.6616915422885572,6.0
2025_05,M5,912,128,0,127,40,0.31496062992125984,25.0
2025_05,M1_D5,912,142,0,141,47,0.3333333333333333,20.0
2025_05,M1_H5_D1,4560,178,0,177,67,0.3785310734463277,15.0
2025_05,M1_H1_D1,4560,308,0,307,190,0.6188925081433225,6.0
2025_06,M5,960,140,0,139,40,0.28776978417266186,25.0
2025_06,M1_D5,960,146,0,145,48,0.3310344827586207,20.0
2025_06,M1_H5_D1,4800,182,0,181,71,0.39226519337016574,16.0
2025_06,M1_H1_D1,4800,313,0,312,196,0.6282051282051282,6.0
2025_07,M5,1104,170,0,169,60,0.35502958579881655,20.0
2025_07,M1_D5,1104,186,0,185,64,0.34594594594594597,15.0
2025_07,M1_H5_D1,5520,212,0,211,80,0.3791469194312796,15.0
2025_07,M1_H1_D1,5520,350,0,349,215,0.6160458452722063,7.0
2025_08,M5,1008,162,0,161,52,0.32298136645962733,20.0
2025_08,M1_D5,1008,181,0,180,62,0.34444444444444444,17.5
2025_08,M1_H5_D1,5040,215,0,214,84,0.3925233644859813,15.0
2025_08,M1_H1_D1,5040,363,0,362,226,0.6243093922651933,6.0
2025_09,M5,1056,191,0,190,66,0.3473684210526316,20.0
2025_09,M1_D5,1056,219,0,218,90,0.41284403669724773,15.0
2025_09,M1_H5_D1,5280,247,0,246,102,0.4146341463414634,13.0
2025_09,M1_H1_D1,5280,381,0,380,233,0.6131578947368421,7.0
2025_10,M5,816,99,0,98,27,0.2755102040816326,30.0
2025_10,M1_D5,816,123,0,122,44,0.36065573770491804,20.0
2025_10,M1_H5_D1,4080,139,0,138,53,0.38405797101449274,17.5
2025_10,M1_H1_D1,4080,241,0,240,154,0.6416666666666667,6.0
2025_11,M5,960,147,0,146,45,0.3082191780821918,20.0
2025_11,M1_D5,960,159,0,158,63,0.3987341772151899,20.0
2025_11,M1_H5_D1,4800,179,0,178,68,0.38202247191011235,16.0
2025_11,M1_H1_D1,4800,299,0,298,173,0.5805369127516778,7.0
2025_12,M5,1104,166,0,165,52,0.3151515151515151,25.0
2025_12,M1_D5,1104,184,0,183,65,0.3551912568306011,20.0
2025_12,M1_H5_D1,5520,227,0,226,94,0.415929203539823,14.5
2025_12,M1_H1_D1,5520,380,0,379,231,0.6094986807387863,6.0
