trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
0,0,31,2021-01-04 09:36:00,2021-01-04 13:46:00,1,32,0.019663614907076233,0.024130247498878165,0,0.004466632591801932,False,False,True,2021-01-04,2021,1,2021-01-04,0,0
1,32,41,2021-01-04 13:51:00,2021-01-04 14:36:00,-1,10,-0.0028159513989592,0,-0.0039330933183779017,0.0028159513989592,True,False,False,2021-01-04,2021,-1,2021-01-04,0,0
2,42,48,2021-01-04 14:41:00,2021-01-05 09:46:00,1,7,-0.0026679165611572268,0.00093454995576686703,-0.0065593430413636092,0.0036024665169240937,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
3,49,54,2021-01-05 09:51:00,2021-01-05 10:16:00,-1,6,-0.0043256161105111792,0.00049353470550688393,-0.0043256161105111792,0.0048191508160180634,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
4,55,58,2021-01-05 10:21:00,2021-01-05 10:36:00,1,4,-0.0030294853016320121,0.00037190242551161283,-0.0044736509483134452,0.0034013877271436249,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
5,59,71,2021-01-05 10:41:00,2021-01-05 13:16:00,-1,13,0.00033091717163654462,0.0063841573886744083,0,0.0060532402170378639,False,False,False,2021-01-05,2021,1,2021-01-05,1,0
6,72,98,2021-01-05 13:21:00,2021-01-06 10:06:00,1,27,-0.0018184770688519942,0.0070242698810618525,-0.0018184770688519942,0.0088427469499138475,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
7,99,105,2021-01-06 10:11:00,2021-01-06 10:41:00,-1,7,-0.0026279742745365492,0.0034203530016543005,-0.0026279742745365492,0.0060483272761908497,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
8,106,109,2021-01-06 10:46:00,2021-01-06 11:01:00,1,4,-0.0058289040752001059,0.00071744087707231534,-0.0058289040752001059,0.0065463449522724215,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
9,110,135,2021-01-06 11:06:00,2021-01-06 14:46:00,-1,26,-0.00085599787336452376,0.0025723988149352409,-0.0027210901143604315,0.0034283966882997646,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
10,136,142,2021-01-06 14:51:00,2021-01-07 09:56:00,1,7,-0.0071605533348601397,0.00078461036812657603,-0.0071605533348601397,0.0079451637029867156,False,True,False,2021-01-07,2021,-1,2021-01-07,3,0
11,143,161,2021-01-07 10:01:00,2021-01-07 13:06:00,-1,19,0.0093810056732328197,0.013689462808805711,0,0.0043084571355728914,False,False,False,2021-01-07,2021,1,2021-01-07,3,0
12,162,165,2021-01-07 13:11:00,2021-01-07 13:26:00,1,4,-0.0050307500133862839,0,-0.0050307500133862839,0.0050307500133862839,True,False,False,2021-01-07,2021,-1,2021-01-07,3,0
13,166,179,2021-01-07 13:31:00,2021-01-07 14:36:00,-1,14,0.0035032897233018721,0.0094521818535545903,0,0.0059488921302527182,False,False,False,2021-01-07,2021,1,2021-01-07,3,0
14,180,186,2021-01-07 14:41:00,2021-01-08 09:46:00,1,7,-0.0076864105448494957,0.0021801413051255217,-0.0076864105448494957,0.0098665518499750169,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
15,187,195,2021-01-08 09:51:00,2021-01-08 10:31:00,-1,9,-0.0071714644033636287,0.00097228271111464816,-0.0071714644033636287,0.0081437471144782773,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
16,196,203,2021-01-08 10:36:00,2021-01-08 11:11:00,1,8,-0.0016190925729806926,0.0041844094298462481,-0.0016190925729806926,0.0058035020028269404,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
17,204,213,2021-01-08 11:16:00,2021-01-08 13:36:00,-1,10,-0.0046397067427848375,0.0047051369788036045,-0.0046397067427848375,0.009344843721588442,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
