kind,period_bars,slow_velocity_ratio,slow_phase,drift_velocity_ratio,trades,win_rate,longest_loss,capture
wave,6,0,0,0,2559,0,2559,-0.99999999999996458
wave,6,0,1.5707963267948966,0,2559,0,2559,-0.99999999999996458
wave,6,0,3.1415926535897931,0,2559,0,2559,-0.99999999999996458
wave,6,0.5,0,0,47,0.31914893617021278,2,0.47073530472948888
wave,6,0.5,1.5707963267948966,0,47,0.31914893617021278,2,0.47073530472948871
wave,6,0.5,3.1415926535897931,0,47,0.31914893617021278,2,0.47073530472948788
wave,6,2,0,0,15,1,0,0.9436854787998723
wave,6,2,1.5707963267948966,0,15,1,0,0.94368547879987308
wave,6,2,3.1415926535897931,0,15,1,0,0.94368547879987252
drift,6,0,0,-0.5,0,,0,0.69638313438266042
drift,6,0,0,0,2559,0,2559,-0.99999999999996458
drift,6,0,0,0.5,0,,0,0.69638313438265675
wave,8,0,0,0,1918,0,1918,-0.99999999999999933
wave,8,0,1.5707963267948966,0,1918,0,1918,-0.99999999999999933
wave,8,0,3.1415926535897931,0,1918,0,1918,-0.99999999999999933
wave,8,0.5,0,0,463,0.032397408207343416,28,0.25840681813085703
wave,8,0.5,1.5707963267948966,0,462,0.034632034632034632,28,0.25840681813085692
wave,8,0.5,3.1415926535897931,0,463,0.032397408207343416,28,0.25840681813085664
wave,8,2,0,0,111,0.13513513513513514,6,0.91615704333594805
wave,8,2,1.5707963267948966,0,110,0.14545454545454545,6,0.91615704333595049
wave,8,2,3.1415926535897931,0,111,0.13513513513513514,6,0.91615704333594894
drift,8,0,0,-0.5,0,,0,0.71412436494656106
drift,8,0,0,0,1918,0,1918,-0.99999999999999933
drift,8,0,0,0.5,0,,0,0.71412436494656206
wave,12,0,0,0,1279,0,1279,-0.49999999999990596
wave,12,0,1.5707963267948966,0,1279,0,1279,-0.49999999999990596
wave,12,0,3.1415926535897931,0,1279,0,1279,-0.49999999999990596
wave,12,0.5,0,0,767,0.26988265971316816,24,0.068990576994231945
wave,12,0.5,1.5707963267948966,0,767,0.2711864406779661,24,0.068990576994232805
