day_index,session,start_bar,end_bar,events,span_minutes,day
4,0,1,1,1,0,2024-01-08
6,0,9,9,1,0,2024-01-10
6,0,20,24,2,4,2024-01-10
6,0,44,45,2,1,2024-01-10
7,0,2,2,1,0,2024-01-11
7,0,17,17,1,0,2024-01-11
10,1,72,72,1,0,2024-01-16
12,0,0,4,2,4,2024-01-18
12,0,109,109,1,0,2024-01-18
12,1,71,71,1,0,2024-01-18
13,1,70,70,1,0,2024-01-19
14,0,29,29,1,0,2024-01-22
14,1,105,105,1,0,2024-01-22
15,0,0,9,5,9,2024-01-23
15,0,15,19,3,4,2024-01-23
15,0,31,33,2,2,2024-01-23
15,0,40,40,1,0,2024-01-23
15,0,59,59,1,0,2024-01-23
16,1,26,26,1,0,2024-01-24
16,1,49,49,1,0,2024-01-24
16,1,68,68,1,0,2024-01-24
17,0,3,3,1,0,2024-01-25
17,0,22,22,1,0,2024-01-25
17,0,33,33,1,0,2024-01-25
17,0,51,51,1,0,2024-01-25
18,1,94,94,1,0,2024-01-26
19,0,0,3,2,3,2024-01-29
20,0,0,1,2,1,2024-01-30
20,0,9,9,1,0,2024-01-30
20,1,95,95,1,0,2024-01-30
21,0,2,2,1,0,2024-01-31
21,0,33,37,2,4,2024-01-31
21,0,69,69,1,0,2024-01-31
21,0,84,84,1,0,2024-01-31
21,0,111,111,1,0,2024-01-31
21,1,49,49,1,0,2024-01-31
22,0,1,2,2,1,2024-02-01
22,0,30,53,7,23,2024-02-01
22,0,62,62,1,0,2024-02-01
23,0,7,7,1,0,2024-02-02
23,0,24,24,1,0,2024-02-02
23,0,32,32,1,0,2024-02-02
23,1,48,48,1,0,2024-02-02
23,1,74,91,8,17,2024-02-02
23,1,97,100,2,3,2024-02-02
24,0,2,22,11,20,2024-02-05
24,0,29,32,3,3,2024-02-05
24,0,43,59,7,16,2024-02-05
24,0,65,65,1,0,2024-02-05
24,0,77,81,3,4,2024-02-05
24,0,92,94,3,2,2024-02-05
24,0,106,106,1,0,2024-02-05
24,0,112,115,2,3,2024-02-05
24,1,0,0,1,0,2024-02-05
24,1,8,15,6,7,2024-02-05
24,1,21,31,4,10,2024-02-05
24,1,39,67,9,28,2024-02-05
24,1,88,105,6,17,2024-02-05
24,1,118,118,1,0,2024-02-05
25,0,0,21,11,21,2024-02-06
25,0,32,32,1,0,2024-02-06
25,0,42,42,1,0,2024-02-06
25,0,61,61,1,0,2024-02-06
25,0,90,90,1,0,2024-02-06
25,1,12,12,1,0,2024-02-06
25,1,50,50,1,0,2024-02-06
26,0,0,7,5,7,2024-02-07
26,0,21,21,1,0,2024-02-07
26,0,72,72,1,0,2024-02-07
27,0,0,1,2,1,2024-02-08
