minutes,symbol,basis,forecast,event_rate,mean_prediction,brier,log_loss
1,000852.SH,raw,constant,0.0071385255132981025,0.0017598409496783732,0.0071164972144290165,0.04702514293612353
1,000852.SH,raw,clock_only,0.0071385255132981025,0.0024413611598485545,0.007023248993478055,0.04172272262503537
1,000852.SH,raw,volatility_and_recent_tail,0.0071385255132981025,0.00456549086455206,0.006750936707871503,0.035190308991453444
1,000852.SH,standardized,constant,0.005336567616737417,0.0051061395042392215,0.005308141759924435,0.03325463171198887
1,000852.SH,standardized,clock_only,0.005336567616737417,0.005783082463754733,0.005166268456058253,0.027206584234548106
1,000852.SH,standardized,volatility_and_recent_tail,0.005336567616737417,0.005025010438785777,0.005229921880760287,0.030784227259241882
1,000688.SH,raw,constant,0.018981200727713764,0.008250157489871526,0.018736070035620438,0.09918987779121909
1,000688.SH,raw,clock_only,0.018981200727713764,0.008922799889186444,0.018314973398205394,0.09843499763630392
1,000688.SH,raw,volatility_and_recent_tail,0.018981200727713764,0.012278644919815642,0.017415635727676612,0.07576172543047192
1,000688.SH,standardized,constant,0.003829160530191458,0.004903858935310674,0.003815653036487449,0.025259551174056347
1,000688.SH,standardized,clock_only,0.003829160530191458,0.005581078585280267,0.003784792638482658,0.021654291073370698
1,000688.SH,standardized,volatility_and_recent_tail,0.003829160530191458,0.004559455951134066,0.0037794419806878444,0.023728420924006687
