minutes,symbol,year,absolute_simple_cutoff,bars,up_count,down_count
1,000852.SH,2021,0.001,57834,1676,1491
1,000852.SH,2021,0.002,57834,225,149
1,000852.SH,2021,0.005,57834,2,1
1,000852.SH,2021,0.01,57834,0,0
1,000852.SH,2022,0.001,57596,3392,3032
1,000852.SH,2022,0.002,57596,577,344
1,000852.SH,2022,0.005,57596,14,6
1,000852.SH,2022,0.01,57596,0,0
1,000852.SH,2023,0.001,57596,1088,972
1,000852.SH,2023,0.002,57596,62,32
1,000852.SH,2023,0.005,57596,1,1
1,000852.SH,2023,0.01,57596,0,0
1,000852.SH,2024,0.001,57596,4991,4728
1,000852.SH,2024,0.002,57596,1185,930
1,000852.SH,2024,0.005,57596,51,29
1,000852.SH,2024,0.01,57596,3,1
1,000852.SH,2025,0.001,57834,2612,2487
1,000852.SH,2025,0.002,57834,408,253
1,000852.SH,2025,0.005,57834,13,12
1,000852.SH,2025,0.01,57834,0,0
1,000688.SH,2021,0.001,57834,4422,4427
1,000688.SH,2021,0.002,57834,961,812
1,000688.SH,2021,0.005,57834,19,22
1,000688.SH,2021,0.01,57834,0,0
1,000688.SH,2022,0.001,57596,5627,5384
1,000688.SH,2022,0.002,57596,1406,1066
1,000688.SH,2022,0.005,57596,38,11
1,000688.SH,2022,0.01,57596,0,0
1,000688.SH,2023,0.001,57596,3814,3548
1,000688.SH,2023,0.002,57596,561,437
1,000688.SH,2023,0.005,57596,3,4
1,000688.SH,2023,0.01,57596,0,1
1,000688.SH,2024,0.001,57596,6663,6182
1,000688.SH,2024,0.002,57596,1852,1376
1,000688.SH,2024,0.005,57596,156,86
1,000688.SH,2024,0.01,57596,11,10
1,000688.SH,2025,0.001,57834,6343,5915
1,000688.SH,2025,0.002,57834,1566,1345
1,000688.SH,2025,0.005,57834,80,42
1,000688.SH,2025,0.01,57834,2,2
