day_index,session,start_bar,end_bar,events,span_minutes,day
2,1,12,12,1,0,2024-01-04
6,0,2,2,1,0,2024-01-10
6,0,4,4,1,0,2024-01-10
6,0,8,8,1,0,2024-01-10
9,0,5,5,1,0,2024-01-15
10,1,13,13,1,0,2024-01-16
14,1,19,20,2,5,2024-01-22
15,0,0,0,1,0,2024-01-23
22,0,7,7,1,0,2024-02-01
22,0,9,9,1,0,2024-02-01
23,1,16,16,1,0,2024-02-02
25,0,2,2,1,0,2024-02-06
49,1,12,12,1,0,2024-03-19
54,0,2,2,1,0,2024-03-26
66,0,1,2,2,5,2024-04-15
69,0,14,14,1,0,2024-04-18
71,0,4,4,1,0,2024-04-22
73,0,6,6,1,0,2024-04-24
91,0,3,3,1,0,2024-05-23
91,0,5,5,1,0,2024-05-23
92,0,0,0,1,0,2024-05-24
96,0,2,2,1,0,2024-05-30
101,0,4,4,1,0,2024-06-06
110,0,1,1,1,0,2024-06-20
112,0,2,2,1,0,2024-06-24
113,0,3,3,1,0,2024-06-25
116,0,1,1,1,0,2024-06-28
117,0,0,0,1,0,2024-07-01
123,0,0,0,1,0,2024-07-09
123,0,17,17,1,0,2024-07-09
123,0,20,20,1,0,2024-07-09
134,0,1,1,1,0,2024-07-24
134,0,16,17,2,5,2024-07-24
135,0,15,15,1,0,2024-07-25
138,0,13,13,1,0,2024-07-30
139,0,0,1,2,5,2024-07-31
142,0,0,0,1,0,2024-08-05
148,0,6,6,1,0,2024-08-13
150,0,6,7,2,5,2024-08-15
161,0,1,1,1,0,2024-08-30
168,1,1,1,1,0,2024-09-10
173,0,7,7,1,0,2024-09-19
175,0,1,1,1,0,2024-09-23
176,0,5,5,1,0,2024-09-24
176,0,14,14,1,0,2024-09-24
177,0,0,0,1,0,2024-09-25
179,0,3,3,1,0,2024-09-27
180,0,0,0,1,0,2024-09-30
180,1,15,15,1,0,2024-09-30
181,0,1,2,2,5,2024-10-08
181,0,12,13,2,5,2024-10-08
199,0,1,1,1,0,2024-11-01
202,0,0,0,1,0,2024-11-06
210,0,0,0,1,0,2024-11-18
221,1,11,11,1,0,2024-12-03
231,0,4,4,1,0,2024-12-17
231,1,4,4,1,0,2024-12-17
233,1,0,0,1,0,2024-12-19
253,0,5,5,1,0,2025-01-17
253,0,22,22,1,0,2025-01-17
257,0,0,0,1,0,2025-01-23
258,0,4,4,1,0,2025-01-24
292,0,0,0,1,0,2025-03-21
301,0,0,0,1,0,2025-04-03
301,0,3,3,1,0,2025-04-03
302,0,0,0,1,0,2025-04-07
309,1,0,0,1,0,2025-04-16
311,1,9,9,1,0,2025-04-18
312,0,2,2,1,0,2025-04-21
315,0,18,18,1,0,2025-04-24
321,0,1,1,1,0,2025-05-07
322,0,16,16,1,0,2025-05-08
325,0,1,1,1,0,2025-05-13
326,1,6,6,1,0,2025-05-14
330,0,0,0,1,0,2025-05-20
333,0,9,9,1,0,2025-05-23
343,0,0,0,1,0,2025-06-09
344,1,1,2,2,5,2025-06-10
344,1,4,4,1,0,2025-06-10
347,0,2,2,1,0,2025-06-13
355,0,2,2,1,0,2025-06-25
356,0,2,2,1,0,2025-06-26
362,0,2,2,1,0,2025-07-04
365,0,16,16,1,0,2025-07-09
367,0,9,9,1,0,2025-07-11
369,0,3,3,1,0,2025-07-15
373,0,1,1,1,0,2025-07-21
380,1,11,12,2,5,2025-07-30
383,0,0,0,1,0,2025-08-04
390,0,0,0,1,0,2025-08-13
394,0,5,5,1,0,2025-08-19
400,1,11,11,1,0,2025-08-27
400,1,16,17,2,5,2025-08-27
401,0,0,0,1,0,2025-08-28
404,0,21,21,1,0,2025-09-02
404,1,5,5,1,0,2025-09-02
427,0,1,1,1,0,2025-10-13
429,0,1,1,1,0,2025-10-15
431,0,1,1,1,0,2025-10-17
443,1,19,19,1,0,2025-11-04
452,0,2,2,1,0,2025-11-17
460,0,1,1,1,0,2025-11-27
461,0,5,5,1,0,2025-11-28
464,0,0,0,1,0,2025-12-03
465,0,9,9,1,0,2025-12-04
473,0,0,0,1,0,2025-12-16
474,0,1,1,1,0,2025-12-17
479,0,0,0,1,0,2025-12-24
481,0,20,21,2,5,2025-12-26
483,1,3,3,1,0,2025-12-30
