minutes,symbol,year,session,component,count,median_abs_bp,max_up_bp,max_down_bp,abs_over_50bp,abs_over_100bp
1,000852.SH,2021,0,gap,243,18.005946149659557,161.78797525307598,-174.79900302374563,30,11
1,000852.SH,2021,0,body,243,9.487756050816644,39.856160773490416,-40.18915081862805,0,0
1,000852.SH,2021,0,return_all,243,23.21116502045851,202.28896078185596,-178.94004859869253,47,9
1,000852.SH,2021,1,gap,243,0.3699210792507124,4.972637056628315,-2.8756348672753784,0,0
1,000852.SH,2021,1,body,243,3.851044614728849,22.076808490980596,-19.832456916046848,0,0
1,000852.SH,2021,1,return_all,243,3.988330037042207,22.06056362226832,-20.19024091471597,0,0
1,000852.SH,2022,0,gap,242,23.360820003339168,221.5113507277766,-251.4849415703113,54,16
1,000852.SH,2022,0,body,242,14.455969564476367,100.98603818153418,-85.71408785737367,8,1
1,000852.SH,2022,0,return_all,242,33.81674763954759,252.10084033613404,-280.2873819760003,78,21
1,000852.SH,2022,1,gap,242,0.6912691106097935,5.420817723220672,-3.611600635293754,0,0
1,000852.SH,2022,1,body,242,6.582348194253407,63.26801579027208,-76.98860091257865,2,0
1,000852.SH,2022,1,return_all,242,6.322074774670591,68.72312995160941,-77.32507592126935,3,0
1,000852.SH,2023,0,gap,242,14.238310434473432,552.9313509201361,-83.5416455182214,11,2
1,000852.SH,2023,0,body,242,13.133295081436124,48.39491607592672,-51.37135091359713,1,0
1,000852.SH,2023,0,return_all,242,22.942462965992227,500.7458713427227,-86.07074079718136,29,3
1,000852.SH,2023,1,gap,242,0.636426362021214,3.985893545477293,-2.9027703864636933,0,0
1,000852.SH,2023,1,body,242,4.025290038582319,21.916822660261737,-67.33393055801562,1,0
1,000852.SH,2023,1,return_all,242,3.855341096588768,24.604733370985542,-69.79266764423197,1,0
1,000852.SH,2024,0,gap,242,21.546631364490757,1275.7079821960017,-240.76143302391608,49,13
1,000852.SH,2024,0,body,242,19.261142838926105,142.2662212914738,-217.67253129610583,27,8
1,000852.SH,2024,0,return_all,242,33.477336846873975,1133.664866531321,-453.1932492635456,71,25
1,000852.SH,2024,1,gap,242,1.317317784969574,5.885783305679126,-3.5256389616922235,0,0
1,000852.SH,2024,1,body,242,6.863839149443551,111.41572090647144,-78.3049573061434,7,1
1,000852.SH,2024,1,return_all,242,6.802185131713866,115.5223948707561,-78.46981778301834,7,1
1,000852.SH,2025,0,gap,243,18.331160904557777,202.00519077973263,-631.4744182897381,44,13
1,000852.SH,2025,0,body,243,14.313653053468212,183.8716040003208,-110.9909949661525,9,3
1,000852.SH,2025,0,return_all,243,27.98396850617144,240.27259554910415,-518.9690582048705,63,9
1,000852.SH,2025,1,gap,243,1.3209423758320238,5.296902077733812,-3.987026562264351,0,0
1,000852.SH,2025,1,body,243,5.923597473729281,29.78847107508731,-52.63432174683391,1,0
1,000852.SH,2025,1,return_all,243,5.980833151982079,32.1215624967977,-52.080150956962505,1,0
1,000688.SH,2021,0,gap,243,24.308699589050686,233.29163100019863,-220.93634928984747,53,14
1,000688.SH,2021,0,body,243,18.622236643484054,95.66567912191016,-101.38899462257768,18,1
1,000688.SH,2021,0,return_all,243,34.64787917365484,265.42437611115304,-178.11233524238708,75,22
1,000688.SH,2021,1,gap,243,0.9594591602501978,10.90047724525256,-9.523590086250032,0,0
1,000688.SH,2021,1,body,243,6.051542447745861,112.21248543472396,-36.689292809029,1,1
1,000688.SH,2021,1,return_all,243,6.2882626325425335,112.53531693456728,-37.90734835331597,1,1
1,000688.SH,2022,0,gap,242,30.40999012556445,301.05761147928735,-241.80812232646232,74,22
1,000688.SH,2022,0,body,242,24.954730298612503,131.4661908074477,-91.01484979128104,36,1
1,000688.SH,2022,0,return_all,242,38.77425789073391,348.1711727562509,-269.4067319838225,96,34
1,000688.SH,2022,1,gap,242,1.3822054860879174,14.348785871964864,-13.018245418769949,0,0
1,000688.SH,2022,1,body,242,7.663013476622016,52.13792604908285,-74.61769692601372,4,0
1,000688.SH,2022,1,return_all,242,7.599984012379992,58.428534054236586,-78.19344485109804,7,0
