vol_bin,prior5,sum,size,rate,time_share,tail_capture,symbol,basis,minutes
0,False,0,12239,0.0,0.1060296283461838,0.0,000852.SH,raw,1
1,False,18,28085,0.0006409115186042,0.243307632331283,0.0218446601941747,000852.SH,raw,1
1,True,1,73,0.0136986301369863,0.0006324179156198,0.0012135922330097,000852.SH,raw,1
2,False,440,72010,0.0061102624635467,0.6238412890929568,0.5339805825242718,000852.SH,raw,1
2,True,365,3023,0.1207409857757194,0.0261890323139565,0.4429611650485437,000852.SH,raw,1
0,False,54,11974,0.0045097711708702,0.1037338646798925,0.0876623376623376,000852.SH,standardized,1
0,True,15,265,0.0566037735849056,0.0022957636662912,0.0243506493506493,000852.SH,standardized,1
1,False,127,27465,0.0046240669943564,0.2379364116780732,0.2061688311688311,000852.SH,standardized,1
1,True,41,693,0.0591630591630591,0.0060036385688295,0.0665584415584415,000852.SH,standardized,1
2,False,268,73361,0.0036531672141873,0.6355453521614831,0.435064935064935,000852.SH,standardized,1
2,True,111,1672,0.0663875598086124,0.0144849692454301,0.1801948051948051,000852.SH,standardized,1
0,False,31,30842,0.0010051228843784,0.2671922377198302,0.0141487905066179,000688.SH,raw,1
0,True,3,125,0.024,0.00108290738976,0.001369237790963,000688.SH,raw,1
1,False,113,32476,0.0034794925483433,0.2813480031187733,0.0515746234596074,000688.SH,raw,1
1,True,15,559,0.0268336314847942,0.0048427618470068,0.0068461889548151,000688.SH,raw,1
2,False,853,44491,0.0191724168933042,0.3854370614225071,0.3893199452304883,000688.SH,raw,1
2,True,1176,6937,0.1695257315842583,0.0600970285021225,0.536741214057508,000688.SH,raw,1
0,False,136,30306,0.0044875602190985,0.2625487308325392,0.3076923076923077,000688.SH,standardized,1
0,True,21,661,0.0317700453857791,0.005726414277051,0.0475113122171945,000688.SH,standardized,1
1,False,95,32510,0.0029221777914487,0.281642553928788,0.2149321266968326,000688.SH,standardized,1
1,True,10,525,0.019047619047619,0.0045482110369921,0.0226244343891402,000688.SH,standardized,1
2,False,118,50672,0.0023287022418692,0.438984666031361,0.2669683257918552,000688.SH,standardized,1
2,True,62,756,0.082010582010582,0.0065494238932686,0.1402714932126696,000688.SH,standardized,1
0,False,0,2711,0.0,0.1215150156880322,0.0,000852.SH,raw,5
1,False,7,7803,0.0008970908624887,0.3497534737785746,0.0331753554502369,000852.SH,raw,5
1,True,1,2,0.5,8.964589870013447e-05,0.0047393364928909,000852.SH,raw,5
2,False,160,11588,0.0138073869520193,0.5194083370685791,0.7582938388625592,000852.SH,raw,5
2,True,43,206,0.2087378640776699,0.0092335275661138,0.2037914691943128,000852.SH,raw,5
0,False,22,2696,0.008160237388724,0.1208426714477812,0.1818181818181818,000852.SH,standardized,5
0,True,1,15,0.0666666666666666,0.000672344240251,0.0082644628099173,000852.SH,standardized,5
1,False,41,7766,0.0052794231264486,0.3480950246526221,0.3388429752066115,000852.SH,standardized,5
1,True,4,39,0.1025641025641025,0.0017480950246526,0.0330578512396694,000852.SH,standardized,5
2,False,47,11728,0.0040075034106412,0.5256835499775885,0.3884297520661157,000852.SH,standardized,5
2,True,6,66,0.0909090909090909,0.0029583146571044,0.0495867768595041,000852.SH,standardized,5
0,False,7,5755,0.0012163336229365,0.2579560735096369,0.0141129032258064,000688.SH,raw,5
0,True,0,3,0.0,0.0001344688480502,0.0,000688.SH,raw,5
1,False,28,6549,0.0042754619025805,0.2935454952935903,0.0564516129032258,000688.SH,raw,5
1,True,0,21,0.0,0.0009412819363514,0.0,000688.SH,raw,5
2,False,346,9524,0.0363292734145317,0.4268937696100403,0.6975806451612904,000688.SH,raw,5
2,True,115,458,0.2510917030567685,0.0205289108023307,0.2318548387096774,000688.SH,raw,5
0,False,47,5721,0.0082153469673134,0.2564320932317346,0.3916666666666666,000688.SH,standardized,5
0,True,1,37,0.027027027027027,0.0016584491259524,0.0083333333333333,000688.SH,standardized,5
1,False,32,6535,0.0048967100229533,0.2929179740026894,0.2666666666666666,000688.SH,standardized,5
1,True,0,35,0.0,0.0015688032272523,0.0,000688.SH,standardized,5
2,False,39,9937,0.0039247257723659,0.4454056476916181,0.325,000688.SH,standardized,5
2,True,1,45,0.0222222222222222,0.002017032720753,0.0083333333333333,000688.SH,standardized,5
