minutes,symbol,year,basis,threshold,observations,events,rate,up_events,down_events,mean_abs_tail_simple_bp,max_up_simple_bp,max_down_simple_bp,squared_return_share
1,000852.SH,2021,raw,0.0029036229356317,57834,68,0.0011757789535567,33,35,36.31041716080537,53.257508085164304,-66.90737150029763,0.0634449415873702
1,000852.SH,2022,raw,0.0029036229356317,57596,222,0.0038544343357177,143,79,36.89893631847276,73.91997167138344,-65.77046021806824,0.1230582250867776
1,000852.SH,2023,raw,0.0029036229356317,57596,14,0.0002430724355858,8,6,38.96111559419424,57.07638235730667,-73.07132837228602,0.0215117970048385
1,000852.SH,2024,raw,0.0029036229356317,57596,643,0.0111639697201194,385,258,39.29050791531542,129.47382377040145,-128.3246503975945,0.2525800421692311
1,000852.SH,2025,raw,0.0029036229356317,57834,181,0.0031296469204965,113,68,39.46285630020805,84.7132984896836,-93.75895738953574,0.1375852764329162
1,000852.SH,2021,standardized,3.907314467102554,57834,376,0.0065013659784901,235,141,22.949087290408844,53.257508085164304,-66.90737150029763,0.1516108811762032
1,000852.SH,2022,standardized,3.907314467102554,57596,283,0.0049135356621987,171,112,30.421196124133925,73.91997167138344,-65.77046021806824,0.114646033663023
1,000852.SH,2023,standardized,3.907314467102554,57596,224,0.0038891589693728,114,110,19.165931953076893,57.07638235730667,-73.07132837228602,0.0864084312998592
1,000852.SH,2024,standardized,3.907314467102554,57596,327,0.0056774776026112,202,125,36.533953078853386,129.47382377040145,-128.3246503975945,0.1232887465238693
1,000852.SH,2025,standardized,3.907314467102554,57834,289,0.0049970605526161,179,110,27.892011114308808,84.7132984896836,-93.75895738953574,0.125081692527603
1,000852.SH,2021,robust,5.147660747155379,57834,394,0.0068126015838434,256,138,22.76913091543705,53.257508085164304,-66.90737150029763,0.1557790927702376
1,000852.SH,2022,robust,5.147660747155379,57596,361,0.0062677963747482,232,129,27.736932595543465,73.91997167138344,-65.77046021806824,0.124335846474231
1,000852.SH,2023,robust,5.147660747155379,57596,168,0.0029168692270296,91,77,19.600516745196355,57.07638235730667,-73.07132837228602,0.0688719637818945
1,000852.SH,2024,robust,5.147660747155379,57596,389,0.0067539412459198,244,145,33.99609787861519,129.47382377040145,-128.3246503975945,0.1292224992391762
1,000852.SH,2025,robust,5.147660747155379,57834,283,0.0048933153508316,171,112,28.25022069209087,84.7132984896836,-93.75895738953574,0.1275421664207257
1,000688.SH,2021,raw,0.0029036229356317,57834,503,0.0086973060829269,296,207,36.96601086346087,80.6420984669153,-99.3254954913997,0.1923366022582903
