minutes,symbol,basis,bars,events,rate,up,down,mean_abs_tail_bp,squared_return_share
1,000688.SH,raw,115430,2191,0.018981200727713764,1264,927,41.240115126205566,0.35319877161360724
1,000688.SH,standardized,115430,442,0.003829160530191458,296,146,45.44941787083054,0.10946286163972366
1,000688.SH,robust,115430,404,0.0034999566837044097,266,138,48.746558942305754,0.11313902080136584
1,000852.SH,raw,115430,824,0.0071385255132981025,498,326,39.32836599500665,0.21348381464892735
1,000852.SH,standardized,115430,616,0.005336567616737417,381,235,32.47953550133166,0.12389831709384051
1,000852.SH,robust,115430,672,0.005821710127349909,415,257,31.57633114679021,0.12865121520064346
5,000688.SH,raw,22310,496,0.022232182877633348,286,210,91.59006351360792,0.3864791246928133
5,000688.SH,standardized,22310,120,0.005378753922008068,83,37,87.84426137487301,0.1064594033331643
5,000688.SH,robust,22310,142,0.006364858807709547,101,41,89.881278103879,0.13083722339675605
5,000852.SH,raw,22310,211,0.009457642312864186,111,100,89.60072109030072,0.2590097239407892
5,000852.SH,standardized,22310,121,0.005423576871358135,81,40,73.54121785788712,0.12660402149867742
5,000852.SH,robust,22310,119,0.005333930972658001,76,43,74.56568025165315,0.12790893932124864
