minutes,symbol,basis,vol_bin,bars,events,rate,time_share,capture,square_move_capture
1,000688.SH,raw,0,30967,34,0.00109794297155036,0.2682751451095902,0.015518028297581013,0.010125742482463248
1,000688.SH,raw,1,33035,128,0.003874678371424247,0.2861907649657801,0.05842081241442264,0.03667194826772397
1,000688.SH,raw,2,51428,2029,0.039453216146846076,0.4455340899246297,0.9260611592879964,0.9532023092498128
1,000688.SH,standardized,0,30967,157,0.005069913133335486,0.2682751451095902,0.3552036199095023,0.08234122594605477
1,000688.SH,standardized,1,33035,105,0.0031784471015589527,0.2861907649657801,0.23755656108597284,0.10039867117636735
1,000688.SH,standardized,2,51428,180,0.0035000388893209923,0.4455340899246297,0.4072398190045249,0.8172601028775779
1,000688.SH,robust,0,30967,127,0.004101139923143992,0.2682751451095902,0.31435643564356436,0.06846112911059818
1,000688.SH,robust,1,33035,86,0.002603299530800666,0.2861907649657801,0.21287128712871287,0.08051347084545342
1,000688.SH,robust,2,51428,191,0.0037139301547794976,0.4455340899246297,0.47277227722772275,0.8510254000439484
1,000852.SH,raw,0,12239,0,0.0,0.10602962834618383,0.0,0.0
1,000852.SH,raw,1,28158,19,0.0006747638326585695,0.24394005024690288,0.023058252427184466,0.014407067725706255
1,000852.SH,raw,2,75033,805,0.010728612743726093,0.6500303214069133,0.9769417475728155,0.9855929322742938
1,000852.SH,standardized,0,12239,69,0.005637715499632323,0.10602962834618383,0.11201298701298701,0.026346016699747704
1,000852.SH,standardized,1,28158,168,0.00596633283613893,0.24394005024690288,0.2727272727272727,0.11226714973439739
1,000852.SH,standardized,2,75033,379,0.005051110844561726,0.6500303214069133,0.6152597402597403,0.8613868335658549
1,000852.SH,robust,0,12239,72,0.005882833564833728,0.10602962834618383,0.10714285714285714,0.02518425541717152
1,000852.SH,robust,1,28158,181,0.006428013353221109,0.24394005024690288,0.2693452380952381,0.11258364976509654
1,000852.SH,robust,2,75033,419,0.005584209614436315,0.6500303214069133,0.6235119047619048,0.862232094817732
5,000688.SH,raw,0,5758,7,0.0012156998957971517,0.25809054235768714,0.014112903225806451,0.007424082818526053
5,000688.SH,raw,1,6570,28,0.00426179604261796,0.2944867772299417,0.056451612903225805,0.037208171511119485
5,000688.SH,raw,2,9982,461,0.04618312963334001,0.44742268041237115,0.9294354838709677,0.9553677456703545
5,000688.SH,standardized,0,5758,48,0.008336227856894755,0.25809054235768714,0.4,0.09715235837702912
5,000688.SH,standardized,1,6570,32,0.004870624048706241,0.2944867772299417,0.26666666666666666,0.1428764170626928
5,000688.SH,standardized,2,9982,40,0.004007212983370066,0.44742268041237115,0.3333333333333333,0.7599712245602781
5,000688.SH,robust,0,5758,49,0.008509899270580063,0.25809054235768714,0.34507042253521125,0.07676046758258294
5,000688.SH,robust,1,6570,35,0.00532724505327245,0.2944867772299417,0.24647887323943662,0.11370799792727519
5,000688.SH,robust,2,9982,58,0.005810458825886596,0.44742268041237115,0.4084507042253521,0.8095315344901416
5,000852.SH,raw,0,2711,0,0.0,0.12151501568803227,0.0,0.0
5,000852.SH,raw,1,7805,8,0.0010249839846252402,0.34984311967727477,0.037914691943127965,0.03488423405691802
5,000852.SH,raw,2,11794,203,0.01721214176700017,0.528641864634693,0.9620853080568721,0.9651157659430819
5,000852.SH,standardized,0,2711,23,0.008483954260420508,0.12151501568803227,0.19008264462809918,0.03470058499780008
5,000852.SH,standardized,1,7805,45,0.005765534913516977,0.34984311967727477,0.371900826446281,0.1662772918749009
5,000852.SH,standardized,2,11794,53,0.004493810412073936,0.528641864634693,0.4380165289256198,0.799022123127299
5,000852.SH,robust,0,2711,17,0.006270748801180376,0.12151501568803227,0.14285714285714285,0.028094973140000215
5,000852.SH,robust,1,7805,48,0.006149903907751442,0.34984311967727477,0.40336134453781514,0.16087113214874346
5,000852.SH,robust,2,11794,54,0.004578599287773444,0.528641864634693,0.453781512605042,0.8110338947112563
