policy,year,basis,cagr,mdd,terminal_nav,calmar,completed_trades,mean_trade_log_bp,win_rate,exposure_fraction,turnover_sides,terminal_filled_position,year_return,year_mdd,year_completed_trades,year_mean_trade_log_bp
F,2022,original_zero_cost,0.7496526871233875,0.14323804733417234,3.0612845255581,5.233614260144572,1391,7.918618632935283,0.38245866283249463,1.0,2784,1,0.7403667883669753,0.14323804733417245,684,8.367849492753662
F,2022,uniform_fee_proxy,0.32443964430129363,0.16369287261850407,1.7541403713969357,1.9820022650431424,1391,3.9182185795939475,0.3644859813084112,1.0,2784,1,0.3237498773435915,0.15986873157128756,684,4.36744943941233
A,2022,original_zero_cost,0.7615929056228066,0.1094052366892625,3.1032095651405944,6.961210712298131,901,12.588634177025375,0.3951165371809101,0.6665807560137457,1803,1,0.8617478640297608,0.10940523668926105,425,15.053665286986364
A,2022,uniform_fee_proxy,0.470938198291668,0.11897285876152275,2.163659183193541,3.9583666660952344,901,8.588234123684042,0.37846836847946724,0.6665807560137457,1803,1,0.5706644651717396,0.1189728587615222,425,11.053265233645032
B,2022,original_zero_cost,0.7846648741972516,0.15247137847944914,3.1850287131934967,5.146309307507263,1319,8.651300595000375,0.38817285822592873,0.9634450171821306,2640,1,0.722211104269922,0.15247137847944847,648,8.670895175363462
B,2022,uniform_fee_proxy,0.37053921300027143,0.1679248426084905,1.8783777343714014,2.2065777001451035,1319,4.650900541659044,0.37225170583775585,0.9634450171821306,2640,1,0.32894190774964743,0.16792484260848983,648,4.670495122022128
AB,2022,original_zero_cost,0.7553051851027359,0.10940523668926216,3.081096292848546,6.90373886990427,867,12.999821139035191,0.39677047289504036,0.6482817869415808,1735,1,0.8185583151586645,0.1094052366892605,411,14.995354477780475
AB,2022,uniform_fee_proxy,0.4756895677888073,0.11897285876152275,2.1776597004807203,3.9983032495025745,867,8.999421085693857,0.3829296424452134,0.6482817869415808,1735,1,0.5428442220828033,0.1189728587615223,411,10.994954424439145
C,2022,original_zero_cost,0.4302763933123331,0.23668496114678528,2.0456905612665315,1.817928740497745,361,18.896685779603036,0.31024930747922436,1.0,724,1,0.49256247582475354,0.23668496114678528,164,23.956709329195288
C,2022,uniform_fee_proxy,0.330374480205689,0.2503030630609656,1.769896257582556,1.3198978716661594,361,14.896285726261704,0.29916897506925205,1.0,724,1,0.3977836351033672,0.25030306306096595,164,19.95630927585395
AC,2022,original_zero_cost,0.41454153052031545,0.24400820280449276,2.0009277415667515,1.6988835856983853,272,24.800681903668192,0.33088235294117646,0.9349226804123711,546,1,0.49307506146880103,0.2440082028044931,119,34.266055734823944
AC,2022,uniform_fee_proxy,0.3393708799822924,0.2536241858445054,1.79391435414454,1.3380856358484574,272,20.800281850326858,0.3272058823529412,0.9349226804123711,546,1,0.4236628641519792,0.25362418584450563,119,30.265655681482617
BC,2022,original_zero_cost,0.4280840988707664,0.2275687448978848,2.0394241934475232,1.8811199185672767,348,19.51443825516745,0.3160919540229885,0.9936855670103093,698,1,0.4892712931797866,0.22756874489788492,156,25.043752762004853
BC,2022,uniform_fee_proxy,0.33179382489019643,0.23952635638525732,1.7736747920156581,1.3852079992255002,348,15.514038201826112,0.3045977011494253,0.9936855670103093,698,1,0.399172085946986,0.23952635638525754,156,21.043352708663512
ABC,2022,original_zero_cost,0.40498022385492677,0.24672779489103536,1.9739694294234333,1.6414049500737518,267,24.757080834020574,0.3333333333333333,0.9320017182130584,536,1,0.4786113843720325,0.24672779489103513,116,34.31307447329268
ABC,2022,uniform_fee_proxy,0.33164879032506556,0.2560116199640524,1.7732885007742103,1.2954442863633833,267,20.756680780679236,0.3295880149812734,0.9320017182130584,536,1,0.4115646258883853,0.2560116199640524,116,30.312674419951346
channel_only,2022,original_zero_cost,0.28393424578246135,0.23452304535804958,1.64848714749298,1.2106880385634384,142,33.860957112999216,0.3873239436619718,0.8407216494845361,286,1,0.3820328627064925,0.2345230453580499,67,47.77968825809629
channel_only,2022,uniform_fee_proxy,0.2477302903943406,0.23971114793493387,1.5568308775675468,1.0334533563769985,142,29.86055705965789,0.3873239436619718,0.8407216494845361,286,1,0.3454826870428848,0.23971114793493398,67,43.77928820475495
