policy,year,basis,cagr,mdd,terminal_nav,calmar,completed_trades,mean_trade_log_bp,win_rate,exposure_fraction,turnover_sides,terminal_filled_position,year_return,year_mdd,year_completed_trades,year_mean_trade_log_bp
F,2021,original_zero_cost,0.7589881317090417,0.12106815063244969,1.7589881317090463,6.269098253703822,707,7.484002072658375,0.38755304101838756,1.0,1416,1,0.7589881317090417,0.12106815063244969,707,7.484002072658375
F,2021,uniform_fee_proxy,0.3251297706761821,0.16369287261850407,1.325129770676182,1.9862182480841195,707,3.4836020193170434,0.36633663366336633,1.0,1416,1,0.3251297706761821,0.16369287261850407,707,3.4836020193170434
A,2021,original_zero_cost,0.6668259032797772,0.08382554381301532,1.6668259032797768,7.954924870719911,476,10.387713543131634,0.39705882352941174,0.6867283950617284,953,1,0.6668259032797772,0.08382554381301532,476,10.387713543131634
A,2021,uniform_fee_proxy,0.3775438555916901,0.09890252449814607,1.3775438555916906,3.8173328487562235,476,6.387313489790302,0.3760504201680672,0.6867283950617284,953,1,0.3775438555916901,0.09890252449814607,476,6.387313489790302
B,2021,original_zero_cost,0.8493834497389833,0.09703441279576319,1.8493834497389905,8.753424947567362,671,8.63237766195227,0.39642324888226527,0.970164609053498,1344,1,0.8493834497389833,0.09703441279576319,671,8.63237766195227
B,2021,uniform_fee_proxy,0.41343855846350624,0.1353629786095355,1.4134385584635065,3.0542956627461653,671,4.631977608610938,0.37555886736214605,0.970164609053498,1344,1,0.41343855846350624,0.1353629786095355,671,4.631977608610938
AB,2021,original_zero_cost,0.6942521266246731,0.0793741722924104,1.694252126624673,8.746574692673125,456,11.201215432402925,0.40350877192982454,0.6675240054869684,913,1,0.6942521266246731,0.0793741722924104,456,11.201215432402925
AB,2021,uniform_fee_proxy,0.41145792252501523,0.0934370750407354,1.4114579225250155,4.403583078190681,456,7.200815379061593,0.38377192982456143,0.6675240054869684,913,1,0.41145792252501523,0.0934370750407354,456,7.200815379061593
C,2021,original_zero_cost,0.3705895695496012,0.1417637055310511,1.3705895695496018,2.614135742017758,197,14.684280388064309,0.3147208121827411,1.0,396,1,0.3705895695496012,0.1417637055310511,197,14.684280388064309
C,2021,uniform_fee_proxy,0.2662161819140713,0.14996416882206276,1.2662161819140716,1.7751985958055438,197,10.683880334722973,0.30456852791878175,1.0,396,1,0.2662161819140713,0.14996416882206276,197,10.683880334722973
AC,2021,original_zero_cost,0.3401387466738339,0.14136610915910353,1.340138746673834,2.4060840939677943,153,17.438724479435944,0.3464052287581699,0.9421296296296297,308,1,0.3401387466738339,0.14136610915910353,153,17.438724479435944
AC,2021,uniform_fee_proxy,0.2600696410052848,0.14786763979069772,1.2600696410052863,1.7588002444172754,153,13.438324426094612,0.33986928104575165,0.9421296296296297,308,1,0.2600696410052848,0.14786763979069772,153,13.438324426094612
BC,2021,original_zero_cost,0.36941080029354145,0.13739572958154422,1.3694108002935415,2.6886628967190465,192,15.021870218362052,0.3229166666666667,0.9960562414266118,386,1,0.36941080029354145,0.13739572958154422,192,15.021870218362052
BC,2021,uniform_fee_proxy,0.2676602183749274,0.14636518569692747,1.2676602183749284,1.8287150533813465,192,11.021470165020718,0.3125,0.9960562414266118,386,1,0.2676602183749274,0.14636518569692747,192,11.021470165020718
ABC,2021,original_zero_cost,0.33501571155681775,0.14136610915910386,1.3350157115568173,2.3698446080861313,151,17.416052607824785,0.3509933774834437,0.9402434842249657,304,1,0.33501571155681775,0.14136610915910386,151,17.416052607824785
ABC,2021,uniform_fee_proxy,0.25625739569534034,0.14786763979069772,1.2562573956953418,1.7330187731275424,151,13.415652554483453,0.3443708609271523,0.9402434842249657,304,1,0.25625739569534034,0.14786763979069772,151,13.415652554483453
channel_only,2021,original_zero_cost,0.19279880527925858,0.16846205773551348,1.192798805279259,1.1444642661432638,75,21.42689062337918,0.41333333333333333,0.8317901234567902,152,1,0.19279880527925858,0.16846205773551348,75,21.42689062337918
channel_only,2021,uniform_fee_proxy,0.15707982909030507,0.17409789577724444,1.1570798290903053,0.9022500150793682,75,17.426490570037846,0.41333333333333333,0.8317901234567902,152,1,0.15707982909030507,0.17409789577724444,75,17.426490570037846
