policy,year,basis,cagr,mdd,terminal_nav,calmar,completed_trades,mean_trade_log_bp,win_rate,exposure_fraction,turnover_sides,terminal_filled_position,year_return,year_mdd,year_completed_trades,year_mean_trade_log_bp
F,2021,original_zero_cost,0.7589881317090417,0.1210681506324496,1.7589881317090463,6.269098253703822,707,7.484002072658375,0.3875530410183875,1.0,1416,1,0.7589881317090417,0.1210681506324496,707,7.484002072658375
F,2021,uniform_fee_proxy,0.3251297706761821,0.163692872618504,1.325129770676182,1.9862182480841195,707,3.4836020193170434,0.3663366336633663,1.0,1416,1,0.3251297706761821,0.163692872618504,707,3.4836020193170434
A,2021,original_zero_cost,0.6668259032797772,0.0838255438130153,1.6668259032797768,7.954924870719911,476,10.387713543131634,0.3970588235294117,0.6867283950617284,953,1,0.6668259032797772,0.0838255438130153,476,10.387713543131634
A,2021,uniform_fee_proxy,0.3775438555916901,0.098902524498146,1.3775438555916906,3.817332848756224,476,6.387313489790302,0.3760504201680672,0.6867283950617284,953,1,0.3775438555916901,0.098902524498146,476,6.387313489790302
B,2021,original_zero_cost,0.8493834497389833,0.0970344127957631,1.8493834497389905,8.753424947567362,671,8.63237766195227,0.3964232488822652,0.970164609053498,1344,1,0.8493834497389833,0.0970344127957631,671,8.63237766195227
B,2021,uniform_fee_proxy,0.4134385584635062,0.1353629786095355,1.4134385584635063,3.0542956627461653,671,4.631977608610938,0.375558867362146,0.970164609053498,1344,1,0.4134385584635062,0.1353629786095355,671,4.631977608610938
AB,2021,original_zero_cost,0.6942521266246731,0.0793741722924104,1.694252126624673,8.746574692673125,456,11.201215432402924,0.4035087719298245,0.6675240054869684,913,1,0.6942521266246731,0.0793741722924104,456,11.201215432402924
AB,2021,uniform_fee_proxy,0.4114579225250152,0.0934370750407354,1.4114579225250157,4.403583078190681,456,7.200815379061593,0.3837719298245614,0.6675240054869684,913,1,0.4114579225250152,0.0934370750407354,456,7.200815379061593
C,2021,original_zero_cost,0.3705895695496012,0.1417637055310511,1.3705895695496018,2.614135742017758,197,14.684280388064307,0.3147208121827411,1.0,396,1,0.3705895695496012,0.1417637055310511,197,14.684280388064307
C,2021,uniform_fee_proxy,0.2662161819140713,0.1499641688220627,1.2662161819140716,1.7751985958055438,197,10.683880334722971,0.3045685279187817,1.0,396,1,0.2662161819140713,0.1499641688220627,197,10.683880334722971
AC,2021,original_zero_cost,0.3401387466738339,0.1413661091591035,1.340138746673834,2.4060840939677943,153,17.438724479435944,0.3464052287581699,0.9421296296296297,308,1,0.3401387466738339,0.1413661091591035,153,17.438724479435944
AC,2021,uniform_fee_proxy,0.2600696410052848,0.1478676397906977,1.2600696410052863,1.7588002444172754,153,13.438324426094612,0.3398692810457516,0.9421296296296297,308,1,0.2600696410052848,0.1478676397906977,153,13.438324426094612
BC,2021,original_zero_cost,0.3694108002935414,0.1373957295815442,1.3694108002935417,2.6886628967190465,192,15.021870218362052,0.3229166666666667,0.9960562414266118,386,1,0.3694108002935414,0.1373957295815442,192,15.021870218362052
BC,2021,uniform_fee_proxy,0.2676602183749274,0.1463651856969274,1.2676602183749284,1.8287150533813463,192,11.021470165020718,0.3125,0.9960562414266118,386,1,0.2676602183749274,0.1463651856969274,192,11.021470165020718
ABC,2021,original_zero_cost,0.3350157115568177,0.1413661091591038,1.3350157115568173,2.3698446080861317,151,17.416052607824785,0.3509933774834437,0.9402434842249656,304,1,0.3350157115568177,0.1413661091591038,151,17.416052607824785
ABC,2021,uniform_fee_proxy,0.2562573956953403,0.1478676397906977,1.2562573956953418,1.7330187731275424,151,13.415652554483453,0.3443708609271523,0.9402434842249656,304,1,0.2562573956953403,0.1478676397906977,151,13.415652554483453
channel_only,2021,original_zero_cost,0.1927988052792585,0.1684620577355134,1.192798805279259,1.1444642661432638,75,21.42689062337918,0.4133333333333333,0.8317901234567902,152,1,0.1927988052792585,0.1684620577355134,75,21.42689062337918
channel_only,2021,uniform_fee_proxy,0.157079829090305,0.1740978957772444,1.1570798290903053,0.9022500150793682,75,17.426490570037846,0.4133333333333333,0.8317901234567902,152,1,0.157079829090305,0.1740978957772444,75,17.426490570037846
F,2022,original_zero_cost,0.7496526871233875,0.1432380473341723,3.0612845255581,5.233614260144572,1391,7.918618632935283,0.3824586628324946,1.0,2784,1,0.7403667883669753,0.1432380473341724,684,8.367849492753662
F,2022,uniform_fee_proxy,0.3244396443012936,0.163692872618504,1.7541403713969357,1.9820022650431424,1391,3.918218579593948,0.3644859813084112,1.0,2784,1,0.3237498773435915,0.1598687315712875,684,4.36744943941233
