day,year,slot,q,high
2021-01-04,2021,0,1.9655091726102785,True
2021-01-04,2021,1,1.7284964489590284,False
2021-01-04,2021,2,1.328999914402486,False
2021-01-04,2021,3,1.674597879312295,False
2021-01-05,2021,0,1.5611586259524917,False
2021-01-05,2021,1,1.5063128846619744,False
2021-01-05,2021,2,1.2167286314068624,False
2021-01-05,2021,3,1.5554231371776868,False
2021-01-06,2021,0,1.2354411377320973,False
2021-01-06,2021,1,1.6542552645310635,False
2021-01-06,2021,2,1.894514829168716,True
2021-01-06,2021,3,1.6254537956242678,False
2021-01-07,2021,0,1.2980576473822658,False
2021-01-07,2021,1,1.3811991176102818,False
2021-01-07,2021,2,1.2814786248704202,False
2021-01-07,2021,3,1.2586842068113964,False
2021-01-08,2021,0,1.5191153704868587,False
2021-01-08,2021,1,1.6096171160336075,False
2021-01-08,2021,2,1.84476132851846,True
2021-01-08,2021,3,1.3654693850088806,False
2021-01-11,2021,0,1.6079456550072972,False
2021-01-11,2021,1,1.2957865510340025,False
2021-01-11,2021,2,1.35715976946371,False
2021-01-11,2021,3,1.6284681141461752,False
2021-01-12,2021,0,1.932454515769696,True
2021-01-12,2021,1,1.4433914838796942,False
2021-01-12,2021,2,1.4370639229031736,False
2021-01-12,2021,3,1.5554769902490437,False
2021-01-13,2021,0,1.3796402561626435,False
2021-01-13,2021,1,2.055135561351905,True
2021-01-13,2021,2,1.3697000213345882,False
2021-01-13,2021,3,1.4996470085842388,False
2021-01-14,2021,0,1.3723713061515077,False
2021-01-14,2021,1,1.2488599124967645,False
2021-01-14,2021,2,1.4302331955700478,False
2021-01-14,2021,3,1.4989592561712273,False
2021-01-15,2021,0,1.8825249654680574,True
2021-01-15,2021,1,1.5022968460419637,False
2021-01-15,2021,2,1.7488976093448128,False
2021-01-15,2021,3,1.7466571254061332,False
2021-01-18,2021,0,2.0125550838647466,True
2021-01-18,2021,1,1.774749299989745,True
2021-01-18,2021,2,1.4412045081529925,False
2021-01-18,2021,3,1.64970741880701,False
2021-01-19,2021,0,1.56739678471316,False
2021-01-19,2021,1,1.4361560482419022,False
2021-01-19,2021,2,1.3174051817447816,False
2021-01-19,2021,3,1.8192840676324615,True
2021-01-20,2021,0,1.659136053176452,False
2021-01-20,2021,1,1.5141288690173043,False
2021-01-20,2021,2,1.3034565989332452,False
2021-01-20,2021,3,1.612427839525684,False
2021-01-21,2021,0,1.265020954120544,False
2021-01-21,2021,1,1.3963444572545856,False
2021-01-21,2021,2,1.2069812996795632,False
2021-01-21,2021,3,1.93218392719743,True
2021-01-22,2021,0,1.4690500077655972,False
2021-01-22,2021,1,1.4321807156815107,False
2021-01-22,2021,2,1.6380371959971576,False
2021-01-22,2021,3,1.474524896482452,False
2021-01-25,2021,0,1.4652847665421462,False
2021-01-25,2021,1,1.3151403433002629,False
2021-01-25,2021,2,1.4180558277667874,False
2021-01-25,2021,3,1.6372983245022503,False
2021-01-26,2021,0,1.1964894591820274,False
2021-01-26,2021,1,1.2925165220449173,False
2021-01-26,2021,2,2.1709018011142844,True
2021-01-26,2021,3,1.5680873974358427,False
2021-01-27,2021,0,1.4971270784216137,False
2021-01-27,2021,1,1.6761690794220894,False
2021-01-27,2021,2,1.53552386234043,False
2021-01-27,2021,3,1.4497518364471262,False
2021-01-28,2021,0,1.7778044070762853,True
2021-01-28,2021,1,1.4957347909537264,False
2021-01-28,2021,2,1.393974544048303,False
2021-01-28,2021,3,1.290246440184958,False
2021-01-29,2021,0,1.4888531707847197,False
2021-01-29,2021,1,1.6837935744256198,False
2021-01-29,2021,2,1.812923237328214,True
2021-01-29,2021,3,1.3333295047053135,False
2021-02-01,2021,0,1.4243540741267664,False
2021-02-01,2021,1,1.3048228132332693,False
2021-02-01,2021,2,1.5006056485119088,False
2021-02-01,2021,3,1.617085592785743,False
2021-02-02,2021,0,2.028314059132669,True
2021-02-02,2021,1,1.6792113601703864,False
2021-02-02,2021,2,1.6907050341550953,False
2021-02-02,2021,3,1.5368291694882128,False
2021-02-03,2021,0,1.2627673646620654,False
2021-02-03,2021,1,1.521756110930356,False
2021-02-03,2021,2,1.2875800290930821,False
2021-02-03,2021,3,1.4899789062716173,False
2021-02-04,2021,0,1.6744050046388297,False
2021-02-04,2021,1,1.4700253577290618,False
2021-02-04,2021,2,1.625178587310655,False
2021-02-04,2021,3,1.421750386475153,False
2021-02-05,2021,0,1.6244010648898766,False
2021-02-05,2021,1,1.4090430789096342,False
2021-02-05,2021,2,1.4905587430332898,False
2021-02-05,2021,3,1.342879845559876,False
2021-02-08,2021,0,1.6747226030301219,False
2021-02-08,2021,1,1.393118729319229,False
2021-02-08,2021,2,1.631125328067701,False
2021-02-08,2021,3,1.3483494131430132,False
2021-02-09,2021,0,1.490104003813429,False
2021-02-09,2021,1,1.504777243118091,False
2021-02-09,2021,2,1.3978634610799716,False
2021-02-09,2021,3,1.311640510490319,False
2021-02-10,2021,0,1.6328827702295126,False
2021-02-10,2021,1,1.4723378190261402,False
2021-02-10,2021,2,1.568868150738742,False
2021-02-10,2021,3,1.3860964644783897,False
2021-02-18,2021,0,1.1875285482065345,False
2021-02-18,2021,1,1.362147465761333,False
2021-02-18,2021,2,1.4121798502772605,False
2021-02-18,2021,3,1.5878283557182742,False
2021-02-19,2021,0,1.9119319837930917,True
2021-02-19,2021,1,1.403753098577321,False
2021-02-19,2021,2,1.4361309384499443,False
2021-02-19,2021,3,1.1522195173999366,False
2021-02-22,2021,0,1.9979234053347943,True
2021-02-22,2021,1,1.57496706927677,False
2021-02-22,2021,2,1.5691107452190152,False
2021-02-22,2021,3,1.7326022244203882,False
2021-02-23,2021,0,1.7609737016702707,True
2021-02-23,2021,1,1.503499398458886,False
2021-02-23,2021,2,2.0866233373602467,True
2021-02-23,2021,3,1.4891095361746838,False
2021-02-24,2021,0,1.3838401967353047,False
2021-02-24,2021,1,1.56338855939133,False
2021-02-24,2021,2,1.5534124187482932,False
2021-02-24,2021,3,1.9615448426605961,True
2021-02-25,2021,0,1.2636562726100002,False
2021-02-25,2021,1,1.9553264984042378,True
2021-02-25,2021,2,1.3651593612136175,False
2021-02-25,2021,3,1.3741439159850999,False
2021-02-26,2021,0,3.185471442671582,True
2021-02-26,2021,1,1.5839562313944147,False
