quarter,gross_log,net_log,turnover_sides,policy
2021Q1,0.046774849156710284,-0.026032431814102003,364,F
2021Q2,0.15722032775034483,0.08321292676353015,370,F
2021Q3,0.1414104038413025,0.06900316287582432,362,F
2021Q4,0.21933313780354027,0.15532673695007893,320,F
2022Q1,0.16857621581883106,0.10296965494403319,328,F
2022Q2,0.2486759692449977,0.1810692083435292,338,F
2022Q3,0.046214031519810406,-0.030593649504343203,384,F
2022Q4,0.0906296723400951,0.027023311491967877,318,F
2023Q1,0.11895560036665215,0.051748879470517734,336,F
2023Q2,-0.008803350452200716,-0.08081055141234474,360,F
2023Q3,0.10534519125559444,0.028937550236774953,382,F
2023Q4,0.0585963125499535,-0.01061060837285159,346,F
2024Q1,0.4462759408164093,0.385469860005621,304,F
2024Q2,0.07288558669471817,0.0020785057505765523,354,F
2024Q3,0.22565472672957176,0.1580479658281032,338,F
2024Q4,0.4817127136055918,0.40890543263477946,364,F
2025Q1,0.09755641234780724,0.026349291398331472,356,F
2025Q2,0.06233988341017253,-0.005666917496630164,340,F
2025Q3,0.13226580714008007,0.05825840615326539,370,F
2025Q4,0.21156113364117718,0.14515449275571105,332,F
2021Q1,0.08300109938421506,0.033596158725449576,247,A
2021Q2,0.1473752195089429,0.09857033885817862,244,A
2021Q3,0.1362109796982498,0.09120647909815978,225,A
2021Q4,0.14433386257860614,0.09692912194651132,237,A
2022Q1,0.16965771738248295,0.13005375685440373,198,A
2022Q2,0.2229921732100585,0.1809879726499745,210,A
2022Q3,0.08703665407296889,0.04023197344887528,234,A
2022Q4,0.1418292136507942,0.10022505309604432,208,A
2023Q1,0.1569942825131551,0.11178976191039802,226,A
2023Q2,0.004556541244034383,-0.04824873946007123,264,A
2023Q3,0.13663961526837884,0.08503445458027563,258,A
2023Q4,0.03270584140016843,-0.014498879229259312,236,A
2024Q1,0.40676375120400804,0.3625593306145863,221,A
2024Q2,0.05258385857635546,0.004179017930925306,242,A
2024Q3,0.07100554114021704,0.030601500601469545,202,A
2024Q4,0.41535638296402155,0.35915076221457576,281,A
2025Q1,0.12783062900899742,0.07722556833422954,253,A
2025Q2,0.010488049893256773,-0.03151615066682724,210,A
2025Q3,-0.02128315373767909,-0.07448847444711884,266,A
2025Q4,0.2197189955485688,0.17371439493514346,230,A
2021Q1,0.07585035465393444,0.006643433731129353,346,B
2021Q2,0.17800172446024481,0.10599452350010082,360,B
2021Q3,0.13092520179647285,0.06251836088433604,342,B
2021Q4,0.23007503222129563,0.17086911143184386,296,B
2022Q1,0.1919217014493848,0.1307155806332624,306,B
2022Q2,0.236658982086732,0.1722525412279365,322,B
2022Q3,0.045310996958972144,-0.028696404027842536,370,B
2022Q4,0.06971731048784852,0.010111349693062639,298,B
2023Q1,0.12667214674668065,0.06146562587721689,326,B
2023Q2,-0.00490144597286239,-0.07410836689566747,346,B
2023Q3,0.11496513941558714,0.04455809847677966,352,B
2023Q4,0.059788139396885855,-0.005818421477912033,328,B
2024Q1,0.46325750533777005,0.4052517045643207,290,B
2024Q2,0.06192678644797253,-0.005279934448161897,336,B
2024Q3,0.21273000028194206,0.14832355942314657,322,B
2024Q4,0.43493943602525664,0.3657325151024516,346,B
2025Q1,0.07909709747606572,0.011490336574597176,338,B
2025Q2,0.030598585939899295,-0.03340781491356206,320,B
2025Q3,0.132102751681423,0.060495590726613126,358,B
2025Q4,0.21391538778739913,0.15230922696594257,308,B
2021Q1,0.0819868438592625,0.03338198321116528,243,AB
2021Q2,0.15935549135890237,0.1117507307241405,238,AB
2021Q3,0.13563021444120388,0.09262591386778454,215,AB
2021Q4,0.15026887057515248,0.10686452999639899,217,AB
2022Q1,0.1682195280733981,0.13021572756665542,190,AB
2022Q2,0.20011788424926602,0.16011388371585267,200,AB
2022Q3,0.086123829250647,0.0405192686425558,228,AB
2022Q4,0.1435828110828506,0.10277873053876899,204,AB
2023Q1,0.16618409180005828,0.12217969121330359,220,AB
2023Q2,0.0035332965178152083,-0.047671824164953865,256,AB
2023Q3,0.14270046354100038,0.09509570290623849,238,AB
2023Q4,0.03249800121863207,-0.01310655938945914,228,AB
2024Q1,0.4169664093608661,0.3743621487927809,213,AB
2024Q2,0.04076330271862947,-0.004441217884127617,226,AB
2024Q3,0.042633445186081746,0.003829564668670793,194,AB
2024Q4,0.3581177638282597,0.3047124231161529,267,AB
2025Q1,0.11843232984314349,0.06982746919504629,243,AB
2025Q2,0.0015790512966741377,-0.03882498924207334,202,AB
2025Q3,-0.020598224233543516,-0.07220338492164673,258,AB
2025Q4,0.22441285227858068,0.180408451691826,220,AB
2021Q1,0.13458258118604352,0.11738086095667577,86,C
2021Q2,0.13390529674734428,0.11110301644329866,114,C
2021Q3,-0.014227126955743345,-0.035829287243786555,108,C
2021Q4,0.06098023902844587,0.043378478793744,88,C
2022Q1,0.014654299056397143,-0.002947461178304727,88,C
2022Q2,0.22267223274310619,0.20787075254574325,74,C
2022Q3,-0.034318543179954177,-0.05592070346799738,108,C
2022Q4,0.19748643663805296,0.1858852764833631,58,C
2023Q1,-0.052307739253643445,-0.07791029959502799,128,C
2023Q2,0.19281473365911284,0.18041349349375468,62,C
2023Q3,0.153193122778108,0.13919172259141335,70,C
2023Q4,0.008532361077515049,-0.008269319146518562,84,C
2024Q1,0.21986041470499607,0.20665909452896966,66,C
2024Q2,0.034237839231115036,0.014235838964408361,100,C
2024Q3,0.38564761483700927,0.3716462146503146,70,C
2024Q4,0.05134464190926493,0.035743081701233734,78,C
2025Q1,0.08090162704187023,0.06810034687117797,64,C
2025Q2,0.07220234689108308,0.059001026715056686,66,C
2025Q3,0.17586476961328767,0.15506268933591275,104,C
2025Q4,-0.06646091790840299,-0.08526279815910726,94,C
2021Q1,0.12483634698766119,0.11083494680096652,70,AC
2021Q2,0.143478643816611,0.12627692358724324,86,AC
2021Q3,-0.03311072197763898,-0.04991240220167259,84,AC
2021Q4,0.05756888206995948,0.04396752188859895,68,AC
2022Q1,0.033034198634611114,0.02183307848525538,56,AC
2022Q2,0.22559959226449228,0.21439847211513655,56,AC
2022Q3,-0.022993458695358245,-0.03859501890338945,78,AC
2022Q4,0.16519746068819371,0.15559650056017452,48,AC
2023Q1,-0.03434367482019445,-0.05194543505489633,88,AC
2023Q2,0.16589952236014047,0.155498482221453,52,AC
2023Q3,0.1862895691053378,0.1754884889613162,54,AC
2023Q4,-0.019279291665348423,-0.0320805718360407,64,AC
2024Q1,0.2224629653687532,0.2116618852247316,54,AC
2024Q2,0.023842885773167836,0.00984148558647316,70,AC
2024Q3,0.3301055861731865,0.32090466605050144,46,AC
2024Q4,-0.0013886551243507588,-0.014189935295043027,64,AC
2025Q1,0.13106570545713836,0.12226482533978743,44,AC
2025Q2,0.06831379532739999,0.05951291521004907,44,AC
2025Q3,0.14664609530973358,0.13184461511237064,74,AC
2025Q4,-0.0847271354770759,-0.09772843565043524,65,AC
2021Q1,0.13458258118604352,0.11738086095667577,86,BC
2021Q2,0.1344912781207579,0.11208903782204643,112,BC
2021Q3,-0.019745942997119532,-0.04054802327449447,104,BC
2021Q4,0.06505265824409306,0.04825097802005946,84,BC
