a,b,c,year,start,peak,end,bars,sigma,net_log,capture,peak_fraction,time_mass_skew,motion_concentration,half_height_width,negative_area_share,amplitude,net_trend_normalized
49,55,66,2021,2021-01-05 09:40:00,2021-01-05 10:10:00,2021-01-05 11:05:00,17,0.0016153986693090015,0.0007495202807176779,0.028914023402356458,0.35294117647058826,0.24747639959523401,1.6752251087706265,0.3888888888888889,0.0144590751168896,0.010251008298046038,-0.3308231383478508
68,83,86,2021,2021-01-05 11:15:00,2021-01-05 14:00:00,2021-01-05 14:15:00,18,0.0017512649144616223,-0.0008404425216641898,-0.04089787524652622,0.8333333333333334,-0.03858107367937565,1.2120604725724815,0.5789473684210527,0.032798184069827374,0.009169688197584236,0.5109700202634411
86,95,103,2021,2021-01-05 14:15:00,2021-01-05 15:00:00,2021-01-06 10:10:00,17,0.0017640665133847949,-0.0013614784459530078,-0.047409347597004166,0.5294117647058824,-0.32340155948748983,1.9380421989209218,0.3333333333333333,0.0033849095912821315,0.011007865817658669,-0.4217892118949064
103,108,114,2021,2021-01-06 10:10:00,2021-01-06 10:35:00,2021-01-06 11:05:00,11,0.0018479405371349185,-0.00851022675242185,-0.5212677625364551,0.45454545454545453,-0.1721810408678648,1.3766063923114704,0.5,0.06198363894571649,0.007693920258922127,0.016545446312848655
114,115,123,2021,2021-01-06 11:05:00,2021-01-06 11:10:00,2021-01-06 13:20:00,9,0.001801963800494007,0.000602352025639146,0.04240493160950544,0.1111111111111111,0.9828124235633401,1.5728101135507868,0.2,0.20107890454273664,0.006851183993115129,-0.4320951056100975
123,127,132,2021,2021-01-06 13:20:00,2021-01-06 13:40:00,2021-01-06 14:05:00,9,0.0018454353366358794,0.00043959161229732246,0.07566397442440954,0.4444444444444444,0.009556311625539047,1.342693918366454,0.6,0.0,0.0022885494002302664,-0.0433911336526824
132,141,156,2021,2021-01-06 14:05:00,2021-01-06 14:50:00,2021-01-07 10:35:00,24,0.0018030578106026358,0.004592312189861191,0.1271592846933064,0.375,-0.10472988824972619,1.6862818117706473,0.48,0.022368184476015896,0.021167078469091827,-0.8050646844714463
156,159,162,2021,2021-01-07 10:35:00,2021-01-07 10:50:00,2021-01-07 11:05:00,6,0.0015883834937803815,-0.0014631213216662114,-0.29058148122644006,0.5,0.49957672264649355,1.3807440374303224,0.2857142857142857,0.0,0.0028459975330994425,0.46617689516568733
162,167,180,2021,2021-01-07 11:05:00,2021-01-07 11:30:00,2021-01-07 14:05:00,18,0.0014173595165881655,0.0028578956191749535,0.1419820150958727,0.2777777777777778,0.015543947363848142,1.3624507133369033,0.3684210526315789,0.10355460607265243,0.01392016342067226,-0.7733737914532358
180,187,188,2021,2021-01-07 14:05:00,2021-01-07 14:40:00,2021-01-07 14:45:00,8,0.0015235705751789146,-0.004151752042001373,-0.357094169469077,0.875,-1.2994497835964878,1.178133693035083,0.3333333333333333,0.2142545681718707,0.006955955667598879,0.42763690680395544
188,189,197,2021,2021-01-07 14:45:00,2021-01-07 14:50:00,2021-01-08 10:00:00,9,0.0018121051886866445,-0.008610196688795244,-0.30405879650873163,0.1111111111111111,1.0778882655872446,1.3222931208389799,0.3,0.5228367968988283,0.010716142051581556,-0.27282565237419515
197,205,215,2021,2021-01-08 10:00:00,2021-01-08 10:40:00,2021-01-08 11:30:00,18,0.002275940180158829,-0.0066296481027774004,-0.20792852585921942,0.4444444444444444,0.3509333986954788,1.7163849655417465,0.3684210526315789,0.029704510011483436,0.010886368238998578,-0.23580313523641985
215,222,229,2021,2021-01-08 11:30:00,2021-01-08 13:35:00,2021-01-08 14:10:00,14,0.0024667187388172406,-0.014898755780468799,-0.725195702231479,0.5,0.011599495898025777,1.8243446421078091,0.26666666666666666,0.006775324717149025,0.008832920039424152,0.4249473100547243
229,251,253,2021,2021-01-08 14:10:00,2021-01-11 10:30:00,2021-01-11 10:40:00,24,0.0024216073396543824,0.016990009408837645,0.38031723661619443,0.9166666666666666,-0.030290550803870615,1.7985866235027688,0.36,0.22657884859070884,0.024621146952779505,0.721582800220003
253,257,278,2021,2021-01-11 10:40:00,2021-01-11 11:00:00,2021-01-11 14:15:00,25,0.002233423487628024,0.0022361335008486334,0.05038110699860907,0.16,0.33598455736863475,1.3430794720756225,0.46153846153846156,0.0,0.020401909739540258,-0.7376338285858839
278,284,289,2021,2021-01-11 14:15:00,2021-01-11 14:45:00,2021-01-12 09:40:00,11,0.002520050050801594,-0.00742397073517974,-0.36618815110968284,0.5454545454545454,0.06195685295104962,1.5003159302700757,0.6666666666666666,0.0,0.011784951724633785,0.3912437009817159
289,300,308,2021,2021-01-12 09:40:00,2021-01-12 10:35:00,2021-01-12 11:15:00,19,0.002219058521348358,-0.0059510558555864205,-0.2629963332498809,0.5789473684210527,0.2599458749787801,2.3225242031520277,0.6,0.0,0.012644226036782946,0.704495484892409
308,321,329,2021,2021-01-12 11:15:00,2021-01-12 13:50:00,2021-01-12 14:30:00,21,0.0018503873610988763,-0.0038003696817074245,-0.18056862628548295,0.6190476190476191,-0.1404785593163323,1.3828836159252802,0.36363636363636365,0.0,0.007487360006948052,0.4647407065676692
329,337,344,2021,2021-01-12 14:30:00,2021-01-13 09:40:00,2021-01-13 10:15:00,15,0.0014514123017658825,-0.008310769749216976,-0.3662584544374917,0.5333333333333333,-0.41714499408084027,1.7719030345421625,0.25,0.04413161188526007,0.008809064885570983,0.17071871289996596
344,356,369,2021,2021-01-13 10:15:00,2021-01-13 11:15:00,2021-01-13 13:50:00,25,0.0018217605591322075,-0.006492360005464519,-0.16961488213752626,0.48,-0.22683710050883737,1.6510888457011357,0.38461538461538464,0.0,0.01544829162944339,-0.652860977709097
369,385,390,2021,2021-01-13 13:50:00,2021-01-14 09:40:00,2021-01-14 10:05:00,21,0.002075712688122798,-0.006361033123947499,-0.13973359394428328,0.7619047619047619,-0.43307175720836194,1.7901500535096697,0.22727272727272727,0.0,0.02166982145539631,0.3568354563555341
390,410,429,2021,2021-01-14 10:05:00,2021-01-14 13:15:00,2021-01-14 14:50:00,39,0.0029627627826567735,0.035305736223716896,0.34310007259498626,0.5128205128205128,-0.009520853852699147,1.3937907128744291,0.475,0.0,0.05317936443881077,0.6065402148931557
429,441,445,2021,2021-01-14 14:50:00,2021-01-15 10:20:00,2021-01-15 10:40:00,16,0.0029561420033149643,-0.010016043164833979,-0.32733473910861594,0.75,-0.3201919144686751,1.9436468297586962,0.47058823529411764,0.07665227385285536,0.011854464620165928,0.6875656364235538
445,447,459,2021,2021-01-15 10:40:00,2021-01-15 10:50:00,2021-01-15 13:20:00,14,0.0025721741596183676,0.007902944673500804,0.2503968937015686,0.14285714285714285,0.37409429329550975,1.6811023876691968,0.5333333333333333,0.021973738065996687,0.022203567489547993,-0.8292584475915216
459,473,480,2021,2021-01-15 13:20:00,2021-01-15 14:30:00,2021-01-18 09:35:00,21,0.0025724820431853954,-0.006191720890131604,-0.1738316103946817,0.6666666666666666,-0.4563065780103812,1.8149691275417272,0.5454545454545454,0.0,0.015521913684529487,0.2805826682856815
480,508,518,2021,2021-01-18 09:35:00,2021-01-18 13:25:00,2021-01-18 14:15:00,38,0.0027969565858841556,-0.009516723625419408,-0.1293176666850639,0.7368421052631579,-0.14258276456861727,1.94051264613597,0.717948717948718,0.003494252943853221,0.0376764601028059,0.8134458138798765
518,521,525,2021,2021-01-18 14:15:00,2021-01-18 14:30:00,2021-01-18 14:50:00,7,0.002520669571309881,0.0011691362902283898,0.09788679587942563,0.42857142857142855,-1.239309865759243,1.7286153018902806,0.125,0.4210670051195326,0.005328345849909155,-0.2976393538775126
525,527,534,2021,2021-01-18 14:50:00,2021-01-18 15:00:00,2021-01-19 10:05:00,9,0.0024428287152687984,0.005335877195522263,0.3068020451803986,0.2222222222222222,0.8757774665914823,1.5913359181738072,0.2,0.0649355689014372,0.011368023825968798,-0.6134840104470116
534,536,548,2021,2021-01-19 10:05:00,2021-01-19 10:15:00,2021-01-19 11:15:00,14,0.002079334590962145,0.008602555970254062,0.4001912287844328,0.14285714285714285,0.6963680540677022,1.5469011068210843,0.4,0.03414269881022385,0.01188429660186685,-0.6024818994628148
548,556,572,2021,2021-01-19 11:15:00,2021-01-19 13:25:00,2021-01-19 14:45:00,24,0.001907427994617361,-0.0021955117567149032,-0.062134388529442384,0.3333333333333333,0.19939808931910377,1.429496485151919,0.4,0.004004461383465007,0.01575809333649314,-0.6778337828577938
572,591,601,2021,2021-01-19 14:45:00,2021-01-20 10:50:00,2021-01-20 13:10:00,29,0.002010249112103621,0.0046767974453124864,0.09406755016006886,0.6551724137931034,-0.18382539005067944,1.8511247777356457,0.5333333333333333,0.018351817284838656,0.024135315490469544,0.5842298692133011
601,622,630,2021,2021-01-20 13:10:00,2021-01-20 14:55:00,2021-01-21 10:05:00,29,0.00209202053301566,-0.008142314881635323,-0.184657638357759,0.7241379310344828,-0.18516419511158327,1.3986782527891757,0.5,0.02589760133448892,0.013732460783177913,0.2991502414100109
630,649,663,2021,2021-01-21 10:05:00,2021-01-21 13:10:00,2021-01-21 14:20:00,33,0.0016818577479417668,0.004649382767769902,0.10716378006252154,0.5757575757575758,-0.219271883266359,1.4399516905858845,0.38235294117647056,0.00565702517220221,0.014902218028482572,0.5651555756844545
663,665,682,2021,2021-01-21 14:20:00,2021-01-21 14:30:00,2021-01-22 10:25:00,19,0.0015937164479770732,0.012919164623129987,0.6009988607627706,0.10526315789473684,0.30709220618262373,1.7014201743199422,0.5,0.0174747766444812,0.016760358407406528,-0.8874783349428038
682,683,688,2021,2021-01-22 10:25:00,2021-01-22 10:30:00,2021-01-22 10:55:00,6,0.001653586640549807,0.0033793753643125484,0.2598312622608498,0.16666666666666666,0.1444654150398188,1.4251123101939702,0.2857142857142857,0.14748232248617116,0.006711939186773819,-0.18055905990810797
688,717,723,2021,2021-01-22 10:55:00,2021-01-22 14:50:00,2021-01-25 09:50:00,35,0.0018166351298955924,-0.0031560905726724384,-0.06698819643940553,0.8285714285714286,-0.3390969774142215,1.8586893714511403,0.4722222222222222,0.013797867137381882,0.01901145002434923,0.506389250260116
723,748,752,2021,2021-01-25 09:50:00,2021-01-25 13:25:00,2021-01-25 13:45:00,29,0.0018795911136288827,0.0030317532608824115,0.06049889192669787,0.8620689655172413,0.16896272923887767,1.3885643737931739,0.5,0.0028451491636346327,0.025358519623752684,0.8125046870398037
