period,family,p1,p2,capture,capture_min,capture_max,net_log_per_cycle,long_log_per_cycle,short_log_per_cycle
24,phase,0.0,0.0,-1.0064127825194299e-14,-1.0084921477725692e-14,-1.0043334172662906e-14,-1.0495077029659683e-16,-2.0816681711721685e-16,1.0375272689600035e-16
24,phase,0.0,1.5707963267948966,0.0688037529363035,0.0688037529363035,0.0688037529363035,0.0008713203435598863,0.00043566017178009984,0.00043566017177978645
24,phase,0.0,3.141592653589793,-0.22781142841473612,-0.22781142841473612,-0.22781142841473612,-0.0030754542835989378,-0.00153772714179938,-0.0015377271417995574
24,phase,0.0,4.71238898038469,0.0386665888661361,0.03866658886613605,0.038666588866136116,0.0004896678459723077,0.0002448339229861624,0.0002448339229861445
24,phase,1.5707963267948966,0.0,0.05310895392662187,0.05310895392662185,0.05310895392662189,0.000699489742783648,0.0003497448713916043,0.00034974487139204406
24,phase,1.5707963267948966,1.5707963267948966,0.07890396760507586,0.07890396760507586,0.07890396760507586,0.0009820508075690806,0.000491025403784594,0.0004910254037844879
24,phase,1.5707963267948966,3.141592653589793,0.04781550514167845,0.04781550514167844,0.04781550514167848,0.0005355339059323314,0.00026776695296620607,0.0002677669529661253
24,phase,1.5707963267948966,4.71238898038469,-0.13530052945069,-0.13530052945069002,-0.13530052945068996,-0.0014820508075689821,-0.0007410254037845552,-0.0007410254037844272
24,phase,3.141592653589793,0.0,-2.389284663463821e-15,-2.397583992669215e-15,-2.379141038879451e-15,-2.809167828909942e-17,-1.0234868508263162e-16,7.45931094670027e-17
24,phase,3.141592653589793,1.5707963267948966,-1.5381163854785227e-14,-1.5410622631619863e-14,-1.5355387425054917e-14,-1.8114849897887808e-16,-5.711577044653637e-17,-1.240327285323417e-16
24,phase,3.141592653589793,3.141592653589793,-0.2278204196527543,-0.22782041965275435,-0.22782041965275424,-0.002489667845971951,-0.0012448339229860239,-0.0012448339229859276
24,phase,3.141592653589793,4.71238898038469,-0.2465660825698007,-0.24656608256980078,-0.2465660825698007,-0.002903881408345168,-0.0014519407041727094,-0.0014519407041724591
24,phase,4.71238898038469,0.0,0.16699687252984194,0.16699687252984194,0.16699687252984197,0.002199489742783623,0.0010997448713918586,0.0010997448713917649
24,phase,4.71238898038469,1.5707963267948966,-0.008774932866360377,-0.008774932866360392,-0.008774932866360352,-9.611859165482876e-05,-4.805929582727719e-05,-4.8059295827551564e-05
24,phase,4.71238898038469,3.141592653589793,0.22161157647824797,0.22161157647824792,0.22161157647824806,0.002482050807568896,0.0012410254037845431,0.001241025403784352
24,phase,4.71238898038469,4.71238898038469,0.0014421478880976804,0.0014421478880976594,0.0014421478880976947,1.7949192431348204e-05,8.974596215677585e-06,8.974596215670095e-06
24,pulse,0.25,0.25,-1.0000000000000084,-1.0000000000000084,-1.0000000000000084,-0.004000000000000034,-0.0020000000000000295,-0.0020000000000000044
24,pulse,0.25,0.5,-0.6666666666666251,-0.6666666666666251,-0.6666666666666251,-0.0026666666666665005,-0.0013333333333332017,-0.001333333333333299
24,pulse,0.25,0.75,-0.7500000000000876,-0.7500000000000876,-0.7500000000000875,-0.0030000000000003505,-0.0015000000000001657,-0.001500000000000184
24,pulse,0.5,0.25,-0.22222222222220558,-0.22222222222220558,-0.22222222222220558,-0.0008888888888888225,-0.0004444444444444361,-0.00044444444444438614
24,pulse,0.5,0.5,2.244298497044994e-15,2.222614453595284e-15,2.2768245622195593e-15,8.977193988179976e-18,1.7564075194265172e-17,-8.760353553682876e-18
24,pulse,0.5,0.75,-0.3333333333334465,-0.3333333333334465,-0.33333333333344645,-0.001333333333333786,-0.0006666666666669441,-0.000666666666666842
24,pulse,1.0,0.25,0.16666666666648697,0.16666666666648694,0.166666666666487,0.0006666666666659479,0.00033333333333308965,0.00033333333333285817
24,pulse,1.0,0.5,0.33333333333321347,0.3333333333332134,0.33333333333321347,0.0013333333333328539,0.000666666666666231,0.000666666666666623
24,pulse,1.0,0.75,0.16666666666666788,0.16666666666666788,0.16666666666666788,0.0006666666666666715,0.00033333333333315297,0.00033333333333351856
24,triangle,0.125,0.0,-0.04761904761905348,-0.047619047619053494,-0.04761904761905344,-0.00019047619047621393,-9.523809523815863e-05,-9.523809523805529e-05
24,triangle,0.25,0.0,0.16666666666648697,0.16666666666648694,0.166666666666487,0.0006666666666659479,0.00033333333333308965,0.00033333333333285817
24,triangle,0.5,0.0,0.33333333333321347,0.3333333333332134,0.33333333333321347,0.0013333333333328539,0.000666666666666231,0.000666666666666623
24,triangle,0.75,0.0,0.16666666666666788,0.16666666666666788,0.16666666666666788,0.0006666666666666715,0.00033333333333315297,0.00033333333333351856
24,triangle,0.875,0.0,-0.04761904761889991,-0.04761904761889994,-0.047619047618899873,-0.00019047619047559962,-9.523809523765508e-05,-9.52380952379446e-05
48,phase,0.0,0.0,0.5612052021912761,0.561205202191276,0.5612052021912761,0.005852361902338485,0.002926180951169171,0.002926180951169314
48,phase,0.0,1.5707963267948966,0.33485793282388726,0.3348579328238872,0.33485793282388726,0.004320319015875148,0.0021601595079373684,0.0021601595079377787
48,phase,0.0,3.141592653589793,0.317585241445031,0.317585241445031,0.317585241445031,0.004325241702012084,0.0021626208510062707,0.0021626208510058136
48,phase,0.0,4.71238898038469,0.3488664386581241,0.3488664386581241,0.34886643865812417,0.004501056003735253,0.0022505280018676544,0.002250528001867598
48,phase,1.5707963267948966,0.0,0.2676606293748321,0.26766062937483204,0.2676606293748321,0.00354291837391007,0.001771459186955129,0.001771459186954941
48,phase,1.5707963267948966,1.5707963267948966,0.3280415681575942,0.32804156815759417,0.3280415681575943,0.004111545480903507,0.002055772740451745,0.002055772740451764
48,phase,1.5707963267948966,3.141592653589793,0.48246504741729623,0.48246504741729623,0.48246504741729623,0.005449657486266894,0.0027248287431337745,0.0027248287431331196
48,phase,1.5707963267948966,4.71238898038469,0.587457556651413,0.587457556651413,0.587457556651413,0.00646410161513782,0.00323205080756873,0.003232050807569089
48,phase,3.141592653589793,0.0,0.472325075141477,0.47232507514147687,0.472325075141477,0.005581459857600104,0.0027907299288006406,0.0027907299287994636
48,phase,3.141592653589793,1.5707963267948966,0.23592371388089256,0.2359237138808925,0.23592371388089253,0.0027989304173867873,0.0013994652086932687,0.001399465208693518
48,phase,3.141592653589793,3.141592653589793,0.2299160849545606,0.2299160849545606,0.22991608495456062,0.0025731633825990695,0.0012865816912998834,0.0012865816912991856
48,phase,3.141592653589793,4.71238898038469,0.2923107441868762,0.2923107441868762,0.2923107441868762,0.0034678897673112554,0.0017339448836557476,0.0017339448836555076
48,phase,4.71238898038469,0.0,0.3515040147241512,0.3515040147241512,0.35150401472415127,0.004652720256909217,0.00232636012845475,0.002326360128454466
48,phase,4.71238898038469,1.5707963267948966,0.6204950821878242,0.6204950821878241,0.6204950821878242,0.006827630724197853,0.0034138153620991056,0.0034138153620987474
48,phase,4.71238898038469,3.141592653589793,0.5417146623688825,0.5417146623688825,0.5417146623688825,0.006118908262893758,0.003059454131446966,0.0030594541314467923
48,phase,4.71238898038469,4.71238898038469,0.33196851441231623,0.3319685144123162,0.33196851441231623,0.0041607642985613865,0.0020803821492807436,0.002080382149280644
48,pulse,0.25,0.25,-0.22222222222220553,-0.22222222222220553,-0.2222222222222055,-0.0008888888888888221,-0.0004444444444444361,-0.00044444444444438614
48,pulse,0.25,0.5,0.16666666666666358,0.16666666666666355,0.1666666666666636,0.0006666666666666543,0.0003333333333333403,0.00033333333333331386
48,pulse,0.25,0.75,-6.395166514405748e-14,-6.396792817664476e-14,-6.391371806802049e-14,-2.5580666057622993e-16,-1.7878493824285968e-16,-7.683198695318527e-17
48,pulse,0.5,0.25,0.3333333333331782,0.3333333333331782,0.3333333333331782,0.001333333333332713,0.0006666666666664722,0.0006666666666662409
48,pulse,0.5,0.5,0.49999999999986866,0.4999999999998686,0.4999999999998687,0.001999999999999475,0.0009999999999995416,0.0009999999999999332
48,pulse,0.5,0.75,0.333333333333308,0.33333333333330795,0.333333333333308,0.001333333333333232,0.0006666666666664331,0.0006666666666667988
48,pulse,1.0,0.25,0.5833333333332712,0.5833333333332712,0.5833333333332712,0.002333333333333085,0.0011666666666663027,0.0011666666666667823
48,pulse,1.0,0.5,0.6666666666666488,0.6666666666666488,0.6666666666666488,0.002666666666666595,0.001333333333333372,0.0013333333333332234
48,pulse,1.0,0.75,0.5833333333332795,0.5833333333332795,0.5833333333332796,0.002333333333333118,0.001166666666666578,0.0011666666666665403
48,triangle,0.125,0.0,0.45238095238093995,0.4523809523809399,0.45238095238093995,0.0018095238095237596,0.0009047619047619076,0.000904761904761852
48,triangle,0.25,0.0,0.5833333333332712,0.5833333333332712,0.5833333333332712,0.002333333333333085,0.0011666666666663027,0.0011666666666667823
48,triangle,0.5,0.0,0.6666666666666488,0.6666666666666488,0.6666666666666488,0.002666666666666595,0.001333333333333372,0.0013333333333332234
48,triangle,0.75,0.0,0.5833333333332795,0.5833333333332795,0.5833333333332796,0.002333333333333118,0.001166666666666578,0.0011666666666665403
48,triangle,0.875,0.0,0.4523809523809755,0.45238095238097537,0.4523809523809755,0.0018095238095239019,0.0009047619047621244,0.0009047619047617778
96,phase,0.0,0.0,0.8636445344921853,0.8636445344921851,0.8636445344921854,0.009014677869532106,0.004507338934766266,0.004507338934765841
96,phase,0.0,1.5707963267948966,0.7408416857616692,0.7408416857616692,0.7408416857616692,0.009583112356649662,0.004791556178325178,0.0047915561783244826
96,phase,0.0,3.141592653589793,0.7261022430462454,0.7261022430462454,0.7261022430462455,0.00990691935260882,0.004953459676304206,0.004953459676304614
96,phase,0.0,4.71238898038469,0.7205469625703581,0.7205469625703581,0.7205469625703583,0.009320591204928178,0.004660295602463511,0.004660295602464665
96,phase,1.5707963267948966,0.0,0.7049678580969939,0.7049678580969938,0.704967858096994,0.00935923075221339,0.004679615376106963,0.004679615376106428
96,phase,1.5707963267948966,1.5707963267948966,0.7189943980996913,0.7189943980996912,0.7189943980996913,0.009030133273046545,0.00451506663652281,0.0045150666365237355
96,phase,1.5707963267948966,3.141592653589793,0.8118906091907723,0.8118906091907723,0.8118906091907723,0.009192642572202977,0.004596321286101145,0.004596321286101832
96,phase,1.5707963267948966,4.71238898038469,0.8574218297329214,0.8574218297329214,0.8574218297329214,0.009479616215654824,0.004739808107827076,0.0047398081078277475
96,phase,3.141592653589793,0.0,0.6562341697629253,0.6562341697629253,0.6562341697629254,0.007807049542948032,0.00390352477147388,0.0039035247714741496
96,phase,3.141592653589793,1.5707963267948966,0.7960931491749529,0.7960931491749529,0.7960931491749529,0.009471019008413892,0.004735509504207166,0.004735509504206726
96,phase,3.141592653589793,3.141592653589793,0.7086241509793785,0.7086241509793785,0.7086241509793786,0.00794815502314831,0.003974077511574027,0.0039740775115742815
96,phase,3.141592653589793,4.71238898038469,0.7431639389974447,0.7431639389974446,0.7431639389974448,0.008841326922492742,0.004420663461246513,0.004420663461246229
96,phase,4.71238898038469,0.0,0.7355560127405213,0.7355560127405213,0.7355560127405213,0.009765322454558453,0.0048826612272795614,0.004882661227278892
96,phase,4.71238898038469,1.5707963267948966,0.8488469671315245,0.8488469671315245,0.8488469671315246,0.009384812930102213,0.004692406465051306,0.004692406465050909
96,phase,4.71238898038469,3.141592653589793,0.8323522822984813,0.8323522822984813,0.8323522822984815,0.009424320146963828,0.004712160073481846,0.004712160073481983
96,phase,4.71238898038469,4.71238898038469,0.7335779935636079,0.7335779935636079,0.7335779935636079,0.009213294381098882,0.004606647190549453,0.004606647190549429
96,pulse,0.25,0.25,0.49999999999986955,0.49999999999986944,0.49999999999986955,0.0019999999999994783,0.0009999999999998547,0.0009999999999996232
96,pulse,0.25,0.5,0.6666666666666281,0.6666666666666281,0.6666666666666281,0.0026666666666665126,0.0013333333333330603,0.0013333333333334523
96,pulse,0.25,0.75,0.6111111111110072,0.6111111111110071,0.6111111111110072,0.002444444444444029,0.0012222222222218315,0.001222222222222197
96,pulse,0.5,0.25,0.7499999999998155,0.7499999999998155,0.7499999999998155,0.002999999999999262,0.0014999999999993911,0.0014999999999998704
96,pulse,0.5,0.5,0.7916666666666605,0.7916666666666604,0.7916666666666605,0.003166666666666642,0.0015833333333333953,0.0015833333333332463
96,pulse,0.5,0.75,0.8055555555556051,0.805555555555605,0.8055555555556051,0.0032222222222224204,0.001611111111111229,0.0016111111111111911
96,pulse,1.0,0.25,0.8194444444445537,0.8194444444445537,0.8194444444445538,0.003277777777778215,0.001638888888888998,0.0016388888888892172
96,pulse,1.0,0.5,0.875000000000157,0.8750000000001569,0.875000000000157,0.0035000000000006276,0.0017500000000007028,0.0017499999999999252
96,pulse,1.0,0.75,0.8194444444443747,0.8194444444443746,0.8194444444443746,0.0032777777777774986,0.001638888888888843,0.0016388888888886558
96,triangle,0.125,0.0,0.7142857142857106,0.7142857142857105,0.7142857142857106,0.002857142857142842,0.0014285714285711248,0.0014285714285717176
96,triangle,0.25,0.0,0.8194444444445537,0.8194444444445537,0.8194444444445538,0.003277777777778215,0.001638888888888998,0.0016388888888892172
96,triangle,0.5,0.0,0.875000000000157,0.8750000000001569,0.875000000000157,0.0035000000000006276,0.0017500000000007028,0.0017499999999999252
96,triangle,0.75,0.0,0.8194444444443747,0.8194444444443746,0.8194444444443746,0.0032777777777774986,0.001638888888888843,0.0016388888888886558
96,triangle,0.875,0.0,0.7142857142858023,0.7142857142858022,0.7142857142858025,0.0028571428571432093,0.001428571428571636,0.0014285714285715736
