a,b,c,pnl_first_index,pnl_last_index,year,start,peak,end,bars,sigma,net_log,capture,peak_fraction,time_mass_skew,motion_concentration,half_height_width,negative_area_share,amplitude,net_trend_normalized
81,90,122,83,123,2024,2024-01-03 13:50:00,2024-01-03 14:35:00,2024-01-04 13:15:00,41,0.0008843936805296056,0.0019039065520600456,0.0634031070107975,0.21951219512195122,0.7855987889714708,1.483291357454152,0.23809523809523808,0.07016805251140522,0.014932428816095467,-0.6265490613025423
122,123,130,124,131,2024,2024-01-04 13:15:00,2024-01-04 13:20:00,2024-01-04 13:55:00,8,0.0007554523311151948,0.0014274649065396175,0.39671267274280464,0.125,-0.06469156436958584,1.631481311713828,0.2222222222222222,0.028458528863426882,0.001768821633359785,-0.8277123523242054
130,142,153,132,154,2024,2024-01-04 13:55:00,2024-01-04 14:55:00,2024-01-05 10:20:00,23,0.0010280269604685437,0.003762859232436659,0.12325302015255356,0.5217391304347826,-0.15025540195250334,1.9115776741408546,0.5833333333333334,0.012441430739716233,0.007691690287677133,-0.052393793998548155
153,155,212,155,213,2024,2024-01-05 10:20:00,2024-01-05 10:30:00,2024-01-08 11:15:00,59,0.0011899552566385129,0.02282173892941889,0.32718112636087726,0.03389830508474576,0.0536134610675631,2.1939661686981387,0.43333333333333335,0.009063786689359326,0.04331133644507901,-0.9017856324538068
212,215,226,214,227,2024,2024-01-08 11:15:00,2024-01-08 11:30:00,2024-01-08 13:55:00,14,0.0017250151523799924,0.0016015459609521384,0.14210946407596844,0.21428571428571427,1.1469683365572914,1.6809783082996983,0.3333333333333333,0.011376546568844851,0.004543385651937015,-0.32731569308145
226,229,236,228,237,2024,2024-01-08 13:55:00,2024-01-08 14:10:00,2024-01-08 14:45:00,10,0.0018377826180002049,0.0028407843358048343,0.17367718017264894,0.3,-0.029892244416390167,1.4231082488954732,0.36363636363636365,0.006237212293390604,0.006561236091004119,-0.44848577514714455
236,242,244,238,245,2024,2024-01-08 14:45:00,2024-01-09 09:45:00,2024-01-09 09:55:00,8,0.0016380106445137482,-0.011592207411410078,-0.9501471602570658,0.75,-0.538051439703763,2.6202405252808765,0.4444444444444444,0.0,0.006890704509367573,0.24972264469784006
244,251,270,246,271,2024,2024-01-09 09:55:00,2024-01-09 10:30:00,2024-01-09 13:35:00,26,0.0018168079560957702,0.016414385310062278,0.39572010231458843,0.2692307692307692,0.21061146347125503,1.438266721630309,0.5185185185185185,0.034536323467411485,0.01984548229629368,-0.3367476537447952
273,282,290,275,291,2024,2024-01-09 13:50:00,2024-01-09 14:35:00,2024-01-10 09:45:00,17,0.0021051920014875476,-0.0027745480757733745,-0.07682665553889327,0.5294117647058824,-0.20687085004054262,2.31495427037113,0.5555555555555556,0.011389108725559973,0.01654395192667213,-0.5562180402662822
290,301,320,292,321,2024,2024-01-10 09:45:00,2024-01-10 10:40:00,2024-01-10 13:45:00,30,0.0028776433937903294,0.00012516610131014006,0.0023479063031361883,0.36666666666666664,0.38106587891207117,2.178642050200914,0.3870967741935484,0.0,0.02297480505066929,0.36924656644139775
320,324,330,322,331,2024,2024-01-10 13:45:00,2024-01-10 14:05:00,2024-01-10 14:35:00,10,0.0027521305166573386,0.00015406144514424114,0.012660595008186976,0.4,0.22411001687223966,1.8222309100600478,0.2727272727272727,0.004757684491876432,0.004637882578291119,-0.04706284074370564
333,340,341,335,342,2024,2024-01-10 14:50:00,2024-01-11 09:55:00,2024-01-11 10:00:00,8,0.0025895930385864867,-0.009215737909810253,-0.33029436835049386,0.875,-0.43060259944403356,1.5157974519644675,0.4444444444444444,0.21805222575782243,0.008112153057635574,0.22767808283837035
341,347,354,343,355,2024,2024-01-11 10:00:00,2024-01-11 10:30:00,2024-01-11 11:05:00,13,0.0019057814762900019,-0.00020415051990144823,-0.0142697398668367,0.46153846153846156,0.0176059419148865,1.4086951819444142,0.42857142857142855,0.030257965035314405,0.006195687961310092,0.25006518256130245
354,370,375,356,376,2024,2024-01-11 11:05:00,2024-01-11 13:55:00,2024-01-11 14:20:00,21,0.002177553532060135,-0.011070182203588325,-0.30885506101208327,0.7619047619047619,0.09249314293363083,1.8912784252285135,0.4090909090909091,0.08596802629306656,0.015030616800276064,0.6454917238491374
375,376,387,377,388,2024,2024-01-11 14:20:00,2024-01-11 14:25:00,2024-01-12 09:50:00,12,0.002207844867654304,0.004139162842018576,0.37517373224194533,0.08333333333333333,-0.16084112422384722,1.9784606603703347,0.3076923076923077,0.0,0.0054435196180682155,-0.7604028723434195
387,393,409,389,410,2024,2024-01-12 09:50:00,2024-01-12 10:20:00,2024-01-12 13:10:00,22,0.0017974521252498044,-0.0017653093741833046,-0.08001062677922352,0.2727272727272727,0.27200965271822997,1.5317870957084896,0.43478260869565216,0.016283485353144698,0.011970852916182828,-0.514949938221858
409,411,418,411,419,2024,2024-01-12 13:10:00,2024-01-12 13:20:00,2024-01-12 13:55:00,9,0.0013435703775159721,0.0021015679787797018,0.30182790790770725,0.2222222222222222,-0.17947868362376676,1.6691273002625138,0.4,0.0,0.003252826677790921,-0.6027516798420932
418,424,434,420,435,2024,2024-01-12 13:55:00,2024-01-12 14:25:00,2024-01-15 09:45:00,16,0.001181062539931331,0.004900838477289534,0.26746517822883287,0.375,-0.07536866729306778,2.0251688577711233,0.6470588235294118,0.0,0.013421293035937865,-0.7366818324969457
434,442,445,436,446,2024,2024-01-15 09:45:00,2024-01-15 10:25:00,2024-01-15 10:40:00,11,0.0016782960722435088,-0.007162918109910049,-0.28057130060260455,0.7272727272727273,0.22023039794683755,1.4223452006838058,0.5,0.0,0.013983543073111449,0.6217005119474743
445,448,469,447,470,2024,2024-01-15 10:40:00,2024-01-15 10:55:00,2024-01-15 14:10:00,24,0.0018764349516828694,-0.0008371913955354418,-0.032269075514608454,0.125,1.858630416250536,1.7731740894297399,0.12,0.1406001325901423,0.013413534789185277,-0.5332787018414693
469,470,477,471,478,2024,2024-01-15 14:10:00,2024-01-15 14:15:00,2024-01-15 14:50:00,8,0.0018589060792772111,-0.0006723558567230674,-0.1204052339786309,0.125,0.37509423536350706,1.2063631268122346,0.3333333333333333,0.130536253607346,0.0012926411748077626,0.4201574545392862
477,486,511,479,512,2024,2024-01-15 14:50:00,2024-01-16 10:05:00,2024-01-16 13:40:00,34,0.001267353776187575,0.008386384302191309,0.19879999856382338,0.2647058823529412,0.4838146676126851,1.4964787556335162,0.4,0.009615097791033159,0.012839477612510919,-0.7496908255706186
511,526,547,513,548,2024,2024-01-16 13:40:00,2024-01-16 14:55:00,2024-01-17 11:10:00,36,0.0018652870949172932,0.004217749053057554,0.08049844215872386,0.4166666666666667,0.4619250433214346,1.8545806394413737,0.32432432432432434,0.003035023819651762,0.015190690530471507,0.05067695605829608
547,551,559,549,560,2024,2024-01-17 11:10:00,2024-01-17 11:30:00,2024-01-17 13:40:00,12,0.0018193208281041438,0.0014228002844030494,0.17033948746326125,0.3333333333333333,0.33103540731475256,1.110232886421807,0.38461538461538464,0.0,0.004418067801209347,-0.32496823297742006
559,561,578,561,579,2024,2024-01-17 13:40:00,2024-01-17 13:50:00,2024-01-18 09:45:00,19,0.0014977475766487923,0.019122302307040467,0.5382191279254673,0.10526315789473684,-0.23493423397081448,2.108105471665453,0.55,0.04810934954617616,0.023520265208992086,-0.8050256103310817
578,581,595,580,596,2024,2024-01-18 09:45:00,2024-01-18 10:00:00,2024-01-18 11:10:00,17,0.0020118706738178017,-0.0038066610898429836,-0.11497074748039056,0.17647058823529413,0.6255180629446038,1.4330785156099244,0.2222222222222222,0.03782654674222721,0.014734608004132177,-0.680949841812122
595,600,607,597,608,2024,2024-01-18 11:10:00,2024-01-18 13:05:00,2024-01-18 13:40:00,12,0.002448284953305709,-0.010339195175992195,-0.420470037863958,0.4166666666666667,0.6700773088170071,1.6590147248516711,0.3076923076923077,0.061020369337107076,0.013069980899865996,0.21264968844141258
607,625,635,609,636,2024,2024-01-18 13:40:00,2024-01-19 09:40:00,2024-01-19 10:30:00,28,0.0027961900764946826,0.007491571086015229,0.10256365593930027,0.6428571428571429,-0.38814470657544914,1.4505768110337933,0.3793103448275862,0.0371149802925734,0.03685332382958073,0.6801204396321666
635,641,650,637,651,2024,2024-01-19 10:30:00,2024-01-19 11:00:00,2024-01-19 13:15:00,15,0.0027256090690199524,-0.010880880517804706,-0.46305134530718256,0.4,0.28615588312199525,1.5511948387591683,0.25,0.021872520516064635,0.007859048283588521,-0.2931726475263158
650,656,660,652,661,2024,2024-01-19 13:15:00,2024-01-19 13:45:00,2024-01-19 14:05:00,10,0.0025413188238227803,-0.009461324229468791,-0.8538126288070522,0.6,0.052594852242678014,1.3881422162660058,0.2727272727272727,0.019253128649446113,0.005438490630938375,0.30821140473956216
660,667,684,662,685,2024,2024-01-19 14:05:00,2024-01-19 14:40:00,2024-01-22 10:35:00,24,0.002069611074144925,0.00107231494849959,0.02355296442157758,0.2916666666666667,0.999040899792798,1.54589230920252,0.36,0.032311772707860224,0.01537191434642704,-0.6020129611361207
684,688,699,686,700,2024,2024-01-22 10:35:00,2024-01-22 10:55:00,2024-01-22 13:20:00,15,0.0020748426700180154,0.009713967779902436,0.33704153040290885,0.26666666666666666,0.03577295084897282,1.2512399427482603,0.5625,0.0,0.014247179088616946,-0.685551853308015
699,703,716,701,717,2024,2024-01-22 13:20:00,2024-01-22 13:40:00,2024-01-22 14:45:00,17,0.0022374863454339214,0.016931436403580063,0.42474719029817404,0.23529411764705882,-0.030523984452902383,1.513352693766368,0.5555555555555556,0.0,0.024023891180601886,-0.7206145687883625
716,717,720,718,721,2024,2024-01-22 14:45:00,2024-01-22 14:50:00,2024-01-23 09:35:00,4,0.0030194774577901825,0.0004883806209968126,0.021913577755248503,0.25,0.34221634554056796,1.5145358018769213,0.6,0.0,0.011467242015457124,0.027210317678529924
720,729,739,722,740,2024,2024-01-23 09:35:00,2024-01-23 10:20:00,2024-01-23 11:10:00,19,0.0036855819383925016,-0.021494401190887923,-0.36634693988241684,0.47368421052631576,-0.0930988226646339,1.5318910157970989,0.45,0.0,0.018825255125262785,0.1546899455670804
739,748,752,741,753,2024,2024-01-23 11:10:00,2024-01-23 13:25:00,2024-01-23 13:45:00,13,0.0037738290547240667,-0.018700627072267217,-0.7442925497703272,0.6923076923076923,-0.3630399385552416,1.6163689354225368,0.5,0.0,0.016325743401147896,0.5468055905460096
752,761,795,754,796,2024,2024-01-23 13:45:00,2024-01-23 14:30:00,2024-01-24 13:20:00,43,0.0025047862755851985,0.04218047845902413,0.5231846328150441,0.20930232558139536,0.4712491513178388,1.4131610432788537,0.4772727272727273,0.0,0.034408719142590805,-0.6822945127985846
795,813,819,797,820,2024,2024-01-24 13:20:00,2024-01-24 14:50:00,2024-01-25 09:50:00,24,0.0027936914354043003,0.0014178526579799009,0.02054952869893905,0.75,-0.2505778958506955,1.5476993690250698,0.52,0.005097122128868962,0.032208794617035075,0.7109956946022274
819,844,849,821,850,2024,2024-01-25 09:50:00,2024-01-25 13:25:00,2024-01-25 13:50:00,30,0.002968416255930958,0.013392410146622843,0.2258734800673141,0.8333333333333334,0.03844018149819138,1.64871043354188,0.5806451612903226,0.0022200121669053727,0.028545980594866904,0.7442699013603541
