view,family,period_days,period_bars,positive_years,median_annual_logret,dev_pooled_logret,flip_rate,logret_2021,logret_2022,logret_2023,logret_2024,logret_2025,logret_2026
5m_offset_0,butter_lp_n1,2,96,5,0.4701220883769243,2.6084637733124145,0.06797843209214352,0.6142933260209458,0.4701220883769243,0.14549910435056707,1.112536602404254,0.26601265215972314,-0.07095234776880638
15m_offset_5,butter_lp_n1,5,80,5,0.45499652539436397,2.6226193711445487,0.07017713677281967,0.2921646247804918,0.45499652539436397,0.3668555459991635,0.9984204137514371,0.5101822612190924,0.29759655530091433
5m_offset_0,sma_lp,3,144,5,0.4534785239881385,2.2830176363431742,0.030516895802162436,0.30462657318650854,0.4534785239881385,0.15985271629098982,0.771031856458795,0.5940279664187424,0.19662214710777298
15m_offset_5,butter_bp_n1,2,32,5,0.4516667344986979,2.7936720160154107,0.10366857032233084,0.7311468597512462,0.4516667344986979,0.16449153153248958,1.3177768225767834,0.12859006765619385,0.06363763399478478
15m_offset_5,butter_lp_n1,10,160,5,0.4507397094425265,2.356139637281153,0.04738166682799342,0.23205843731799009,0.5298543669992167,0.4507397094425265,0.8753111040092669,0.2681760195121526,0.3591475225358527
5m_offset_0,ema_lp,2,96,5,0.4481187728899181,2.2265110313207894,0.05037687378257064,0.5151384238390684,0.4481187728899181,0.14739425623541874,0.8234694868357813,0.29239009152060297,0.22702122243742637
5m_offset_0,sma_lp,4,192,5,0.4425882792127016,1.8492981665243102,0.024560313920334247,0.2686597958755191,0.47711688316463946,0.21655337766242233,0.4425882792127016,0.4443798306090278,0.14601329559695375
15m_offset_5,butter_lp_n1,8,128,5,0.4394437317070511,2.4338152301379217,0.053044235795179556,0.25623405251889303,0.5478152762032791,0.40352687048405145,0.786795299224647,0.4394437317070511,0.3784643598324907
15m_offset_5,butter_lp_n1,4,64,5,0.438802007162626,2.9002705336444885,0.07908237343916369,0.4749651091906876,0.4119248538070629,0.3838192278020852,1.190759335682027,0.438802007162626,0.09754327285853763
15m_offset_5,ema_lp,4,64,5,0.43793982295589523,1.9202386146716546,0.057884038331236086,0.06360756907705936,0.449011733876267,0.43793982295589523,0.8094882778829082,0.1601912108795248,0.31427786464770935
30m_offset_15,ema_lp,3,24,5,0.4312396146013572,1.8203735480886638,0.09803478653715834,0.014103012471562149,0.6250708073564389,0.4312396146013572,0.6576132015979669,0.09234691206133856,0.4771249274833463
15m_offset_5,butter_lp_n1,6,96,5,0.42387933526621213,2.4461375483744696,0.06436937372955183,0.25273895139305863,0.42387933526621213,0.38797631100579444,0.8936889784561892,0.48785397225321525,0.2582226830185908
15m_offset_5,butter_lp_n1,3,48,5,0.39832284678041074,2.3594404403998666,0.09476333365598684,0.4771238242626683,0.295326195205382,0.2319394810315041,0.9567280931199014,0.39832284678041074,0.36907286141680634
5m_offset_0,ema_lp,4,192,5,0.39766333200565057,2.314386575120957,0.03245066764531519,0.30893738575638324,0.5612752767027724,0.28653971521032157,0.7599708654458293,0.39766333200565057,0.3830646497524816
5m_offset_0,ema_lp,3,144,5,0.3972061100159562,2.2075448257185495,0.04007283403438444,0.34817340710858014,0.43678007478300573,0.23383369399657322,0.791551539814434,0.3972061100159562,0.22726760840971763
