view,family,n,eligible,median_of_median,best_median,mean_pos_years
5m_offset_0,butter_bp_n1,7,7,0.26024539069777486,0.5024792259153589,4.857142857142857
5m_offset_0,butter_lp_n1,7,7,0.362212260742807,0.4701220883769243,5.0
15m_offset_5,butter_lp_n1,7,7,0.438802007162626,0.45499652539436397,5.0
5m_offset_0,sma_lp,7,7,0.11673684946569562,0.4534785239881385,4.571428571428571
15m_offset_5,butter_bp_n1,7,7,0.26056015565659485,0.4516667344986979,4.571428571428571
5m_offset_0,ema_lp,7,7,0.3364472402321131,0.4481187728899181,5.0
15m_offset_5,ema_lp,7,7,0.3411147155307984,0.43793982295589523,5.0
30m_offset_15,ema_lp,7,7,0.2961748748553231,0.4312396146013572,5.0
30m_offset_15,butter_lp_n1,7,7,0.30459796520431176,0.3848522512817866,5.0
15m_offset_5,butter_lp_n2,7,7,0.20188954236415807,0.3753355322608246,4.428571428571429
5m_offset_0,butter_lp_n2,7,7,0.26961464855288947,0.36865845363330646,4.428571428571429
30m_offset_15,butter_bp_n1,7,7,0.23850807218637732,0.31245298722469905,4.571428571428571
15m_offset_5,sma_lp,7,7,0.1739656821923241,0.29308761241936154,4.285714285714286
60m_offset_30,ema_lp,7,7,0.1568124772464283,0.23208187026188462,4.571428571428571
30m_offset_15,butter_lp_n2,7,6,0.16460531469270484,0.42668404922013603,4.142857142857143
30m_offset_15,sma_lp,7,6,0.23032985249398363,0.3744043161687187,4.285714285714286
60m_offset_30,sma_lp,7,5,0.17931878441189164,0.2249906966793344,3.7142857142857144
60m_offset_30,butter_lp_n1,7,2,0.09042713576342999,0.23889251240121037,3.2857142857142856
60m_offset_30,butter_lp_n2,7,1,0.05357447928029385,0.24670576232880725,2.857142857142857
60m_offset_30,butter_bp_n1,7,0,0.13050340544116837,0.2717943400331275,2.857142857142857
