symbol,version,year,rows,base_decisions,fine_decisions,mature_decisions,actionable_positive_windows,known_first_events
000688.SH,primary_joint_gap15,2021,58320,33880,0,0,0,8
000688.SH,primary_joint_gap15,2022,58080,33037,21467,21155,58,9
000688.SH,primary_joint_gap15,2023,58080,34994,34890,34410,75,6
000688.SH,primary_joint_gap15,2024,58080,32478,32389,31924,388,35
000688.SH,primary_joint_gap15,2025,58320,33301,33301,32825,229,17
000688.SH,sensitivity_joint_gap3,2021,58320,33880,0,0,0,8
000688.SH,sensitivity_joint_gap3,2022,58080,33037,21274,20964,57,9
000688.SH,sensitivity_joint_gap3,2023,58080,34994,34852,34372,75,6
000688.SH,sensitivity_joint_gap3,2024,58080,32478,31589,31140,359,35
000688.SH,sensitivity_joint_gap3,2025,58320,33301,33301,32825,229,17
000688.SH,sensitivity_individual_gap15,2021,58320,33880,0,0,0,8
000688.SH,sensitivity_individual_gap15,2022,58080,33037,21467,21155,58,9
000688.SH,sensitivity_individual_gap15,2023,58080,34994,34890,34410,75,6
000688.SH,sensitivity_individual_gap15,2024,58080,32478,32389,31924,388,35
000688.SH,sensitivity_individual_gap15,2025,58320,33301,33301,32825,229,17
000852.SH,primary_joint_gap15,2021,58320,35381,0,0,0,0
000852.SH,primary_joint_gap15,2022,58080,35005,22919,22607,14,3
000852.SH,primary_joint_gap15,2023,58080,35762,35658,35174,14,1
000852.SH,primary_joint_gap15,2024,58080,33578,33488,33016,235,20
000852.SH,primary_joint_gap15,2025,58320,35405,35405,34923,67,5
000852.SH,sensitivity_joint_gap3,2021,58320,35381,0,0,0,0
000852.SH,sensitivity_joint_gap3,2022,58080,35005,22687,22377,14,3
000852.SH,sensitivity_joint_gap3,2023,58080,35762,35620,35136,14,1
000852.SH,sensitivity_joint_gap3,2024,58080,33578,32617,32161,221,20
000852.SH,sensitivity_joint_gap3,2025,58320,35405,35405,34923,67,5
000852.SH,sensitivity_individual_gap15,2021,58320,35381,0,0,0,0
000852.SH,sensitivity_individual_gap15,2022,58080,35005,22919,22607,14,3
000852.SH,sensitivity_individual_gap15,2023,58080,35762,35658,35174,14,1
000852.SH,sensitivity_individual_gap15,2024,58080,33927,33837,33363,249,20
000852.SH,sensitivity_individual_gap15,2025,58320,35405,35405,34923,67,5
