event_id,symbol,year,session,minute
000688.SH/2024-01-16/1/74,000688.SH,2024,2024-01-16/1,74
000688.SH/2024-01-30/1/97,000688.SH,2024,2024-01-30/1,97
000688.SH/2024-02-02/1/86,000688.SH,2024,2024-02-02/1,86
000688.SH/2024-02-05/1/90,000688.SH,2024,2024-02-05/1,90
000688.SH/2024-02-19/0/99,000688.SH,2024,2024-02-19/0,99
000688.SH/2024-02-27/0/87,000688.SH,2024,2024-02-27/0,87
000688.SH/2024-03-15/1/53,000688.SH,2024,2024-03-15/1,53
000688.SH/2024-06-25/1/85,000688.SH,2024,2024-06-25/1,85
000688.SH/2024-07-09/0/91,000688.SH,2024,2024-07-09/0,91
000688.SH/2024-07-24/0/86,000688.SH,2024,2024-07-24/0,86
000688.SH/2024-08-05/1/39,000688.SH,2024,2024-08-05/1,39
000688.SH/2024-08-16/1/65,000688.SH,2024,2024-08-16/1,65
000688.SH/2024-08-23/1/43,000688.SH,2024,2024-08-23/1,43
000688.SH/2024-08-26/1/70,000688.SH,2024,2024-08-26/1,70
000688.SH/2024-08-28/0/48,000688.SH,2024,2024-08-28/0,48
000688.SH/2024-09-18/1/45,000688.SH,2024,2024-09-18/1,45
000688.SH/2024-09-24/0/80,000688.SH,2024,2024-09-24/0,80
000688.SH/2024-09-30/1/80,000688.SH,2024,2024-09-30/1,80
000688.SH/2024-10-10/1/91,000688.SH,2024,2024-10-10/1,91
000688.SH/2024-10-16/0/64,000688.SH,2024,2024-10-16/0,64
000688.SH/2024-10-24/1/37,000688.SH,2024,2024-10-24/1,37
000688.SH/2024-11-05/1/62,000688.SH,2024,2024-11-05/1,62
000688.SH/2024-11-07/1/113,000688.SH,2024,2024-11-07/1,113
000688.SH/2024-11-13/1/35,000688.SH,2024,2024-11-13/1,35
000688.SH/2024-11-13/1/69,000688.SH,2024,2024-11-13/1,69
000688.SH/2024-11-15/1/75,000688.SH,2024,2024-11-15/1,75
000688.SH/2024-11-19/1/63,000688.SH,2024,2024-11-19/1,63
000688.SH/2024-11-20/1/91,000688.SH,2024,2024-11-20/1,91
000688.SH/2024-11-28/1/50,000688.SH,2024,2024-11-28/1,50
000688.SH/2024-12-02/1/37,000688.SH,2024,2024-12-02/1,37
000688.SH/2024-12-03/1/61,000688.SH,2024,2024-12-03/1,61
000688.SH/2024-12-04/0/109,000688.SH,2024,2024-12-04/0,109
000688.SH/2024-12-05/1/48,000688.SH,2024,2024-12-05/1,48
000688.SH/2024-12-06/0/78,000688.SH,2024,2024-12-06/0,78
000688.SH/2024-12-25/1/37,000688.SH,2024,2024-12-25/1,37
000688.SH/2025-01-03/1/80,000688.SH,2025,2025-01-03/1,80
000688.SH/2025-01-06/1/61,000688.SH,2025,2025-01-06/1,61
000688.SH/2025-01-17/0/116,000688.SH,2025,2025-01-17/0,116
000688.SH/2025-02-26/1/64,000688.SH,2025,2025-02-26/1,64
000688.SH/2025-02-28/1/53,000688.SH,2025,2025-02-28/1,53
000688.SH/2025-04-07/0/106,000688.SH,2025,2025-04-07/0,106
000688.SH/2025-04-11/0/99,000688.SH,2025,2025-04-11/0,99
000688.SH/2025-07-25/1/98,000688.SH,2025,2025-07-25/1,98
000688.SH/2025-08-14/1/61,000688.SH,2025,2025-08-14/1,61
000688.SH/2025-08-29/1/97,000688.SH,2025,2025-08-29/1,97
000688.SH/2025-09-04/1/89,000688.SH,2025,2025-09-04/1,89
000688.SH/2025-09-05/1/74,000688.SH,2025,2025-09-05/1,74
000688.SH/2025-09-10/0/95,000688.SH,2025,2025-09-10/0,95
000688.SH/2025-09-15/1/62,000688.SH,2025,2025-09-15/1,62
000688.SH/2025-09-29/1/47,000688.SH,2025,2025-09-29/1,47
000688.SH/2025-10-14/1/90,000688.SH,2025,2025-10-14/1,90
000688.SH/2025-11-06/0/85,000688.SH,2025,2025-11-06/0,85
000852.SH/2024-01-16/1/74,000852.SH,2024,2024-01-16/1,74
000852.SH/2024-01-31/1/51,000852.SH,2024,2024-01-31/1,51
000852.SH/2024-04-18/0/77,000852.SH,2024,2024-04-18/0,77
000852.SH/2024-06-25/1/85,000852.SH,2024,2024-06-25/1,85
000852.SH/2024-07-09/0/91,000852.SH,2024,2024-07-09/0,91
000852.SH/2024-07-17/0/102,000852.SH,2024,2024-07-17/0,102
000852.SH/2024-07-24/0/86,000852.SH,2024,2024-07-24/0,86
000852.SH/2024-07-25/0/82,000852.SH,2024,2024-07-25/0,82
000852.SH/2024-07-31/0/61,000852.SH,2024,2024-07-31/0,61
000852.SH/2024-08-05/1/39,000852.SH,2024,2024-08-05/1,39
000852.SH/2024-08-08/0/96,000852.SH,2024,2024-08-08/0,96
