year,block,gain,n
2024,0,0.22857405221290827,1002
2024,1,0.039666959250818007,655
2024,2,0.1290485959521572,1069
2024,3,-0.1198048722757479,1102
2024,4,0.010163945273855005,1210
2024,5,-0.094629176360291972,1114
2024,6,0.043696620137925218,1091
2024,7,-0.035043297750900211,1108
2024,8,-0.14683407431696904,1065
2024,9,0.0030194386206909528,488
2024,10,0.092527827665283127,646
2024,11,-0.0011192546056132818,800
2024,12,0.024768339760230393,97
2025,0,0.013735748567084883,886
2025,1,0.021111775295843696,936
2025,2,0.076376845256221113,1123
2025,3,0.143034367827297,1049
2025,4,-0.010321966704644145,1244
2025,5,0.097400767273450164,1238
2025,6,0.0095014243775127412,1226
2025,7,0.059038050083543403,1004
2025,8,0.075464803623966251,734
2025,9,-0.029585763180839712,887
2025,10,-0.047312700682173442,1058
2025,11,-0.001848388644969498,1127
2025,12,-0.01038665135382051,175
