horizon,endpoint,comparison,n,development_n,positive_events,baseline_loss,augmented_loss,absolute_gain,relative_gain,development_forward_gain,supported
15,log_future_sigma,A_vs_C,28984,23233,,0.29105158836921574,0.2847212432465781,0.006330345122637587,0.02174990749271287,0.00209316614969378,True
15,log_future_sigma,A_vs_N,28984,23233,,0.28595942018982384,0.2847212432465781,0.0012381769432457887,0.004329904370430845,-2.4120254389890164e-05,False
15,future_tail,A_vs_C,28984,23233,648.0,0.021310104460581444,0.021266662761587393,4.344169899405409e-05,0.0020385493217272006,-1.025993781424378e-05,False
15,future_tail,A_vs_N,28984,23233,648.0,0.021284598296787867,0.021266662761587393,1.7935535200475365e-05,0.0008426532157377891,-2.4370224335036084e-05,False
30,log_future_sigma,A_vs_C,24134,19365,,0.16693914339883623,0.16225562646056638,0.00468351693826984,0.02805523523671375,0.001955852201318071,False
30,log_future_sigma,A_vs_N,24134,19365,,0.16320100157018874,0.16225562646056638,0.0009453751096223673,0.005792704092050469,-1.452028522209529e-05,False
30,future_tail,A_vs_C,24134,19365,976.0,0.03756922889296959,0.03742185354337882,0.00014737534959076898,0.003922767486408209,3.814070220938542e-05,False
30,future_tail,A_vs_N,24134,19365,976.0,0.037445481761465456,0.03742185354337882,2.362821808663369e-05,0.0006310031804945052,-8.644253680130872e-05,False
60,log_future_sigma,A_vs_C,14485,11779,,0.11721379763669293,0.11297146670472163,0.0042423309319712865,0.03619310198548891,0.0015769378917150874,False
60,log_future_sigma,A_vs_N,14485,11779,,0.11317876212174453,0.11297146670472163,0.00020729541702287028,0.0018315752278672743,0.00016948903093379528,False
60,future_tail,A_vs_C,14485,11779,1129.0,0.06965654515681398,0.06927865273916572,0.0003778924176482468,0.005425081258301258,0.00045270996296061503,False
60,future_tail,A_vs_N,14485,11779,1129.0,0.06921011127884084,0.06927865273916572,-6.854146032489545e-05,-0.000990338825619692,5.6618466206046437e-05,False
