horizon,endpoint,c_decile,m3_decile,n,target_mean,sigma_mean,tail_rate
30,log_future_sigma,0,0,731,-7.489350384038178,0.0006210559960948957,0.03283173734610123
30,log_future_sigma,0,1,497,-7.379674608504649,0.0006785892312349765,0.028169014084507043
30,log_future_sigma,0,2,353,-7.349616254295148,0.000703364474025325,0.019830028328611898
30,log_future_sigma,0,3,240,-7.283167016931888,0.0007478099774437427,0.016666666666666666
30,log_future_sigma,0,4,176,-7.261889094151584,0.0007583571859193905,0.011363636363636364
30,log_future_sigma,0,5,136,-7.213493704359834,0.0008064381266585298,0.022058823529411766
30,log_future_sigma,0,6,103,-7.232800061005966,0.0007744662849365387,0.009708737864077669
30,log_future_sigma,0,7,76,-7.171594500944718,0.0008578734978776432,0.07894736842105263
30,log_future_sigma,0,8,67,-7.025968957275417,0.0009559731078754081,0.04477611940298507
30,log_future_sigma,0,9,35,-7.01011899865336,0.0009577236480284725,0.0
30,log_future_sigma,1,0,445,-7.232516406291156,0.0007833907742882492,0.02247191011235955
30,log_future_sigma,1,1,387,-7.166825449727239,0.0008289540979848172,0.03617571059431524
30,log_future_sigma,1,2,377,-7.126700242700402,0.0008669940176404766,0.029177718832891247
30,log_future_sigma,1,3,292,-7.100206848958812,0.0008857158522357876,0.03767123287671233
30,log_future_sigma,1,4,255,-7.118934293399354,0.0008781589297773286,0.03137254901960784
30,log_future_sigma,1,5,205,-7.055031838394424,0.0009408068469235806,0.04878048780487805
30,log_future_sigma,1,6,156,-6.988026921176206,0.0010084866494703656,0.04487179487179487
30,log_future_sigma,1,7,130,-6.9760599151081895,0.0010075623633005587,0.06153846153846154
30,log_future_sigma,1,8,108,-6.93896022897716,0.0010290171205198295,0.027777777777777776
30,log_future_sigma,1,9,58,-6.896982836553036,0.0011236626292157816,0.034482758620689655
30,log_future_sigma,2,0,369,-7.113881529871652,0.0008863373826017195,0.02981029810298103
30,log_future_sigma,2,1,336,-7.072673352312622,0.0009178434197522724,0.047619047619047616
30,log_future_sigma,2,2,329,-7.043770775744726,0.0009489639636488464,0.030395136778115502
30,log_future_sigma,2,3,318,-7.022176455759209,0.0009754629135899619,0.03773584905660377
30,log_future_sigma,2,4,256,-6.967785570818872,0.0010272415629205363,0.03125
30,log_future_sigma,2,5,216,-6.891570612495094,0.0010986205550637669,0.06481481481481481
30,log_future_sigma,2,6,201,-6.949029367762472,0.001055312621471446,0.05472636815920398
30,log_future_sigma,2,7,152,-6.960855987394738,0.0010192819682098692,0.013157894736842105
30,log_future_sigma,2,8,136,-6.860664480909058,0.0011423573961552764,0.058823529411764705
30,log_future_sigma,2,9,100,-6.757728814259086,0.001258767526818596,0.05
30,log_future_sigma,3,0,234,-7.064262602916145,0.0009249990278861172,0.029914529914529916
30,log_future_sigma,3,1,281,-6.953837553417151,0.0010368444763391737,0.0711743772241993
30,log_future_sigma,3,2,301,-6.920947533826626,0.0010900953924361757,0.07308970099667775
30,log_future_sigma,3,3,301,-6.944364374916815,0.0010550796896410027,0.04318936877076412
30,log_future_sigma,3,4,280,-6.858294458785513,0.0011360961113216187,0.04285714285714286
30,log_future_sigma,3,5,262,-6.849649757536574,0.0011382792585146863,0.030534351145038167
30,log_future_sigma,3,6,234,-6.841368622260201,0.001156435138154321,0.042735042735042736
30,log_future_sigma,3,7,221,-6.778509494175784,0.001230928148361534,0.04072398190045249
30,log_future_sigma,3,8,165,-6.8355816349698495,0.0011470013683466534,0.05454545454545454
30,log_future_sigma,3,9,135,-6.7411150475530235,0.0012704717639829268,0.02962962962962963
30,log_future_sigma,4,0,191,-6.865699840010544,0.0011302750934662367,0.07329842931937172
30,log_future_sigma,4,1,243,-6.916164120345636,0.001097603554001803,0.053497942386831275
30,log_future_sigma,4,2,282,-6.84444193367612,0.0011686469776004578,0.05319148936170213
30,log_future_sigma,4,3,276,-6.885500705048408,0.00111175872219202,0.021739130434782608
30,log_future_sigma,4,4,259,-6.7754173993497995,0.0012633917639946874,0.0694980694980695
30,log_future_sigma,4,5,281,-6.761855439301082,0.0012448314528360515,0.03558718861209965
30,log_future_sigma,4,6,268,-6.733101193877521,0.001285544554384851,0.041044776119402986
30,log_future_sigma,4,7,241,-6.709984613076824,0.001339396302888692,0.06224066390041494
30,log_future_sigma,4,8,222,-6.740706788791735,0.0012755539281515504,0.03153153153153153
30,log_future_sigma,4,9,150,-6.679884133422614,0.001369493993918582,0.02666666666666667
30,log_future_sigma,5,0,177,-6.879089134728763,0.0011081652375641933,0.03954802259887006
30,log_future_sigma,5,1,206,-6.791223503241248,0.0012371258320342546,0.043689320388349516
30,log_future_sigma,5,2,233,-6.783129894763246,0.0012300279598555144,0.07296137339055794
30,log_future_sigma,5,3,237,-6.755270097191891,0.0012552261682267766,0.04219409282700422
30,log_future_sigma,5,4,276,-6.656324812060553,0.001413327323893078,0.06884057971014493
30,log_future_sigma,5,5,278,-6.680488736555314,0.001350196913017607,0.04316546762589928
30,log_future_sigma,5,6,257,-6.697774181211598,0.0013340800504021608,0.03501945525291829
30,log_future_sigma,5,7,276,-6.6193292651736,0.0014415970752339586,0.03260869565217391
30,log_future_sigma,5,8,245,-6.5910815029214955,0.0014717585639854999,0.05714285714285714
30,log_future_sigma,5,9,228,-6.506186770284624,0.001610707998600358,0.09210526315789473
30,log_future_sigma,6,0,116,-6.763864966152727,0.0012951055013227387,0.12931034482758622
30,log_future_sigma,6,1,172,-6.729428320517646,0.0012703960168180678,0.01744186046511628
30,log_future_sigma,6,2,200,-6.701726127153545,0.001320288147283577,0.045
30,log_future_sigma,6,3,235,-6.6445551537526315,0.0014117992769106078,0.05106382978723404
30,log_future_sigma,6,4,257,-6.5998083590785335,0.001460300628440453,0.04669260700389105
30,log_future_sigma,6,5,262,-6.642823357921554,0.001413312614601784,0.05343511450381679
30,log_future_sigma,6,6,275,-6.58423740358921,0.0014867064921332822,0.04363636363636364
30,log_future_sigma,6,7,312,-6.561853544433219,0.0015099352608204887,0.05448717948717949
30,log_future_sigma,6,8,316,-6.518462989601913,0.001598128181882627,0.05063291139240506
30,log_future_sigma,6,9,269,-6.470838421446289,0.00166454265747286,0.055762081784386616
30,log_future_sigma,7,0,69,-6.698427430246348,0.0013494790102592576,0.043478260869565216
30,log_future_sigma,7,1,126,-6.638992136178877,0.0014172452918622563,0.05555555555555555
30,log_future_sigma,7,2,151,-6.612400250085719,0.0014526842650469964,0.033112582781456956
30,log_future_sigma,7,3,218,-6.5544989664209545,0.001525884152008258,0.04128440366972477
30,log_future_sigma,7,4,264,-6.601737088278205,0.0014391397307404847,0.041666666666666664
30,log_future_sigma,7,5,294,-6.54963722498285,0.001524672982922747,0.030612244897959183
